 501 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 26 ; Участник № 51 ; 7500 
 502 ; Рубль ; 1896 ; (АГ) ; Ag ; XF+ ; 27 ; Kolya-kms ; 6800 
 503 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 15 ; Участник № 462 ; 7200 
 504 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 22 ; and ; 34000 
 451 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 15 ; Участник № 55 ; 15000 
 452 ; Гривенник ; 1785 ; СПБ ; Ag ; XF ; 14 ; Участник № 1 ; 1200 
 453 ; Деньга (Ильин-3р) ; 1799 ; КМ ; Cu ; VF- ; 11 ; Участник № 55 ; 4200 
 454 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; VF+ ; 36 ; Участник № 55 ; 8000 
 455 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF-XF ; 18 ; Участник № 51 ; 9000 
 456 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 5 ; Участник № 55 ; 9000 
 457 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 22 ; Участник № 16 ; 1300 
 458 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 17 ; max7421 ; 7500 
 459 ; 5 копеек ; 1782 ; КМ ; Cu ; AU ; 13 ; RF ; 8990 
 460 ; Рубль ; 1882 ; СПБ НФ ; Ag ; AU ; 26 ; Участник № 16 ; 24000 
 461 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+/AU ; 26 ; Участник № 692 ; 19000 
 462 ; Рубль ; 1913 ; (ЭБ) ; Ag ; VF-XF ; 35 ; ZOLTAN333 ; 38000 
 463 ; Полтина ; 1852 ; СПБ ПА ; Ag ; XF+ ; 19 ; Участник № 606 ; 5200 
 464 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 9 ; Участник № 7 ; 5000 
 465 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU/XF+ ; 24 ; Kolya-kms ; 10200 
 466 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU ; 17 ; and ; 8162 
 467 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF+ ; 13 ; Участник № 51 ; 36000 
 468 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 22 ; monos72 ; 9500 
 469 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 29 ; max7421 ; 32000 
 470 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; Proof ; 44 ; Участник № 222 ; 13000 
 471 ; 50 копеек. В капсуле NGC ; 1922 ; (ПЛ) ; Ag ; MS63 ; 4 ; Участник № 545 ; 1400 
 472 ; 5 копеек. В капсуле NGC ; 1785 ; КМ ; Cu ; AU 58 ; 11 ; 25 ; 11334 
 473 ; Копейка. В капсуле NGC ; 1797 ; ЕМ ; Cu ; AU 55 ; 7 ; Kolya-kms ; 3162 
 474 ; 10 копеек. В капсуле PCGS ; 1871 ; СПБ HI ; Ag ; AU58 ; 9 ; ZOLTAN333 ; 2400 
 475 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU-55 ; 15 ; Участник № 51 ; 70000 
 476 ; Рубль. В капсуле NGCA ; 1732 ;  ; Ag ; XF40 ; 11 ; федя ; 23358 
 477 ; Рубль. В капсуле PCGS ; 1762 ; СПБ НК ; Ag ; AU58 ; 30 ; федя ; 255510 
 478 ; Рубль ; 1802 ; СПБ АИ ; Ag ; AU-55 ; 13 ; Участник № 692 ; 70000 
 479 ; Алтын ; 1704 ; БК ; Ag ; XF- ; 11 ; TDN ; 7600 
 480 ; Гривна ; 1705 ; БК ; Ag ; VF+ ; 26 ; fikus ; 11043 
 481 ; Копейка ; 1714 ; НД ; Cu ; VF+ ; 7 ; Участник № 39 ; 2400 
 482 ; 5 копеек. Крым. Шахин-Гирей. 4-й год правления ; 1191лх(1777) ;  ; Cu ; VF-XF ; 25 ; Участник № 16 ; 8500 
 483 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; TDN ; 6500 
 484 ; Гривенник ; 1787 ; СПБ ; Ag ; XF ; 19 ; fikus ; 7143 
 485 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF ; 12 ; деньга ; 10000 
 486 ; Деньга ; 1811 ; ИМ МК ; Cu ; XF- ; 28 ; Участник № 222 ; 3600 
 487 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 17 ; hugo ; 4500 
 488 ; 1 грош ; 1838 ; MW Рус.-Пол. ; Cu ; XF- ; 34 ; Участник № 222 ; 7500 
 489 ; Полтина ; 1848 ; СПБ HI ; Ag ; XF+ ; 13 ; Участник № 132 ; 4000 
 490 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 9 ; Участник № 7 ; 5800 
 491 ; Копейка ; 1859 ; ЕМ Корона у основ.уже ; Cu ; XF+ ; 6 ; Участник № 222 ; 2200 
 492 ; 5 копеек ; 1860 ; ЕМ ; Cu ; AU ; 9 ; luda ; 1800 
 493 ; 5 рублей ; 1867 ; СПБ НI ; Au ; AU ; 17 ; int1965708 ; 69253 
 494 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 28 ; 61К ; 6630 
 495 ; 25 пенни ; 1869 ; S Финляндия ; Ag ; VF-XF ; 18 ; Участник № 140 ; 4600 
 496 ; 3 копейки ; 1874 ; ЕМ ; Cu ; AU ; 24 ; Участник № 222 ; 4600 
