 201 ; Георгиевский крест IV ст. №173822. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF- ; 18 ; МихАрк ; 22000 
 202 ; Георгиевский крест IV ст. №173492. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; VF-XF ; 41 ; Продано в зале ; 26000 
 203 ; Георгиевский крест IV ст. №052231. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; VF+ ; 18 ; Продано в зале ; 9600 
 204 ; Крест для духовенства "В память войны 1853 -1856 гг". Р-ры: 57 на 101мм ;  ;  ; Br ; VF+ ; 24 ; Продано в зале ; 9200 
 205 ; Медаль В память Крымской войны 1853-1856гг. D-28мм ;  ;  ; Br ; XF ; 29 ; Продано в зале ; 3400 
 206 ; Жетон. Санкт-Петербургский комитет общества красного креста для оказания помощи. Р-ры: 30х18мм. М-5,26гр ;  ;  ; Au, эмаль ; AU ; 9 ; Продано в зале ; 96000 
 207 ; Жетон. Община Св. Елисаветы. Р-ры: 44х25мм. М-8,19гр ;  ;  ; Au, эмаль ; XF+ ; 17 ; Продано в зале ; 82000 
 208 ; Жетон среднего учебного заведения. "КРУ" XLIV ;  ;  ; Ag, Au,эмаль ; AU ; 17 ; Продано в зале ; 27000 
 209 ; Жетон среднего учебного заведения. "LV" ;  ;  ; Ag, эмаль ; XF/AU ; 24 ; 015 ; 25500 
 210 ; Жетон среднего учебного заведения. "РУ" VIII ;  ;  ; Ag, эмаль ; XF ; 20 ; 015 ; 25500 
 211 ; Медаль. "Преуспевающему". D-42мм ;  ;  ; Ag ; AU ; 24 ; Акцент ; 28000 
 212 ; 10 рублей ; 1910 ; (ЭБ) АГ ; Au ; XF/AU ; 45 ; Акцент ; 68000 
 213 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 25 ; Продано в зале ; 38500 
 214 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 19 ; Продано в зале ; 34000 
 215 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 26 ; Продано в зале ; 17500 
 216 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 37 ; Продано в зале ; 21000 
 217 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF/AU ; 42 ; verunk1 ; 16500 
 218 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 39 ; verunk1 ; 9182 
