 151 ; Копейка. Новодел ; 1849 ;  ;  ; AU ; 88 ; Цена ; 70156 
 101 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 37 ; tisa66 ; 4182 
 102 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 23 ; Продано в зале ; 5600 
 103 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 53 ; Продано в зале ; 5700 
 104 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 32 ; Продано в зале ; 5800 
 105 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 24 ; аlеx ; 6075 
 106 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 35 ; аlеx ; 9690 
 107 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 28 ; pilot2371 ; 20000 
 108 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 24 ; аlеx ; 9690 
 109 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 12 ; cheta ; 5851 
 110 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 40 ; Продано в зале ; 28000 
 111 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 35 ; Продано в зале ; 46000 
 112 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; pilot2371 ; 10500 
 113 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 52 ; electra ; 2091 
 114 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 48 ; electra ; 3000 
 115 ; 5 копеек. М - 63,5г ; 1809 ; ЕМ ; Cu ; VF-XF ; 25 ; дефективная ; 6001 
 116 ; 5 копеек. В капсуле PCGS. Unc Details ; 1834 ; ЕМ ФХ ; Cu ;  ; 35 ; Продано в зале ; 20000 
 117 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 44 ; Продано в зале ; 25000 
 118 ; 2 копейки ; 1801 ; КМ ; Cu ; XF- ; 35 ; Абрамзон ; 2576 
 119 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF- ; 82 ; Продано в зале ; 30000 
 120 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 121 ; 2 копейки ; 1845 ; СМ ; Cu ; XF+ ; 73 ; 25 ; 40209 
 122 ; Копейка ; 1728 ;  ; Cu ; VF-XF ; 49 ; fgd ; 9500 
 123 ; Копейка ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; kornev ; 4153 
 124 ; Копейка ; 1822 ; ЕМ ФГ ; Cu ; VF+ ; 19 ; fgd ; 624 
 125 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF+ ; 11 ; sotnik ; 2165 
 126 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; VF+ ; 24 ; cheh ; 1338 
 127 ; Копейка ; 1868 ; ЕМ ; Cu ; AU ; 44 ; Продано в зале ; 6000 
 128 ; Копейка ; 1869 ; СПБ ; Cu ; XF+ ; 47 ; Продано в зале ; 6800 
 129 ; Копейка ; 1870 ; СПБ ; Cu ; XF+/XF- ; 23 ; Sky2 ; 5780 
 130 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 42 ; Продано в зале ; 10500 
 131 ; Копейка ; 1902 ; СПБ ; Cu ; XF+ ; 80 ; Продано в зале ; 5000 
 132 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 35 ; Продано в зале ; 3400 
 133 ; Копейка ; 1905 ; СПБ ; Cu ; AU ; 40 ; Продано в зале ; 3400 
 134 ; Копейка ; 1909 ; СПБ ; Cu ; AU Proof ; 42 ; Продано в зале ; 30000 
 135 ; Копейка ; 1911 ; СПБ ; Cu ; UNC Proof ; 38 ; Продано в зале ; 44000 
 136 ; Полушка. Новодел ; 1779 ; КМ ;  ; XF+ ; 157 ; Продано в зале ; 42000 
 137 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 51 ; Продано в зале ; 3600 
 138 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 24 ; Продано в зале ; 46000 
 139 ; Медаль. Петр I. Битва при Лесной. D - 30mm ; 1708 ;  ; Ag ; VF-XF ; 48 ; lastfast ; 21420 
 140 ; Медаль. На открытие Александровской колонны. Медальер К.П.Уткин. D - 50mm ; 1834 ;  ; Br ; XF- ; 36 ; lupus47 ; 13371 
 141 ; Георгиевский крест. 4 степени. №1/м159687 ;  ;  ; Ag ; VF-XF ; 37 ; icebreaker ; 12368 
 142 ; Лот фрачных знаков (4шт) ;  ;  ; б/м,ж/м ; XF+/XF- ; 63 ; A-Stral ; 32813 
 143 ; Медаль. От императорской Академии Художеств. За успехи в рисовании. Медальер Р.П.Уткин. D - 51mm ; 1830 ;  ; Ag ; XF+ ; 15 ; Продано в зале ; 34000 
 144 ; Медаль. В честь коронации Николая II и Александры Федоровны в Москве. D - 51mm ; 1896 ;  ; Ag ; XF ; 26 ; Продано в зале ; 37000 
 145 ; Рубль (Петров - 4,5р) ; 1722 ;  ; Ag ; XF ; 114 ; Продано в зале ; 320000 
 146 ; Рубль (Петров - 3р). Конрос - R2+ ; 1754 ; ММД EI ; Ag ; XF- ; 46 ; Продано в зале ; 65000 
 147 ; Рубль ; 1840 ; СПБ НГ ; Ag ; AU ; 76 ; Продано в зале ; 19000 
 148 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 31 ; Продано в зале ; 21000 
 149 ; 2 копейки ; 1757 ; Номинал над гербом ; Cu ; F+ ; 108 ; Продано в зале ; 23000 
 150 ; 2 копейки ; 1759 ;  ; Cu ; VF+ ; 59 ; Сыч ; 15086 
 51 ; Рубль ; 1906 ; (ЭБ) ; Ag ; UNC полир ; 41 ; Продано в зале ; 440000 
 52 ; Рубль ; 1907 ; (ЭБ) ; Ag ; UNC полир ; 32 ; Продано в зале ; 220000 
 53 ; Рубль ; 1908 ; (ЭБ) ; Ag ; UNC полир ; 74 ; Продано в зале ; 250000 
 54 ; 1,5 рубля ; 1839 ; На открытие бородинского памятника-часовни ; Ag ; XF+ ; 68 ; finger ; 880000 
 55 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 33 ; Продано в зале ; 55000 
 56 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 48 ; Продано в зале ; 86000 
 57 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 44 ; Продано в зале ; 115000 
 58 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; UNC полир ; 104 ; Продано в зале ; 980000 
 59 ; 10 злотых ; 1823 ; IB Польша ; Ag ; XF+ ; 65 ; Продано в зале ; 215000 
 60 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; AU/XF+ ; 93 ; Продано в зале ; 32000 
 61 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF ; 83 ; Victory-2001 ; 11220 
 62 ; 15 копеек-1 злотый ; 1839 ; MW Рус.-Пол. ; Ag ; XF+ ; 40 ; Продано в зале ; 8000 
 63 ; Полтина (Конрос - R2) ; 1702 ;  ; Ag ; VF-XF ; 28 ; Продано в зале ; 310000 
 64 ; Полтина ; 1721 ;  ; Ag ; VF+/VF-XF ; 42 ; Продано в зале ; 37500 
 65 ; Полтина ; 1727 ;  ; Ag ; UNC ; 73 ; Продано в зале ; 1600000 
 66 ; Полтина ; 1727 ; СПБ ; Ag ; VF+ ; 24 ; Продано в зале ; 95000 
 67 ; Полтина ; 1732 ;  ; Ag ; AU ; 65 ; Продано в зале ; 175000 
 68 ; Полтина ; 1739 ;  ; Ag ; VF-XF ; 45 ; нумизмат ; 37740 
 69 ; Полтина (Петров-20р, Ильин-20р) ; 1741 ; СПБ ; Ag ; XF+ ; 39 ; Продано в зале ; 580000 
 70 ; Полтина ; 1762 ; ММД ДМ ; Ag ; XF ; 29 ; Продано в зале ; 130000 
 71 ; Полтина ; 1762 ; СПБ НК TI ; Ag ; XF- ; 35 ; Продано в зале ; 24000 
 72 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+/AU ; 19 ; sax ; 26456 
 73 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; UNC полир. ; 5 ; Продано в зале ; 145000 
 74 ; Полтина ; 1897 ; ( * ) ; Ag ; AU полир ; 24 ; Продано в зале ; 165000 
 75 ; Полтина ; 1899 ; (АГ) АГ ; Ag ; UNC полир. ; 32 ; Продано в зале ; 195000 
 76 ; Полтина ; 1899 ; ( * ) ; Ag ; UNC полир ; 75 ; Продано в зале ; 200000 
 77 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; UNC полир. ; 57 ; Продано в зале ; 150000 
 78 ; Полтина ; 1901 ; (АР) АГ ; Ag ; UNC Proof ; 26 ; Продано в зале ; 370000 
 79 ; Полтина ; 1902 ; (АР) АГ ; Ag ; UNC Proof ; 60 ; Продано в зале ; 540000 
 80 ; Полтина ; 1906 ; (ЭБ) АГ ; Ag ; AU полир ; 64 ; Продано в зале ; 380000 
 81 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; UNC полир ; 39 ; Продано в зале ; 215000 
 82 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; UNC полир ; 74 ; Продано в зале ; 240000 
 83 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; UNC полир ; 35 ; Продано в зале ; 150000 
 84 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; UNC Proof ; 40 ; Продано в зале ; 160000 
 85 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU полир ; 25 ; Продано в зале ; 130000 
 86 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 12 ; sherst1 ; 18000 
 87 ; 25 копеек ; 1896 ; АГ ; Ag ; UNC полир ; 19 ; Продано в зале ; 170000 
 88 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 45 ; sherst1 ; 10500 
 89 ; 25 копеек ; 1900 ; АГ ; Ag ; UNC Proof ; 72 ; Продано в зале ; 380000 
 90 ; 25 копеек ; 1900 ; АГ ; Ag ; XF+ ; 47 ; Продано в зале ; 48000 
 91 ; 20 копеек. В капсуле NGC. MS66 ; 1905 ; СПБ АР ; Ag ; AU ; 48 ; sheff78 ; 18062 
 92 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 15 ; tisa66 ; 4805 
 93 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF- ; 49 ; Продано в зале ; 5200 
