 251 ; Жетон Русского нумизматического общества."Русские братьям Полякам" ; 1914 ;  ; Ag ; VF-XF ; 19 ; пмт79 ; 5667 
 252 ; Знак За призовую стрельбу. 6 рота финского полка. Клейма еа ушке ; 1912 ;  ; Ag ; VF-XF ; 11 ; sotnik ; 10200 
 253 ; Жетон аптекарских складов Е.И.В. Государыни Императрицы в Петрограде 1914-1915-1916 ;  ;  ; Br,эмаль ; VF+ ; 11 ; Салют ; 9180 
 254 ; 20 марок В капсуле NGC ; 1912 ; S Финляндия ; Au ;  ; 14 ; ravs ; 30804 
 255 ; 10 рублей. В капсуле NGC ; 1899 ; (АГ) АГ ; Au ;  ; 15 ; Сухона ; 21630 
 256 ; Полтина. Новгородский тип М-99,74г ;  ;  ; Ag ;  ; 25 ; Продано в зале ; 14000 
 257 ; Полтина. В мини капсуле ННР ; 1897 ; ( * ) ; Ag ;  ; 69 ; Продано в зале ; 6500 
 258 ; Полтина В капсуле NGC ; 1899 ; ( * ) ; Ag ;  ; 65 ; хаус ; 44000 
 259 ; 5 копеек В капсуле NGC ; 1868 ; СПБ HI ; Ag ;  ; 14 ; хаус ; 9190 
 260 ; 5 копеек В капсуле NGC ; 1873 ; СПБ HI ; Ag ;  ; 32 ; хаус ; 15918 
 261 ; 5 копеек В капсуле NGC ; 1879 ; СПБ НФ ; Ag ;  ; 24 ; Продано в зале ; 145000 
 262 ; 5 копеек  В капсуле NGC ; 1912 ; СПБ ЭБ ; Ag ;  ; 47 ; хаус ; 55217 
 263 ; 5 копеек. В капсуле ННР ; 1775 ; ЕМ ; Cu ;  ; 9 ; Продано в зале ; 1300 
 264 ; Копейка. Новодел. В капсуле PCGS ; 1757 ; Новодел ;  ;  ; 72 ; DAndy-2003 ; 40636 
 265 ; Рубль (Портрет - 1891г) ; 1892 ; (АГ) ; Ag ; XF-/XF+ ; 49 ; G.R.O.S.S. ; 28157 
 266 ; 15 копеек (Петров - 5 руб, Ильин - 4 руб) ; 1778 ; СПБ ; Ag ; XF+ ; 49 ; sotnik ; 18360 
 267 ; Медаль 1876 года. В память Выставки всеобщей финской промышленности в Гельсингфорсе (Хельсинки). Гельсингфорсский монетный двор. Медальер Л. Альборн. D-64мм ;  ;  ; Cu ; XF+ ; 47 ; Sky2 ; 6500 
 268 ; Медаль В память первой всероссийской выставки печатного дела. Санкт-Петербург 1895г. D-34мм ;  ;  ; Б/м ; VF-XF ; 59 ; Sky2 ; 2448 
 201 ; 25 пенни ; 1868 ; S Финляндия ; Ag ; XF- ; 40 ; TaraskaPeter ; 17000 
 202 ; 25 пенни ; 1868 ; S Финляндия ; Ag ; VF+ ; 85 ; tarroman ; 9264 
 203 ; 25 пенни ; 1873 ; S Финляндия ; Ag ; AU ; 41 ; Салют ; 10000 
 204 ; 25 пенни ; 1875 ; S Финляндия ; Ag ; AU ; 34 ; Продано в зале ; 13000 
 205 ; 10 пенни ; 1865 ; Финляндия ; Cu ; VF-XF ; 16 ; Салют ; 5100 
 206 ; 10 пенни ; 1867 ; Финляндия ; Cu ; VF-XF ; 28 ; Салют ; 7362 
 207 ; Бисти (Петров-2р. Ильин-1р) ; 1810 ; Грузия ; Cu ; VF ; 39 ; Салют ; 17850 
 208 ; 100 рублей ; 1991 ; ММД 500-лет.Русского един.гос. Лев Толстой ; Au ; Proof ; 21 ; Салют ; 38769 
 209 ; 50 рублей ; 1988 ; ММД Софийский собор в Новгороде ; Au ; Proof ; 19 ; mefodin ; 22222 
