 151 ; 50 рублей. Коробка, сертификат ; 1995 ; ЛМД Экспедиция Ф.Нансена ; Au ; Proof ; 27 ; Продано в зале ; 25000 
 152 ; Плата. 1 далер. Швеция. Размер: 130х125 мм ; 1752 ;  ; Cu ; VF- ; 40 ; золант ; 15500 
 153 ; Георгиевский крест IV степени №573064 ;  ;  ; Ag ; XF ; 41 ; Продано в зале ; 11000 
 154 ; Георгиевский крест IV степени №223049 ;  ;  ; Б/м ; XF ; 20 ; Продано в зале ; 14000 
 155 ; Нагрудный знак выпускника Московского Коммерческого училища ;  ;  ; Br, позол ; XF ; 26 ; Sky2 ; 15500 
 156 ; Нагрудный знак об окончании Института инженеров путей сообщения ;  ;  ; Ag ; VF-XF ; 26 ; masterovoi ; 15500 
 157 ; Жетон На коронацию Александа II. D-22мм ; 1856 ;  ; Ag ; VF+ ; 36 ; iustas ; 4909 
 158 ; Медаль Медаль За благонравие и успехи в науках. Мария Александровна. Медальер В.В. Никон. D-51мм ;  ;  ; Ag ; XF ; 46 ; Inflation ; 29000 
 159 ; Медаль Балтийского общества любителей породистых собак. D-41мм ;  ;  ; Ag,позолота ; VF+ ; 35 ; Продано в зале ; 14000 
 160 ; Медаль. В память сооружения Благовещенского моста через Неву.Медальеры А.Клепиков, А Лялин. D-76mm. 1850 ;  ;  ; Br ; VF-XF ; 14 ; Продано в зале ; 12000 
 161 ; Медаль. В память открытия в Новгороде памятника Тысячелетию государства Российского. Медальер П. Брусницын. D-87mm. 1862 ;  ;  ; Br ; XF- ; 32 ; Продано в зале ; 20000 
 162 ; Медаль. В память открытия памятника, отлитого из турецких орудий, в Санкт-Петербурге. D-72mm. 1886 ;  ;  ; Br ; XF ; 82 ; verunk1 ; 16832 
 163 ; Медаль. В память освящения Смольного собора в Санкт-Петербурге. Медальер Г.Губе.  1835 ;  ;  ; Br ; XF ; 41 ; Продано в зале ; 16000 
 164 ; Медаль. Освещение Исаакиевского собора в Санкт-Петербурге. D-59mm. Медальер Ч. Винер. 1858 ;  ;  ; Br ; XF ; 37 ; verunk1 ; 12000 
 165 ; Медаль В память царствования императора Александра III. D-39мм ;  ;  ; Br ; XF- ; 45 ; Продано в зале ; 5500 
 166 ; Гергиевский крест 4 степени № 161859. Р-ры 43х43мм ;  ;  ; Ag ; VF-XF ; 76 ; korovan67 ; 18300 
 167 ; Медаль "Преуспевающему" для выпускников мужских гимназий. D-48мм ;  ;  ; Ag ; VF-XF ; 29 ; а1945 ; 15500 
 168 ; Фрачник За окончания Институт инженеров путей сообщения Императора Александра I в С.-Петербурге. На гайке-именное клеймо "ИТ" ;  ;  ;  ; XF ; 25 ; Sky2 ; 11500 
 101 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; F-VF ; 19 ; Sintez ; 3398 
 102 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; F-VF ; 14 ; 5666т ; 3800 
 103 ; 5 копеек ; 1765 ; СМ ; Cu ; VF ; 13 ; Кабак ; 3162 
 104 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 45 ; Продано в зале ; 10000 
 105 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 19 ; Diatez ; 3500 
 106 ; 5 копеек ; 1789 ; АМ ; Cu ; XF- ; 38 ; Продано в зале ; 5500 
 107 ; 5 копеек ; 1790 ; АМ ; Cu ; XF- ; 10 ; sdv75-2010 ; 1300 
 108 ; 5 копеек ; 1791 ; АМ ; Cu ; XF ; 13 ; krass ; 1500 
 109 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 38 ; Продано в зале ; 5500 
 110 ; 5 копеек ; 1793 ; АМ ; Cu ; XF ; 40 ; Продано в зале ; 4000 
 111 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 25 ; ъъ ; 4500 
 112 ; 5 копеек (Ильин-20р) ; 1795 ; АМ Павл.перечекан ; Cu ; F ; 73 ; Kupferberg ; 18000 
 113 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF ; 37 ; habibbulin ; 14500 
 114 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF-XF ; 13 ; золант ; 4400 
 115 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 3600 
 116 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 21 ; золант ; 4600 
 117 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 42 ; Sky2 ; 4800 
 118 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF- ; 32 ; Продано в зале ; 5500 
 119 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF+ ; 24 ; Kupferberg ; 6125 
 120 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 9500 
 121 ; 5 копеек ; 1839 ; ЕМ НА ; Cu ; VF-XF ; 25 ; masterovoi ; 2500 
 122 ; 5 копеек ; 1858 ; ЕМ ; Cu ; XF ; 78 ; Продано в зале ; 15000 
 123 ; 5 копеек ; 1867 ; СПБ ; Cu ; XF ; 58 ; Продано в зале ; 13000 
 124 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 39 ; Продано в зале ; 19000 
 125 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 25 ; Vakula ; 2040 
 126 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF ; 24 ; Продано в зале ; 2400 
