 151 ; Медаль. В честь действительного статского советника П.А. Демидова. В память открытия Коммерческого училища в Москве. Медальер: Т. Иванов. D-40мм. М-46,14г ; 1772 ;  ; Au ; VF-XF ; 72 ; бибигон ; 600000 
 152 ; Медаль "За благонравие и успехи в науках". М-25,4г. D-33мм. Гравер А. Гилихес, в обрезе бюста "АГ". В коробке ;  ;  ; Au ; XF+ ; 28 ; а1945 ; 70000 
 153 ; Медаль В память столетия Императорской Российской академии художеств. 4 ноября 1864г. D-87мм. В оригинальной коробке. ;  ;  ; Br ; XF ; 44 ; Продано в зале ; 19500 
 154 ; Медаль  Императорский батальон милиции лейб-гвардии финляндский полк (1806-1906). D-64мм ;  ;  ; Br ; XF ; 25 ; Продано в зале ; 14500 
 155 ; Медаль В память VI выставки Финского сельского хозяйства. D-54мм. М-76,3г ; 1870 ;  ; Ag ; XF ; 34 ; Продано в зале ; 8000 
 156 ; Медаль В память VIII выставки Финского сельского хозяйства. Медальер: C. JAHN. D-54мм. М-76,85г ; 1881 ;  ; Ag ; XF ; 26 ; Продано в зале ; 8000 
 157 ; Знак. Частные С-Петербургские счетоводные курсы ;  ;  ; Ag,эмаль ; VF+ ; 29 ; vic-dmitri ; 18000 
 158 ; Знак ученический. Гравировка "Н. Иванова г. Луга 1923г: ;  ;  ; Ag ; VF-XF ; 40 ; бюрократ ; 8000 
 159 ; Знак ученический. Гравировка "11 с.т.ш. А. Быстров 1928г." ;  ;  ; Ag,эмаль ; VF+ ; 11 ; Анумис ; 5105 
 101 ; 5 копеек ; 1836 ; СМ ; Cu ; XF ; 41 ; max96 ; 9000 
 102 ; 5 копеек ; 1863 ; ЕМ ; Cu ; XF- ; 22 ; 462 ; 3600 
 103 ; 3 копейки ; 1845 ; СМ ; Cu ; XF ; 59 ; Sky2 ; 7000 
 104 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 105 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; XF ; 64 ; $@€ ; 7000 
 106 ; 2 копейки ; 1788 ; ММ ; Cu ; VF- ; 8 ; Чук ; 2550 
 107 ; 2 копейки (Петров-10р, Ильин-5р) ; 1795 ; ММ Павл.перечекан ; Cu ; VF ; 88 ; DiatezЪ ; 50000 
 108 ; 2 копейки ; 1797 ; КМ ; Cu ; XF ; 42 ; Кабак ; 2000 
 109 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 35 ; Продано в зале ; 3200 
 110 ; 2 копейки. Капсула NGC ; 1802 ; КМ Новодел. Без обода ; Cu ;  ; 13 ; serg2010 ; 48000 
 111 ; 2 копейки. Перья хвоста не доработаны ; 1810 ; ЕМ НМ ; Cu ; XF ; 21 ; $@€ ; 5723 
 112 ; 2 копейки ; 1810 ; КМ ; Cu ; XF ; 30 ; Кабак ; 2900 
 113 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 24 ; Чук ; 3600 
 114 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 30 ; 462 ; 417 
 115 ; 2 копейки ; 1812 ; КМ ; Cu ; XF- ; 22 ; sheriff 0 ; 2000 
 116 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; XF ; 24 ; Продано в зале ; 3200 
 117 ; 2 копейки (Петров-3р, Ильин-1р) ; 1830 ; КМ АМ ; Cu ; XF ; 34 ; Продано в зале ; 4800 
 118 ; 2 копейки ; 1845 ; СМ ; Cu ; XF ; 37 ; Продано в зале ; 6500 
 119 ; 2 копейки (Ильин-1р) ; 1839 ; СМ ; Cu ; XF ; 42 ; double ; 3661 
 120 ; 2 копейки ; 1859 ; ЕМ ; Cu ; XF ; 42 ; max96 ; 5000 
 121 ; 2 копейки ; 1863 ; ЕМ ; Cu ; XF ; 25 ; Абрекосов ; 5750 
 122 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 34 ; Абрекосов ; 6500 
 123 ; Копейка (Ильин-10р) ; 1718 ; НД ; Cu ; F-VF ; 45 ; Продано в зале ; 15500 
 124 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 55 ; Продано в зале ; 6500 
 125 ; Копейка ; 1824 ; КМ АМ ; Cu ; XF ; 44 ; Продано в зале ; 5500 
 126 ; Копейка ; 1855 ; ВМ ; Cu ; XF ; 69 ; Продано в зале ; 7500 
 127 ; Деньга (Петров-1р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF ; 58 ; Продано в зале ; 3800 
 128 ; 1/2 копейки ; 1844 ; СМ ; Cu ; XF ; 42 ; Продано в зале ; 4800 
