 1249 ; Знак  "Член ВЦИК РСФСР", с документом ; 20-е-30-е годы ;  ; Ag,эмаль ; XF+ ; 7 ; Продано в зале ; 96000 
 1250 ; Знак  "Член ЦИК СССР", с документом ; 20-е-30-е годы ;  ; Ag,эмаль ; XF+ ; 5 ; Продано в зале ; 92000 
 1251 ; Знак  "Член ЦИК УССР", № 290 ; 20-е-30-е годы ;  ; Бронза, эмаль ; XF+ ; 6 ; Продано в зале ; 88000 
 1252 ; Знак  "Член ЦИК БССР", тип 2 ; 20-е-30-е годы ;  ; Ag,эмаль ; XF+ ; 7 ; Продано в зале ; 98000 
 1253 ; Знак  "Член ЦИК АзербайджанскойССР", тип 3 ; 20-е-30-е годы ;  ; Ag,эмаль ; XF+ ; 18 ; Продано в зале ; 140000 
 1254 ; Знак "Депутат ВС Аз.ССР", 2-3 созыв, №257 ; 1947-1951 ;  ; Ag,эмаль ; AU ; 1 ; bag1809 ; 20000 
 1255 ; Знак "Депутат ВС ЭстонскойССР", 2-3 созыв, №23 ; 1947-1951 ;  ; Латунь,эмаль ; AU ; 2 ; bag1809 ; 22000 
 1256 ; Знак "Депутат ВС ЛатвийскойССР", 2-3 созыв, №40 ; 1947-1951 ;  ; Бронза,эмаль ; AU ; 8 ; Продано в зале ; 45000 
 1257 ; Знак "Депутат ВС ТуркменскойССР", 2-3 созыв, №114 ; 1947-1951 ;  ; Ag,эмаль ; AU ; 1 ; Продано в зале ; 30000 
 1258 ; Знак "Депутат ВС УзбекскойССР", 2-3 созыв, №124 ; 1947-1951 ;  ; Ag,эмаль ; AU ; 1 ; bag1809 ; 22000 
 1259 ; Знак "Депутат ВС АрмянскойССР", 1 созыв, №131 ; 1938 ;  ; Ag,эмаль ; AU ; 4 ; Продано в зале ; 46000 
 1260 ; Знак "Депутат ВС ГрузинскойССР", 1 созыв, №221 ; 1938 ;  ; Ag,эмаль ; XF+ ; 2 ; Продано в зале ; 40000 
 1261 ; Знак "Депутат ВС ГрузинскойССР", 2 созыв, №110 ; 1947 ;  ; Ag,эмаль ; AU ; 7 ; Продано в зале ; 36000 
 1262 ; Знак "Депутат ВС Дагестанской АССР", 1 созыв, №74 ; 1938 ;  ; Ag,эмаль ; XF ; 15 ; Продано в зале ; 80000 
 1263 ; Знак "Депутат ВС Марийской АССР", 2-3 созыв, №97 ; 1947-1951 ;  ; Ag,эмаль ; AU ; 9 ; bag1809 ; 28000 
 1264 ; Знак "Депутат ВС Чувашской АССР", 2-3 созыв, №101 ; 1947-1951 ;  ; Ag,эмаль ; AU ; 17 ; bag1809 ; 34000 
 1265 ; Знак "Депутат ВС Северо-Осетинской АССР", 7-11 созыв, №135 ; 1955-85 ;  ; Ag,эмаль ; AU ; 1 ; bag1809 ; 22000 
 1266 ; Знак "Депутат ВС РСФСР", 1-3 созыв, №523 ; 1938-1951 ;  ; Ag,эмаль ; AU ; 14 ; bag1809 ; 16206 
