 3277 ; Бона иностранная ;  ;  ;  ;  ; 60 ; necator ; 143 
 3278 ; Бона иностранная ;  ;  ;  ;  ; 30 ; necator ; 57 
 3279 ; Бона иностранная ;  ;  ;  ;  ; 29 ; skir ; 57 
 3280 ; Бона иностранная ;  ;  ;  ;  ; 42 ; skir ; 69 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 17 ; smel ; 102 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 15 ; skir ; 16 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 4 ; maks169 ; 14 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 6 ; and000 ; 201 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bethowen ; 30 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 32 ; spektr ; 59 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vanamo ; 31 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 5 ; skir ; 15 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 16 ; skir ; 16 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 3 ; skir ; 13 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 4 ; maks169 ; 14 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 47 ; tati1545 ; 46 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 206 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 30 ; vanamo ; 41 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tuz ; 11 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 15 ; skir ; 30 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 35 ; jj ; 42 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 22 ; zenit ; 57 
 3245 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Poiuyt ; 21 
 3246 ; Бона иностранная ;  ;  ;  ;  ; 37 ; shmatko24 ; 53 
 3247 ; Бона иностранная ;  ;  ;  ;  ; 14 ; skir ; 30 
 3248 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vanamo ; 29 
 3249 ; Бона иностранная ;  ;  ;  ;  ; 18 ; skir ; 18 
 3250 ; Бона иностранная ;  ;  ;  ;  ; 11 ; maks169 ; 12 
 3251 ; Бона иностранная ;  ;  ;  ;  ; 10 ; afanas ; 23 
 3252 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vanamo ; 25 
 3253 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vlkorchev ; 38 
 3254 ; Бона иностранная ;  ;  ;  ;  ; 15 ; afanas ; 35 
 3255 ; Бона иностранная ;  ;  ;  ;  ; 28 ; spektr ; 67 
 3256 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 542 ; 104 
 3257 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 542 ; 120 
 3258 ; Бона иностранная ;  ;  ;  ;  ; 27 ; vlkorchev ; 87 
 3259 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 542 ; 62 
 3260 ; Бона иностранная ;  ;  ;  ;  ; 16 ; skir ; 32 
 3261 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 542 ; 57 
 3262 ; Бона иностранная ;  ;  ;  ;  ; 43 ; afanas ; 51 
 3263 ; Бона иностранная ;  ;  ;  ;  ; 38 ; skir ; 39 
 3264 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vlkorchev ; 34 
 3265 ; Бона иностранная ;  ;  ;  ;  ; 19 ; skir ; 28 
