 3283 ; Бона иностранная ;  ;  ;  ;  ; 33 ; jj ; 34 
 3284 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kro ; 42 
 3285 ; Бона иностранная ;  ;  ;  ;  ; 29 ; бездельник22 ; 110 
 3286 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kro ; 40 
 3287 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kro ; 40 
 3288 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kro ; 50 
 3289 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Михалыч ; 31 
 3290 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Михалыч ; 65 
 3291 ; Бона иностранная ;  ;  ;  ;  ; 29 ; бездельник22 ; 139 
 3292 ; Бона иностранная ;  ;  ;  ;  ; 21 ; бездельник22 ; 101 
 3293 ; Бона иностранная ;  ;  ;  ;  ; 18 ; spektr ; 81 
 3294 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kro ; 51 
 3295 ; Бона иностранная ;  ;  ;  ;  ; 52 ; бездельник22 ; 131 
 3296 ; Бона иностранная ;  ;  ;  ;  ; 39 ; бездельник22 ; 140 
 3297 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Михалыч ; 102 
 3298 ; Бона иностранная ;  ;  ;  ;  ; 11 ; zero ; 36 
 3299 ; Бона иностранная ;  ;  ;  ;  ; 13 ; zero ; 39 
 3300 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kro ; 50 
 3301 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Михалыч ; 34 
 3302 ; Бона иностранная ;  ;  ;  ;  ; 9 ; spektr ; 31 
 3303 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kro ; 50 
 3304 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kro ; 50 
 3305 ; 2 копейки ; 1915 ;  ;  ;  ; 47 ; 542 ; 51 
 3306 ; 3 копейки ; 1915 ;  ;  ;  ; 58 ; 542 ; 90 
 3307 ; 3 копейки ; 1915 ;  ;  ;  ; 7 ; Гарин ; 67 
 3308 ; 10 копеек ; 1915 ;  ;  ;  ; 34 ; dimitri ; 89 
 3309 ; 15 копеек ; 1915 ;  ;  ;  ; 15 ; 542 ; 82 
 3310 ; 15 копеек ; 1915 ;  ;  ;  ; 16 ; Lumen81 ; 58 
 3311 ; 5 рублей ; 1920 ;  ;  ;  ; 62 ; 542 ; 173 
 3312 ; 1 копейка ; 1915 ;  ;  ;  ; 59 ; Михалыч ; 108 
 3313 ; 2 копейки ; 1915 ;  ;  ;  ; 19 ; KORNEJ ; 88 
 3314 ; 3 копейки ; 1915 ;  ;  ;  ; 32 ; 542 ; 102 
 3315 ; 5 копеек ; 1915 ;  ;  ;  ; 10 ; Lumen81 ; 53 
 3316 ; 1000 рублей ; 1921 ;  ;  ;  ; 47 ; zero ; 231 
 3317 ; 50 копеек. Сибирское врем. прав-во ; 1919 ;  ;  ;  ; 42 ; dnm ; 159 
 3318 ; 50 копеек ; 1915 ;  ;  ;  ; 21 ; natallli ; 31 
 3319 ; 50 копеек ; 1915 ;  ;  ;  ; 11 ; selezsi ; 22 
 3320 ; 50 копеек ; 1915 ;  ;  ;  ; 22 ; Grod ; 30 
 3321 ; 50 копеек ; 1915 ;  ;  ;  ; 20 ; solder13 ; 25 
 3322 ; 10 рублей. Сибирское врнем. прав-во ; 1918 ;  ;  ;  ; 18 ; Михалыч ; 179 
 3323 ; 50 карбованцев ; 1918 ;  ;  ;  ; 32 ; natallli ; 72 
 3324 ; 3 рубля ; 1947 ;  ;  ;  ; 46 ; Михалыч ; 232 
 3325 ; 3 копейки. Квартблок ; 1915 ;  ;  ;  ; 75 ; 542 ; 243 
 3326 ; 15 копеек. Квартблок ; 1915 ;  ;  ;  ; 39 ; Гарин ; 158 
 3327 ; 15 копеек. Квартблок ; 1915 ;  ;  ;  ; 45 ; Lumen81 ; 79 
 3328 ; 15 копеек. Квартблок ; 1915 ;  ;  ;  ; 69 ; 542 ; 112 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 38 ; spektr ; 113 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 7 ; S8D36 ; 43 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 542 ; 101 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 542 ; 155 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 12 ; S8D36 ; 30 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 12 ; бездельник22 ; 60 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 542 ; 71 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 26 ; spektr ; 61 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 542 ; 71 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 542 ; 75 
