 3299 ; Бона иностранная ;  ;  ;  ;  ; 16 ; and000 ; 43 
 3300 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kro ; 107 
 3301 ; Бона иностранная ;  ;  ;  ;  ; 9 ; den_ff ; 36 
 3302 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kro ; 51 
 3303 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kro ; 51 
 3304 ; 15 копеек. Квартблок ; 1915 ;  ;  ;  ; 44 ; wadwadwad ; 201 
 3305 ; 15 копеек. Квартблок ; 1915 ;  ;  ;  ; 13 ; Grisha7 ; 222 
 3306 ; 100 рублей ; 1918 ;  ;  ;  ; 38 ; Grod ; 83 
 3307 ; 250 рублей ; 1918 ;  ;  ;  ; 36 ; Grod ; 75 
 3308 ; 1000 рублей ; 1918 ;  ;  ;  ; 52 ; asru ; 102 
 3309 ; 25 рублей. Обязательство ; 1920 ;  ;  ;  ; 69 ; spektr ; 143 
 3310 ; 1000 рублей ; 1993 ;  ;  ;  ; 49 ; Grod ; 51 
 3249 ; Бона иностранная ;  ;  ;  ;  ; 14 ; bh ; 57 
 3250 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Михалыч ; 90 
 3251 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Peugene ; 40 
 3252 ; Бона иностранная ;  ;  ;  ;  ; 11 ; den_ff ; 53 
 3253 ; Бона иностранная ;  ;  ;  ;  ; 24 ; spektr ; 91 
 3254 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Peugene ; 90 
 3255 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 542 ; 138 
 3256 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Михалыч ; 53 
 3257 ; Бона иностранная ;  ;  ;  ;  ; 40 ; den_ff ; 59 
 3258 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vanamo ; 40 
 3259 ; Бона иностранная ;  ;  ;  ;  ; 36 ; den_ff ; 55 
 3260 ; Бона иностранная ;  ;  ;  ;  ; 7 ; dtdt ; 37 
 3261 ; Бона иностранная ;  ;  ;  ;  ; 16 ; den_ff ; 69 
 3262 ; Бона иностранная ;  ;  ;  ;  ; 11 ; таня ; 59 
 3263 ; Бона иностранная ;  ;  ;  ;  ; 14 ; den_ff ; 50 
 3264 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ds133 ; 50 
 3265 ; Бона иностранная ;  ;  ;  ;  ; 8 ; den_ff ; 33 
 3266 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Михалыч ; 36 
 3267 ; Бона иностранная ;  ;  ;  ;  ; 32 ; spektr ; 56 
 3268 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Coins911 ; 36 
 3269 ; Бона иностранная ;  ;  ;  ;  ; 34 ; den_ff ; 43 
 3270 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ksv1 ; 72 
 3271 ; Бона иностранная ;  ;  ;  ;  ; 22 ; hanir ; 79 
 3272 ; Бона иностранная ;  ;  ;  ;  ; 13 ; den_ff ; 102 
 3273 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ksv1 ; 95 
 3274 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ksv1 ; 80 
 3275 ; Бона иностранная ;  ;  ;  ;  ; 31 ; spektr ; 149 
 3276 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Захар ; 17 
 3277 ; Бона иностранная ;  ;  ;  ;  ; 21 ; lesnik1 ; 94 
 3278 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ds133 ; 29 
 3279 ; Бона иностранная ;  ;  ;  ;  ; 16 ; den_ff ; 31 
 3280 ; Бона иностранная ;  ;  ;  ;  ; 19 ; таня ; 20 
 3281 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Михалыч ; 60 
 3282 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Захар ; 26 
