 3217 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 35 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Sky2 ; 15 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 8 ; den_ff ; 36 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 5 ; dtdt ; 34 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 13 ; dtdt ; 34 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 17 ; dtdt ; 34 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 38 ; eddy ; 120 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 24 ; lesnik1 ; 102 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 49 ; lesnik1 ; 101 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 35 ; loyig ; 42 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 69 ; бездельник22 ; 536 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 4 ; selezsi ; 19 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 22 ; gelind ; 61 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 4 ; selezsi ; 28 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 4 ; dtdt ; 34 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 31 ; and000 ; 32 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 4 ; den_ff ; 29 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 4 ; den_ff ; 31 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 223355 ; 28 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 51 ; lesnik1 ; 51 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 60 ; den_ff ; 75 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 15 ; jj ; 75 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Vict_1 ; 36 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 67 ; and000 ; 128 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 32 ; ura 57 ; 519 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Vict_1 ; 36 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 33 ; den_ff ; 87 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 16 ; lesnik1 ; 80 
 3245 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Vict_1 ; 35 
 3246 ; Бона иностранная ;  ;  ;  ;  ; 26 ; and000 ; 27 
 3247 ; Бона иностранная ;  ;  ;  ;  ; 39 ; and000 ; 40 
 3248 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 37 
 3249 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 36 
 3250 ; Бона иностранная ;  ;  ;  ;  ; 10 ; amd4200 ; 66 
 3251 ; Бона иностранная ;  ;  ;  ;  ; 39 ; and000 ; 59 
 3167 ; 100 марок. Германия ; 1908 ;  ;  ;  ; 38 ; бездельник22 ; 605 
 3168 ; 100 марок. Германия ; 1909 ;  ;  ;  ; 56 ; бездельник22 ; 573 
 3169 ; 100 марок. Германия ; 1910 ;  ;  ;  ; 84 ; loyig ; 222 
 3170 ; 100 марок. Германия ; 1910 ;  ;  ;  ; 63 ; бездельник22 ; 255 
 3171 ; 20000 марок ; 1923 ;  ;  ;  ; 12 ; lesnik1 ; 102 
 3172 ; 5000 марок ; 1922 ;  ;  ;  ; 12 ; бездельник22 ; 305 
 3173 ; 10000 марок ; 1922 ;  ;  ;  ; 9 ; 542 ; 204 
 3174 ; 50000 марок ; 1922 ;  ;  ;  ; 10 ; eddy ; 157 
 3175 ; 100000 марок ; 1923 ;  ;  ;  ; 7 ; eddy ; 153 
 3176 ; 1 миллион марок ; 1923 ;  ;  ;  ; 36 ; бездельник22 ; 356 
 3177 ; 50 марок ; 1914 ;  ;  ;  ; 14 ; loyig ; 82 
 3178 ; 50 марок ; 1919 ;  ;  ;  ; 3 ; 223355 ; 28 
 3179 ; 50 марок ; 1933 ;  ;  ;  ; 7 ; 223355 ; 148 
 3180 ; 50 марок ;  ;  ;  ;  ; 20 ; lesnik1 ; 469 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 19 ; allur65 ; 19 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 28 ; mifod ; 28 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 8 ; allur65 ; 19 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 2 ; dtdt ; 20 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 15 ; selezsi ; 24 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 223355 ; 15 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 11 ; selezsi ; 27 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 21 ; jj ; 102 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 27 ; amd4200 ; 42 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 28 ; jj ; 29 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 48 ; 542 ; 82 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 19 ; loyig ; 55 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 54 ; бездельник22 ; 351 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 223355 ; 18 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 26 ; mifod ; 26 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 5 ; den_ff ; 20 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 24 ; mifod ; 23 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 223355 ; 14 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 16 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 223355 ; 30 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mifod ; 32 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 4 ; mifod ; 16 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 4 ; mifod ; 37 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 6 ; selezsi ; 21 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mifod ; 19 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 23 ; acer ; 82 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 36 ; aleksius ; 64 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 4 ; den_ff ; 19 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 223355 ; 18 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 4 ; yap1 ; 19 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 4 ; selezsi ; 19 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 6 ; mifod ; 18 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 4 ; natallli ; 13 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 7 ; mifod ; 32 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 10 ; den_ff ; 33 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 20 ; den_ff ; 37 
 3117 ; Облигация ; 1885 ;  ;  ;  ; 10 ; klm ; 350 
 3118 ; Облигация ; 1885 ;  ;  ;  ; 15 ; den_ff ; 357 
 3119 ; Облигация ; 1885 ;  ;  ;  ; 17 ; rambov65 ; 357 
 3120 ; Облигация ; 1885 ;  ;  ;  ; 8 ; klm ; 350 
 3121 ; 20 шиллингов. Австрия ; 1967 ;  ;  ;  ; 26 ; димитрий ; 119 
 3122 ; 1 гульден. Нидерланды ; 1938 ;  ;  ;  ; 38 ; smel ; 204 
 3123 ; 2 долара США ; 1976 ;  ;  ;  ; 21 ; Gerc89 ; 299 
 3124 ; 1 фунт. Англия ;  ;  ;  ;  ; 13 ; lelik ; 204 
 3125 ; 1 фунт. Англия ;  ;  ;  ;  ; 44 ; бездельник22 ; 1122 
 3126 ; 2 боливарес. Венесуэла ; 2007 ;  ;  ;  ; 3 ; MG ; 252 
 3127 ; 1 юань. Китай ; 1936 ;  ;  ;  ; 47 ; 223355 ; 100 
 3128 ; 10 юаней. Китай ; 1936 ;  ;  ;  ; 17 ; 223355 ; 100 
 3129 ; 10 юаней. Китай ; 1937 ;  ;  ;  ; 20 ; 223355 ; 100 
 3130 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 7 ; 223355 ; 100 
 3131 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 13 ; 223355 ; 100 
 3132 ; 5 долларов. Китай ; 1930 ;  ;  ;  ; 25 ; priwet ; 203 
 3133 ; 5 йен. Япония ;  ;  ;  ;  ; 66 ; priwet ; 203 
 3134 ; 10 йен. Япония ;  ;  ;  ;  ; 30 ; priwet ; 259 
 3135 ; Бона, Боливия ; 1911 ;  ;  ;  ; 38 ; 542 ; 250 
 3136 ; 1000 марок. Польша ; 1919 ;  ;  ;  ; 29 ; jj ; 101 
 3137 ; 1000 марок. Польша ; 1919 ;  ;  ;  ; 33 ; Copirchik ; 512 
 3138 ; 250000 марок. Польша ; 1923 ;  ;  ;  ; 15 ; Copirchik ; 351 
 3139 ; 10000 марок. Польша ; 1922 ;  ;  ;  ; 28 ; 542 ; 249 
 3140 ; 50000 марок. Польша ; 1922 ;  ;  ;  ; 63 ; Copirchik ; 260 
 3141 ; 1 марка. Польша ; 1919 ;  ;  ;  ; 83 ; Copirchik ; 174 
 3142 ; 5 марок. Польша ; 1919 ;  ;  ;  ; 47 ; Copirchik ; 153 
 3143 ; 20 марок. Польша ; 1919 ;  ;  ;  ; 33 ; Copirchik ; 378 
 3144 ; 1 марка. Польша ; 1919 ;  ;  ;  ; 7 ; gelind ; 102 
 3145 ; 20 марок. Польша ; 1919 ;  ;  ;  ; 74 ; jj ; 101 
 3146 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 10 ; 223355 ; 100 
 3147 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 81 ; Copirchik ; 153 
 3148 ; 1/2 марки. Польша ; 1920 ;  ;  ;  ; 37 ; Copirchik ; 153 
 3149 ; 1/2 марки. Польша ; 1917 ;  ;  ;  ; 20 ; димитрий ; 150 
 3150 ; 10 марок. Польша ; 1917 ;  ;  ;  ; 66 ; бездельник22 ; 545 
 3151 ; 5 злотых. Польша ; 1930 ;  ;  ;  ; 5 ; natallli ; 53 
 3152 ; 1 марка. Мемель ; 1922 ;  ;  ;  ; 10 ; Copirchik ; 355 
 3153 ; 5 марок. Мемель ; 1922 ;  ;  ;  ; 18 ; Copirchik ; 623 
 3154 ; 20 марок. Мемель ; 1922 ;  ;  ;  ; 16 ; Copirchik ; 510 
 3155 ; 50 франков. Франция ; 1932 ;  ;  ;  ; 21 ; бездельник22 ; 254 
 3156 ; 1 песета. Испания ; 1937 ;  ;  ;  ; 36 ; 542 ; 225 
 3157 ; 10 песет. Испания ; 1935 ;  ;  ;  ; 34 ; smel ; 149 
 3158 ; 25 песет. Испания ; 1928 ;  ;  ;  ; 41 ; Vict_1 ; 102 
 3159 ; 50 песет. Испания ; 1931 ;  ;  ;  ; 48 ; smel ; 352 
 3160 ; 100 марок. Германия ; 1920 ;  ;  ;  ; 3 ; Vict_1 ; 48 
 3161 ; 100 песет. Испания ; 1925 ;  ;  ;  ; 31 ; den_ff ; 161 
 3162 ; 100 песет. Испания ; 1928 ;  ;  ;  ; 44 ; smel ; 336 
 3163 ; 100 песет. Испания ; 1965 ;  ;  ;  ; 23 ; smel ; 149 
 3164 ; 100 песет. Испания ; 1970 ;  ;  ;  ; 2 ; dtdt ; 100 
 3165 ; 100 марок. Германия ; 1920 ;  ;  ;  ; 3 ; Vict_1 ; 48 
 3166 ; 100марок. Германия ; 1935 ;  ;  ;  ; 2 ; dtdt ; 100 
 3067 ; 10 крон ; 1928 ;  ;  ;  ; 28 ; priwet ; 400 
 3068 ; 1000 рублей. Туркестан ; 1920 ;  ;  ;  ; 28 ; acer ; 421 
 3069 ; 10000 рублей ; 1921 ; Азербайджан  ;  ;  ; 20 ; pumpkin ; 569 
 3070 ; 5000 рублей ; 1921 ; Азербайджан  ;  ;  ; 34 ; pumpkin ; 697 
 3071 ; 100 рублей ; 1919 ; Туркестан  ;  ;  ; 20 ; necator ; 543 
 3072 ; 100 рублей. Чита ; 1920 ;  ;  ; XF ; 63 ; necator ; 572 
 3073 ; 5 рублей. Пятигорск ; 1918 ;  ;  ; XF ; 36 ; Dj ; 2600 
 3074 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; XF ; 22 ; hotin ; 1599 
 3075 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; XF ; 15 ; hotin ; 1377 
 3076 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ; XF ; 22 ; bia1982 ; 2142 
 3077 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты  ;  ; XF ; 10 ; Fedor_K ; 2040 
 3078 ; 1000000 рублей ; 1922 ; Азербайджан  ;  ; XF ; 29 ; Dj ; 819 
 3079 ; 250 рублей ; 1919 ; Азербайджан  ;  ; XF ; 17 ; Dj ; 793 
 3080 ; 250 рублей ; 1919 ; Армения  ;  ; XF ; 40 ; dimitri ; 615 
 3081 ; 100 рублей ; 1918 ; Закавказье  ;  ; XF ; 22 ; 67 ; 1326 
 3082 ; 1 червонец ; 1922 ; Банковские билеты  ;  ; XF ; 43 ; SlavA ; 10399 
 3083 ; 500 марок золотом ; 1909 ; Финляндия билет  ;  ; XF ; 66 ; А2007 ; 5021 
 3084 ; Крестьянский выигрышный заем облигация в 3 рубля (образец) ; 1924 ;  ;  ; XF ; 37 ; yaroslav ; 8670 
 3085 ; Крестьянский выигрышный заем облигация в 5 рублей (образец) ; 1924 ;  ;  ; XF ; 51 ; and000 ; 8500 
 3086 ; 100 шиллингов. Оккупация Австрии ; 1944 ;  ;  ; AU ; 75 ; MG ; 1905 
 3087 ; 50 карбованцев ; 1942 ;  ;  ; AU ; 50 ; 67 ; 1414 
 3088 ; 100 рублей. Ростов ; 1919 ;  ;  ; AU ; 92 ; denzil ; 1041 
 3089 ; 250 рублей. Ростов ; 1918 ;  ;  ; AU ; 98 ; 67 ; 1274 
