 3194 ; 250 рублей. Обязательство ; 1919 ;  ;  ;  ; 40 ; lelik ; 105 
 3195 ; 1000 рублей. Обязательство ; 1919 ;  ;  ;  ; 10 ; нумизмат ; 187 
 3196 ; 5000 рублей ; 1923 ;  ;  ;  ; 58 ; lelik ; 319 
 3197 ; 500 рублей. Шипов ; 1912 ;  ;  ;  ; 39 ; VEU3 ; 216 
 3198 ; 500 рублей. Шипов ; 1912 ;  ;  ;  ; 28 ; Ilyas ; 400 
 3199 ; 250 рублей ; 1923 ;  ;  ;  ; 37 ; МОЁ ; 157 
 3200 ; 250 карбованцев ; 1918 ;  ;  ;  ; 13 ; нумизмат ; 497 
 3201 ; 10000 рублей ; 1992 ;  ;  ;  ; 51 ; Luidor ; 152 
 3202 ; 1 песо. Куба ; 1896 ;  ;  ;  ; 41 ; lelik ; 263 
 3203 ; 10 марок ; 1929 ;  ;  ;  ; 25 ; нумизмат ; 142 
 3204 ; Акция. Киев ; 1905 ;  ;  ;  ; 7 ; skir ; 232 
 3205 ; Акция. Грозненская нефтяная компания ; 1895 ;  ;  ;  ; 2 ; lelik ; 272 
 3206 ; Акция. Общество керченских металлургических заводов и рудников ; 1899 ;  ;  ;  ; 12 ; lelik ; 510 
 3207 ; Акция. Томбовское горно-рудное и металлургическое общество ; 1911 ;  ;  ;  ; 6 ; lelik ; 308 
 3208 ; Акция метеллургического общества ; 1900 ;  ;  ;  ; 17 ; lelik ; 211 
 3209 ; Акция, Донецкое общ-во железоделательного и сталелитейного производств ; 1911 ;  ;  ;  ; 4 ; lelik ; 510 
 3210 ; Акция АО Николаевских заводов и верфей ; 1913 ;  ;  ;  ; 11 ; lelik ; 510 
 3211 ; Акция АО по изготовлению болтов в С-Перербурге ; 1899 ;  ;  ;  ; 89 ; lelik ; 216 
 3212 ; Акция, Каменноугольное общ-во Нижней Крынки ; 1900 ;  ;  ;  ; 36 ; lelik ; 510 
 3213 ; Акция АО Франко-Русских заводов ; 1911 ;  ;  ;  ; 24 ; lelik ; 306 
 3214 ; Акция АО "Легат" по изготовлению ремней в России ; 1900 ;  ;  ;  ; 6 ; lelik ; 308 
 3215 ; Акция металлургического общ-ва ; 1900 ;  ;  ;  ; 9 ; lelik ; 189 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 36 ; seaman ; 35 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 21 ; seaman ; 38 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 9 ; seaman ; 157 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 4 ; кент74 ; 39 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ЧИС ; 23 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seaman ; 21 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 5 ; finder ; 35 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 18 ; alex995 ; 25 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 5 ; finder ; 57 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 20 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 20 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 20 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Sky2 ; 29 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 27 ; asru ; 42 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 15 ; нумизмат ; 104 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 31 ; 542 ; 261 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 3 ; кент74 ; 55 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Sky2 ; 30 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 41 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 12 ; amar ; 104 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 35 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asru ; 59 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 4758 ; 100 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 4758 ; 31 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 30 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ООДУУМ ; 92 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Sky2 ; 40 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ura 57 ; 267 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 78 ; 542 ; 244 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 7 ; lelik ; 280 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 88 ; Sky2 ; 204 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 19 ; нумизмат ; 202 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 21 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 20 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Sky2 ; 21 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Sky2 ; 20 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Sky2 ; 40 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 5 ; eddy ; 161 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 4 ; НБ ; 105 
 3174 ; 3 копейки ; 1915 ;  ;  ;  ; 72 ; нумизмат ; 306 
 3175 ; 3 копейки ; 1915 ;  ;  ;  ; 12 ; нумизмат ; 100 
