 3241 ; Бона иностранная ;  ;  ;  ;  ; 38 ; кузин ; 171 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 66 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 59 ; нумизмат ; 206 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 82 ; Sky2 ; 201 
 3245 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 82 
 3246 ; Бона иностранная ;  ;  ;  ;  ; 68 ; xabib ; 122 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 9 ; salim ; 20 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 16 ; jesi ; 27 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 9 ; salim ; 20 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 16 ; jesi ; 25 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4758 ; 31 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 10 ; o.k. ; 34 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 31 ; нумизмат ; 42 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 10 ; oks ; 30 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kaa123 ; 45 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 13 ; spektr ; 36 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 10 ; мурман2008 ; 33 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 14 ; spektr ; 37 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 542 ; 137 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 3 ; нумизмат ; 29 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 23 ; o.k. ; 131 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 39 ; кузин ; 306 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 8 ; мурман2008 ; 31 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Sky2 ; 24 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 18 ; gelind ; 46 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 29 ; кузин ; 181 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 28 ; нумизмат ; 279 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Sterh ; 27 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Захар ; 124 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 36 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 7 ; asru ; 28 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 19 ; нумизмат ; 128 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 35 ; ura 57 ; 521 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 28 ; lesnik1 ; 195 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 542 ; 235 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 19 ; lelik ; 119 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Sterh ; 26 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Sky2 ; 34 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 25 ; kaa123 ; 99 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 17 ; orel66 ; 124 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Sky2 ; 208 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 19 ; orel66 ; 40 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 26 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 13 ; orel66 ; 97 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 5 ; oks ; 30 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 4 ; oks ; 30 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 7 ; salim ; 21 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 7 ; нумизмат ; 30 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaa123 ; 36 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 41 ; кузин ; 344 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 50 ; eddy ; 463 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 223355 ; 39 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Sky2 ; 41 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kaa123 ; 44 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 39 ; xabib ; 141 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 37 ; eddy ; 206 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 6 ; paxa ; 30 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 5 ; paxa ; 30 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 7 ; paxa ; 30 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 5 ; paxa ; 30 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 8 ; paxa ; 28 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 223355 ; 29 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 223355 ; 29 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 9 ; paxa ; 30 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 8 ; paxa ; 30 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 7 ; asru ; 31 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 4 ; МИС ; 31 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 36 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 6 ; QSL ; 38 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 36 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 18 ; QSL ; 36 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 7 ; jesi ; 28 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 223355 ; 29 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 35 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 100924 ; 29 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 100924 ; 36 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 100924 ; 30 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 36 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 6 ; QSL ; 32 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 223355 ; 29 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 223355 ; 29 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 15 ; jesi ; 28 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 26 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 6 ; QSL ; 28 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 26 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 33 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 4 ; МИС ; 33 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 32 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 32 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 2 ; QSL ; 31 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 8 ; jesi ; 29 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 5 ; salim ; 20 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Sky2 ; 31 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Sky2 ; 26 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Sky2 ; 26 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 29 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 9 ; salim ; 20 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 13 ; smel ; 30 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 1972 ; 153 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 3 ; jesi ; 24 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 4 ; QSL ; 29 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asru ; 134 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 223355 ; 29 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 36 ; smel ; 36 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 14 ; IronWill ; 26 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 31 ; jj ; 53 
 3091 ; 250 рублей. Армения ; 1919 ;  ;  ;  ; 22 ; тнн ; 357 
 3092 ; 500 рублей. Гос-во российское ; 1919 ;  ;  ;  ; 91 ; kollega ; 1836 
 3093 ; 25 рублей ; 1899 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 64 ; kostian1284 ; 4507 
 3094 ; 25000 рублей. Недопечатана ; 1920 ;  ;  ;  ; 26 ; denzil ; 2142 
 3095 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 76 ; Ilyas ; 6243 
 3096 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 67 ; Ilyas ; 6629 
 3097 ; 1000000 рублей ; 1921 ; Обязательства РСФСР 1921 г. ;  ;  ; 38 ; Paul68 ; 5606 
 3098 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 72 ; luvver ; 2500 
 3099 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 80 ; HSS ; 2643 
 3100 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 74 ; seaman ; 2346 
