 3233 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bcs ; 77 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 44 ; vost ; 78 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Nirvanych ; 66 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 6 ; paxa ; 32 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 61 ; ICEK ; 218 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 49 ; 4д4 ; 49 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 54 ; mirumir ; 140 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 223355 ; 23 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 31 ; vlkorchev ; 203 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ICEK ; 35 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 15 ; paxa ; 50 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 17 ; нумизмат ; 70 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kozl2002 ; 26 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 6 ; MAYSIC ; 25 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 6 ; MAYSIC ; 25 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 3 ; asru ; 26 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 29 ; asru ; 27 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 29 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 25 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 26 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 23 ; asru ; 27 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 22 ; gelind ; 26 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 5 ; asru ; 27 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 27 ; derk02 ; 159 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 11 ; derk02 ; 181 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 3 ; asru ; 26 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 13 ; teok ; 36 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 8 ; moneymax ; 17 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Nirvanych ; 35 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ELLD ; 19 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Майкл ; 50 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 34 ; ICEK ; 104 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ЧИС ; 30 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 12 ; derk02 ; 27 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 21 ; moneymax ; 21 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 21 ; moneymax ; 21 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 60 ; jj ; 81 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kozl2002 ; 20 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 34 ; D-503 ; 39 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 41 ; D-503 ; 51 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 31 ; vlkorchev ; 66 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kozl2002 ; 18 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kozl2002 ; 18 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kozl2002 ; 18 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kozl2002 ; 18 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 5 ; moneymax ; 23 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 37 ; ICEK ; 153 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vlkorchev ; 26 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vlkorchev ; 37 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 55 ; gelind ; 63 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 19 ; vlkorchev ; 44 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ELLD ; 23 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kozl2002 ; 28 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 223355 ; 34 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 29 ; asru ; 61 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 28 ; ICEK ; 204 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ICEK ; 42 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vlkorchev ; 64 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sterh ; 23 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 55 ; 4д4 ; 61 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 30 ; koga ; 29 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 79 ; derbnik ; 102 
 3133 ; Купоны (4 шт.) ;  ;  ;  ;  ; 15 ; asru ; 28 
 3134 ; Купоны (6 шт.) ;  ;  ;  ;  ; 17 ; gelind ; 44 
 3135 ; Купоны (8 шт.) ;  ;  ;  ;  ; 22 ; gelind ; 32 
 3136 ; Купоны (8 шт.) ;  ;  ;  ;  ; 13 ; asru ; 15 
 3137 ; Купоны (6 шт.) ;  ;  ;  ;  ; 12 ; derbnik ; 14 
 3138 ; Купоны (10 шт.) ;  ;  ;  ;  ; 17 ; ELLD ; 18 
 3139 ; Купоны (23 шт.) ;  ;  ;  ;  ; 12 ; lesnik1 ; 39 
 3140 ; Купоны (94 шт.) ;  ;  ;  ;  ; 10 ; lesnik1 ; 66 
 3141 ; Купоны (50 шт.) ;  ;  ;  ;  ; 15 ; ELLD ; 44 
 3142 ; Купоны (50 шт.) ;  ;  ;  ;  ; 21 ; kozl2002 ; 51 
 3143 ; Облигация ; 1885 ;  ;  ;  ; 38 ; Igor43 ; 227 
 3144 ; Облигация ; 1885 ;  ;  ;  ; 24 ; Igor43 ; 227 
 3145 ; Ташкентский трамвай. Привилегированная акция ; 1897 ;  ;  ;  ; 40 ; 4758 ; 462 
 3146 ; Ташкентский трамвай. Облигация. Тираж - 3500 шт. ; 1912 ;  ;  ;  ; 26 ; 4758 ; 499 
 3147 ; Ташкентский трамвай. Облигация. Тираж - 6000 шт. ; 1908 ;  ;  ;  ; 37 ; 4758 ; 505 
 3148 ; Облигация С.-Петербургского гор.кредитного общества ; 1912 ;  ;  ;  ; 37 ; Igor43 ; 612 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 5 ; asru ; 27 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 18 ; MAD_B ; 27 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kozl2002 ; 15 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asru ; 27 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 23 ; asru ; 26 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 26 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 27 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 27 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 22 ; asru ; 27 
