 3214 ; Бона иностранная ;  ;  ;  ;  ; 52 ; derk02 ; 104 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Doro ; 55 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 25 ; bolik ; 90 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Doro ; 53 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 37 ; kaa123 ; 46 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bolik ; 60 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Doro ; 61 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 52 ; 4758 ; 152 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 35 ; smel ; 255 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 34 ; 4758 ; 215 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 46 ; pref ; 51 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 27 ; kostian1284 ; 800 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 15 ; bolik ; 61 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 37 ; derk02 ; 400 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 38 ; AlykARD ; 99 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 53 ; derk02 ; 204 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 40 ; bolik ; 100 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Doro ; 128 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 35 ; 4758 ; 133 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 76 ; torus72 ; 466 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 71 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Andre_ssin ; 71 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Ромбор ; 35 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Ромбор ; 40 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ромбор ; 40 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Ромбор ; 40 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Ромбор ; 40 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 13 ; сми ; 24 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 86 ; Винни Пух ; 254 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vanamo ; 29 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 21 ; й12 ; 23 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 34 ; derk02 ; 50 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Saneck ; 30 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 48 ; derk02 ; 105 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 23 ; й12 ; 24 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 9 ; сми ; 27 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 29 ; derk02 ; 69 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 16 ; сми ; 24 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 4758 ; 104 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 75 ; derk02 ; 99 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 11 ; сми ; 32 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 21 ; derk02 ; 612 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 15 ; й12 ; 19 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сми ; 25 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 32 ; derk02 ; 56 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kostian1284 ; 467 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 37 ; jj ; 57 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 16 ; igni1021 ; 40 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 24 ; сми ; 45 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vitas123 ; 50 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 25 ; derk02 ; 816 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 32 ; сми ; 33 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 14 ; сми ; 24 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 31 ; vvp500 ; 68 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 24 ; сми ; 29 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 17 ; й12 ; 34 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 15 ; igni1021 ; 53 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Argnist3000 ; 90 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kostian1284 ; 50 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 34 ; derk02 ; 104 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 30 ; derk02 ; 243 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 51 ; bolik ; 80 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 16 ; сми ; 76 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 25 ; kostian1284 ; 399 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Argnist3000 ; 148 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 43 ; Doro ; 121 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 4758 ; 237 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4758 ; 185 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vitas123 ; 159 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 46 ; derk02 ; 91 
 3114 ; 50 рублей ; 1915 ;  ;  ;  ; 24 ; AIK60 ; 83 
 3115 ; 50 рублей ; 1915 ;  ;  ;  ; 17 ; инга ; 137 
 3116 ; 50 рублей ; 1914 ;  ;  ;  ; 57 ; vanamo ; 206 
 3117 ; Бона, Закавказье (2 шт.) ; 1918-20 ;  ;  ;  ; 32 ; ejik ; 261 
 3118 ; Купоны (14 шт.) ;  ;  ;  ;  ; 25 ; Захар ; 39 
 3119 ; Купоны (24 шт.) ;  ;  ;  ;  ; 3 ; й12 ; 4 
 3120 ; Купоны (54 шт.) ;  ;  ;  ;  ; 34 ; lesnik1 ; 79 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 12 ; й12 ; 24 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 32 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 22 ; vvp500 ; 57 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Doro ; 47 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Doro ; 49 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Doro ; 31 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 5 ; й12 ; 14 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Doro ; 43 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 15 ; lesnik1 ; 101 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaa123 ; 32 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bolik ; 30 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 19 ; сми ; 30 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 26 ; й12 ; 27 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 16 ; й12 ; 20 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 16 ; й12 ; 28 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 15 ; й12 ; 20 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сми ; 23 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 17 ; asru ; 30 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 18 ; smel ; 36 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 13 ; smel ; 36 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Ромбор ; 35 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 3 ; й12 ; 21 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Ромбор ; 40 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Ромбор ; 40 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ромбор ; 43 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 36 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ромбор ; 40 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 36 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Ромбор ; 38 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ромбор ; 38 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ромбор ; 38 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ромбор ; 38 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Ромбор ; 36 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ромбор ; 37 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ромбор ; 38 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ромбор ; 38 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ромбор ; 40 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3064 ; 5 крон ; 1929 ;  ;  ;  ; 24 ; ura 57 ; 330 
 3065 ; 10 рублей, Либавское г.с. ;  ;  ;  ;  ; 89 ; k212 ; 802 
 3066 ; 5000 рублей ; 1921 ; Армения ;  ;  ; 42 ; Bagrin ; 510 
 3067 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 23 ; 4758 ; 234 
 3068 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 16 ; А25 ; 510 
 3069 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 55 ; Cashman ; 355 
 3070 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 26 ; Cashman ; 1040 
 3071 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 79 ; verazal ; 759 
 3072 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 36 ; GerG256 ; 725 
 3073 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 19 ; lesnik1 ; 378 
 3074 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 15 ; А25 ; 610 
 3075 ; 5 рублей, Сочи ; 1919 ;  ;  ;  ; 73 ; k212 ; 614 
 3076 ; 20000 рублей, Крым ;  ;  ;  ;  ; 62 ; й12 ; 1122 
 3077 ; 10000 рублей, Крым ;  ;  ;  ;  ; 30 ; й12 ; 1122 
 3078 ; 1 рубль. Оренбург ; 1918 ;  ;  ;   ; 70 ; Bagrin ; 722 
 3079 ; 1 рубль ; 1920 ;  ;  ;  ; 71 ; Cashman ; 691 
 3080 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 180 ; Cashman ; 1365 
 3081 ; 1 рубль. Брак. Односторонняя ; 1918 ;  ;  ;  ; 32 ; derk02 ; 1581 
 3082 ; 3 рубля. Оренбург ; 1918 ;  ;  ;   ; 49 ; SАП ; 2013 
 3083 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 98 ; wladimir ; 3682 
 3084 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 95 ; wladimir ; 3737 
 3085 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 82 ; loyig ; 1084 
 3086 ; 5 рублей, Казань ;  ;  ;  ;   ; 39 ; non68 ; 1020 
 3087 ; 1 рубль. ОПО "Правильный путь" ; 1924 ;  ;  ;  ; 35 ; цц ; 969 
 3088 ; 100 рублей. ОПО "Правильный путь" ; 1923 ;  ;  ;  ; 43 ; цц ; 616 
 3089 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 127 ; o.k. ; 323 
 3090 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 31 ; o.k. ; 332 
 3091 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 31 ; o.k. ; 349 
 3092 ; 10 рублей. АО Белорецких заводов ; 1919 ;  ;  ;  ; 47 ; non68 ; 1632 
 3093 ; 25 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 19 ; й12 ; 1010 
 3094 ; 5 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 29 ; й12 ; 1020 
 3095 ; 10 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 25 ; й12 ; 1020 
 3096 ; 50 рублей. ОПО "Правильный путь" ; 1923 ;  ;  ;  ; 37 ; цц ; 1154 
 3097 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 55 ; ac ; 2958 
 3098 ; 25000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 62 ; Cashman ; 6495 
 3099 ; 100 марок золотом ; 1898 ; Финляндия билет ;  ;  ; 55 ; й12 ; 3413 
 3100 ; 1 рубль. Общество Кыштымских горных заводов ; 1920 ;  ;  ;  ; 52 ; Майкл ; 1297 
 3101 ; 200 рублей, разряд 1 ; 1917 ;  ;  ;  ; 66 ; Bagrin ; 363 
 3102 ; 200 рублей, разряд 3 ; 1917 ;  ;  ;  ; 49 ; Bagrin ; 373 
 3103 ; 1000 рублей ; 1917 ;  ;  ;  ; 36 ; GerG256 ; 219 
 3104 ; 1000 рублей ; 1917 ;  ;  ;  ; 20 ; AIK60 ; 146 
 3105 ; 1000 рублей ; 1917 ;  ;  ;  ; 8 ; vlkorchev ; 106 
 3106 ; 1000 рублей ; 1917 ;  ;  ;  ; 26 ; o.k. ; 210 
 3107 ; 1000 рублей ; 1917 ;  ;  ;  ; 41 ; инга ; 141 
 3108 ; 5000 рублей ; 1918 ;  ;  ;  ; 61 ; dog009 ; 1041 
 3109 ; 5000 рублей ; 1918 ;  ;  ;  ; 38 ; xabib ; 540 
 3110 ; 5000 рублей ; 1918 ;  ;  ;  ; 51 ; dog009 ; 1025 
 3111 ; 10000 рублей ; 1918 ;  ;  ;  ; 28 ; xabib ; 375 
 3112 ; 10000 рублей ; 1918 ;  ;  ;  ; 62 ; lesnik1 ; 426 
 3113 ; 10000 рублей ; 1918 ;  ;  ;  ; 101 ; Cashman ; 2580 
