 3263 ; 50 рублей ; 1919 ;  ;  ;  ; 56 ; vanamo ; 194 
 3264 ; 3 рубля ; 1934 ;  ;  ;  ; 79 ; Him ; 906 
 3265 ; 50 рублей ; 1918 ;  ;  ;  ; 21 ; Him ; 867 
 3266 ; 100000 рублей ; 1921 ;  ;  ;  ; 53 ; смит ; 792 
 3267 ; 3 червонца ; 1932 ;  ;  ;  ; 120 ; tyu ; 1292 
 3268 ; 2 червонца ; 1928 ;  ;  ;  ; 89 ; VladVK ; 1521 
 3269 ; 5 рублей ; 1918 ;  ;  ;  ; 79 ; sveta6369 ; 213 
 3270 ; 25 рублей ; 1918 ;  ;  ;  ; 47 ; numizavr ; 833 
 3271 ; 25000 рублей ; 1923 ;  ;  ;  ; 54 ; oae79 ; 5307 
 3272 ; 10000 рублей ; 1923 ;  ;  ;  ; 52 ; Him ; 4182 
 3273 ; 15000 рублей ; 1923 ;  ;  ;  ; 44 ; Cashman ; 2555 
 3274 ; 100 рублей, Армения ; 1919 ;  ;  ;  ; 24 ; mirmirmir ; 301 
 3275 ; 3 рубля ; 1917 ;  ;  ;  ; 58 ; Fedor_K ; 466 
 3276 ; 10 рублей ; 1920 ;  ;  ;  ; 49 ; Him ; 628 
 3277 ; 10 карбованцев ;  ;  ;  ;  ; 62 ; lesnik1 ; 226 
 3278 ; 1 рубль ; 1898 ;  ;  ;  ; 29 ; mirmirmir ; 61 
 3279 ; 10000 рублей ; 1921 ;  ;  ;  ; 37 ; смит ; 564 
 3280 ; 1 рубль ; 1861 ;  ;  ;  ; 63 ; andrei6808 ; 5919 
 3281 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3282 ; 5 рублей ; 1898 ;  ;  ;  ; 85 ; Cashman ; 8658 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 24 ; й12 ; 46 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Prooof ; 62 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 2244 ; 48 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 20 ; mirmirmir ; 31 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Prooof ; 34 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mirmirmir ; 37 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 20 ; mirmirmir ; 36 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 30 ; цц ; 29 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Prooof ; 32 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 33 ; mirmirmir ; 61 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 34 ; mirmirmir ; 40 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Rustman ; 33 
