 1161 ; 200 рублей. М-31,1г ; 1994 ; ММД Сохраним наш мир. Соболя ; Au999 ; Proof ; 0 ; Участник № 44 ; 60000 
 1162 ; 200 рублей. М-31,1г ; 1995 ; ММД Сохраним наш мир. Рысь ; Au999 ; Proof ; 0 ; Участник № 64 ; 60000 
 1163 ; 200 рублей. М-31,1г ; 1996 ; ММД Сохраним наш мир. Тигр ; Au999 ; Proof ; 0 ; Участник № 1546 ; 145000 
 1164 ; 200 рублей. М-31,1г ; 1997 ; ЛМД Сохраним наш мир. Белый медведь ; Au999 ; Proof ; 0 ; Участник № 64 ; 115000 
 1165 ; 200 рублей. М-31,1г ; 2000 ; СПМД Сохраним наш мир. Снежный барс ; Au999 ; Proof ; 0 ; Участник № 1546 ; 152000 
 1166 ; 200 рублей. М-31,1г ; 2004 ; ММД Сохраним наш мир. Северный олень ; Au999 ; Proof ; 0 ; Участник № 1546 ; 146000 
 1167 ; 100 рублей. М-15,55г ; 1993 ; ММД Сохраним наш мир. Бурый медведь ; Au999 ; Proof ; 0 ; Участник № 64 ; 32000 
 1168 ; 100 рублей. М-15,55г ; 1994 ; ММД Сохраним наш мир. Соболь ; Au999 ; Proof ; 0 ; Участник № 64 ; 42000 
 1169 ; 100 рублей. М-15,55г ; 1995 ; ММД Сохраним наш мир. Рысь ; Au999 ; Proof ; 5 ; Участник № 64 ; 36000 
 1170 ; 100 рублей. М-15,55г ; 1996 ; ММД Сохраним наш мир. Амурский Тигр ; Au999 ; Proof ; 1 ; Участник № 44 ; 70000 
 1171 ; 100 рублей. М-15,55г ; 1997 ; ЛМД Сохраним наш мир. Белый медведь ; Au999 ; Proof ; 1 ; Участник № 1546 ; 52000 
 1172 ; 100 рублей. М-15,55г ; 2000 ; СПМД Сохраним наш мир. Снежный барс ; Au999 ; Proof ; 0 ; Участник № 64 ; 36000 
 1173 ; 100 рублей. М-15,55г ; 2004 ; СПМД Сохраним наш мир. Северный олень ; Au999 ; Proof ; 1 ; Участник № 1546 ; 34000 
 1174 ; 50 рублей. М-7,78г ; 1993 ; ММД Сохраним наш мир. Бурый медведь ; Au999 ; Proof ; 0 ; Участник № 44 ; 31000 
 1175 ; 50 рублей. М-7,78г ; 1994 ; ММД Сохраним наш мир. Соболь ; Au999 ; Proof ; 1 ; титан ; 20400 
 1176 ; 50 рублей. М-7,78г ; 1996 ; ЛМД Сохраним наш мир. Амурский тигр ; Au999 ; Proof ; 0 ; Участник № 44 ; 34000 
 1177 ; 50 рублей. М-7,78г ; 1995 ; ЛМД Сохраним наш мир. Рысь ; Au999 ; Proof ; 0 ; Не продан ; 0 
 1178 ; 50 рублей. М-7,78г ; 1997 ; ММД "Сохраним наш мир".Белый медведь ; Au999 ; Proof ; 0 ; Участник № 1805 ; 25000 
 1179 ; 50 рублей. М-7,78г ; 2000 ; СПМД Сохраним наш мир. Снежный барс ; Au999 ; Proof ; 5 ; Участник № 641 ; 32000 
 1180 ; 50 рублей ; 1995 ; ЛМД 50 лет ООН ; Au ; Proof ; 5 ; Участник № 64 ; 27000 
 1181 ; 25 рублей. М-3,11г ; 1993 ; ММД Сохраним наш мир. Бурый медведь ; Au999 ; Proof ; 7 ; титан ; 10098 
 1182 ; 25 рублей. М-4,32г ; 1994 ; ЛМД Байкальский тоннель ; Au900 ; Proof ; 1 ; Участник № 44 ; 8500 
 1183 ; 25 рублей. М-3,11г ; 1994 ; ММД Сохраним наш мир. Соболь ; Au999 ; Proof ; 0 ; Участник № 64 ; 8000 
 1184 ; 50 рублей. М-7,78г ; 2004 ; ММД Сохраним наш мир. Северный олень ; Au999 ; Proof ; 0 ; Участник № 64 ; 22000 
 1185 ; Знак ордена святого равноапостольного князя Владимира IV ст. Выдача из Капитула. Мастерская "Кейбель". Р-ры: 34,5Х34,6мм. М-8,10гр ; 1899-1903 ; Владимира IV ст. ; Au, эмаль ; XF+ ; 14 ; нумизмат ; 170340 
 1186 ; Знак ордена Св. Анны II ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 43х43мм. М-14,64гр ; 1908-1910 ; Золото, эмаль. "Эдуард". ; Au, эмаль ; VF+ ; 1 ; Mol ; 91800 
 1187 ; Знак ордена Св. Анны III ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 36х36мм. М-8,28 (с серьгой) ; 1908-1910 ;  ; Au, эмаль ; XF ; 1 ; Mol ; 40800 
 1188 ; Знак ордена Св. Станислава II ст. Выдача из Капитула. Фирма "Кейбель". Р-ры: 45х45мм. М-19,44гр ; 1882-1899 ;  ; Au, эмаль ; XF+ ; 15 ; нумизмат ; 118761 
 1189 ; Знак ордена Св. Станислава III ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 42х43мм. М-10,95 (с серьгой) ; 1855-1916 ; Золото, эмаль. ; Au, эмаль ; XF ; 1 ; Mol ; 40800 
 1190 ; Знак . Мариинская барачная лечебница императрицы Марии Федоровны. В коробке Р-ры: 50х23мм ;  ;  ; Ag, позол.эмаль ; XF ; 0 ; Не продан ; 0 
 1191 ; Жетон. В память коронации Екатерины II. D-20мм ; 1762 ;  ; Ag ; VF+ ; 6 ; yurbor ; 11334 
 1192 ; Медаль. На коронацию Павла I ; 1797 ;  ; Ag ; VF ; 11 ; VAP20 ; 20406 
 1193 ; Медаль "За взятие Парижа". D-28мм. Санкт-Петербургский монетный двор. М-13,50гр (с серьгой) ; 1814 ;  ; Ag ; VF+ ; 1 ; Mol ; 45900 
 1194 ; Медаль "За усердие". D-29мм. Санкт-Петербургский монетный двор. М-13,72гр. Медальер А. Лялин ("А.Л." в обрезе шеи) ; после 1846г ;  ; Ag ; VF+ ; 1 ; Mol ; 61200 
 1195 ; Медаль. На коронацию Александра II. D-50мм ; 1856 ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1196 ; Медаль "За усердие". D-29мм. Санкт-Петербургский монетный двор. М-13,29гр. Медальер Р.Ганнеман ; после 1856г ;  ; Ag ; VF+ ; 1 ; Mol ; 24000 
 1197 ; Медаль "За усердие". D-29мм. Санкт-Петербургский монетный двор. М-13,59гр. Медальер Л. Штейнман ("Л.Ш." в обрезе шеи) ; после 1881г ;  ; Ag ; VF- ; 1 ; Mol ; 15300 
 1198 ; Медаль за усердие. Имп. Александр III. D-51мм ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1199 ; Медаль "За поход в Китай". D-28мм. Санкт-Петербургский монетный двор ; 1901 ;  ; Ag ; VF+ ; 1 ; Участник № 115 ; 13000 
 1200 ; Медаль преуспевающему. D-43мм ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1201 ; Медаль поощрительная за успехи в рисовании. Императорская С. Петербургская Академия художеств. D-35мм. М-29,75гр ;  ;  ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1202 ; Медаль Императорского общества размножения охотничьих и промысловых животных и правильной охоты. D-45мм. М-53г ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 1203 ; Медаль от министерства государственных имуществ.  За сельско-хозяйственные произведения. D-95мм ;  ;  ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1204 ; Медаль. В честь 50 летия императорского общества сельского хозяйства южной России. D-90мм ; 1878 ;  ; Cu ; AU ; 0 ; Не продан ; 0 
 1205 ; Медаль. В память 50 летия Русского общества пароходства и торговли. D-70мм ; 1907 ;  ; Cu ; AU ; 0 ; Не продан ; 0 
 1206 ; Медаль. От главного управления землеустройства и земледелия. D-65мм ;  ;  ; Cu ; AU ; 1 ; int1965708 ; 8160 
 1207 ; Медаль. В память визита Императора Николая II и Императрицы Александры Федоровны во Францию. 5-9 октября 1896. D-70мм ;  ;  ; Cu ; AU ; 0 ; Не продан ; 0 
 1111 ; 20 копеек (Петров-1р) ; 1770 ; СПБ TI ; Ag ; XF- ; 7 ; est4o ; 11220 
 1112 ; 20 копеек (Петров-1р) ; 1771 ; СПБ TI ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1113 ; 20 копеек (Петров-1р) ; 1778 ; СПБ ; Ag ; VF+ ; 6 ; Участник № 520 ; 15000 
 1114 ; 20 копеек (редкие) ; 1857 ; MW ; Ag ; XF ; 5 ; Участник № 42 ; 150000 
 1115 ; 20 копеек (Петров-15р, очень редкие) ; 1878 ; СПБ HI ; Ag ; VF- ; 0 ; Не продан ; 0 
 1116 ; 15 копеек ; 1769 ; ММД ; Ag ; XF ; 0 ; Не продан ; 0 
 1117 ; 15 копеек (редкие) ; 1888 ; СПБ АГ ; Ag ; XF ; 1 ; Team ; 26000 
 1118 ; Гривенник (Петров-6р, редкий) ; 1704 ; М ; Ag ; VF ; 7 ; нумизмат ; 56100 
 1119 ; Гривна ; 1705 ; БК ; Ag ; VF ; 0 ; Не продан ; 0 
 1120 ; Гривна (Петров-2,5р) ; 1732 ;  ; Ag ; XF ; 9 ; Участник № 100 ; 67000 
 1121 ; Гривна (редкая) ; 1733 ;  ; Ag ; XF+ ; 9 ; Участник № 100 ; 52000 
 1122 ; Гривна (Петров-5р, Ильин-4р, редкий) ; 1741 ; ММД ; Ag ; VF ; 1 ; Участник № 116 ; 87000 
 1123 ; 5 копеек (Петров-30р, очень редкие) ; 1714 ;  ; Ag ; VF ; 0 ; Участник № 100 ; 105000 
 1124 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; AU ; 5 ; kazbec ; 27604 
 1125 ; Алтын. Новодел ; 18-19 века ; Петр Алексеевич ; Ag ; XF ; 0 ; Не продан ; 0 
 1126 ; Копейка (очень редкая) ; 1714 ;  ; Ag ; XF ; 0 ; Участник № 87 ; 105000 
 1127 ; Копейка (Петров-5р, редкая) ; 1718 ;  ; Ag ; VF+ ; 1 ; TDN ; 20400 
 1128 ; Копейка ; 1718 ; L перевернута ; Ag ; AU ; 1 ; Участник № 133 ; 26000 
 1129 ; Тинф (Петров-25р, очень редкий). Следы подвески ; 1707 ; I- L ; Ag ; VF ; 0 ; Участник № 100 ; 52000 
 1130 ; Тинф (Петров-12р, редкий) ; 1707 ; IL- L ; Ag ; VF ; 0 ; Участник № 100 ; 42000 
 1131 ; 10 копеек (Петров-6р, Ильин-3р, редкие) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 5 ; sky22 ; 19740 
 1132 ; 10 копеек (Петров-5р, Ильин-3р, редкие) ; 1767 ; "Сибирь" ; Cu ; VF ; 6 ; monos72 ; 25500 
 1133 ; 5 копеек ; 1764 ; ЕМ ; Cu ; XF+ ; 5 ; sky22 ; 8500 
 1134 ; 5 копеек (Ильин-3р) ; 1779 ; ЕМ ; Cu ; VF- ; 9 ; sky22 ; 6321 
 1135 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF+ ; 1 ; кабан ; 10200 
 1136 ; 5 копеек (Петров-10р, Ильин-20р, редкие) ; 1794 ; АМ Павл.перечекан ; Cu ; F-VF ; 1 ; sky22 ; 25500 
 1137 ; 5 копеек ; 1802 ; КМ ; Cu ; VF+ ; 39 ; Участник № 392 ; 14000 
 1138 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; F-VF ; 0 ; Не продан ; 0 
 1139 ; 2 копейки (Петров-10р, Ильин-3р) ; 1758 ;  ; Cu ; F-VF ; 1 ; dimon46 ; 5100 
 1140 ; 2 копейки (Петров-10р, Ильин-20р, очень редкие) ; 1767 ; ММ ; Cu ; F ; 11 ; sky22 ; 19843 
 1141 ; 2 копейки (Петров-15р, Ильин-8р, редкие) ; 1767 ; "Сибирь" ; Cu ; F-VF ; 1 ; sky22 ; 28000 
 1142 ; 2 копейки. D-41мм ; 1793 ; Е- М Павл.перечекан ; Cu ; F-VF ; 1 ; Участник № 140 ; 12000 
 1143 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 13 ; monos72 ; 10302 
 1144 ; 5 копеек. В капсуле NGC ; 1859 ; ЕМ ; Cu ; MS 63 ; 1 ; sky22 ; 20400 
 1145 ; 5 копеек. В капсуле NGC ; 1865 ; ЕМ ; Cu ; MS 63 ; 1 ; sky22 ; 20400 
 1146 ; 2 копейки. В капсуле NGC ; 1851 ; ЕМ ; Cu ; MS 63 ; 1 ; sky22 ; 30000 
 1147 ; 3 копейки. NGC ; 1899 ; СПБ ; Cu ; MS 65 RB ; 5 ; CR1104 ; 5315 
 1148 ; 5 копеек. Крым. Шахин-Гирей (5-ый год правления) ; 1777 ;  ; Cu ; VF+ ; 13 ; Участник № 140 ; 18000 
 1149 ; Рубль ; 1922 ; (ПЛ) ; Ag ; XF+ ; 0 ; Не продан ; 0 
 1150 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF ; 0 ; Не продан ; 0 
 1151 ; 20 копеек ; 1929 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF ; 0 ; Не продан ; 0 
 1152 ; 20 копеек ; 1930 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF- ; 0 ; Не продан ; 0 
 1153 ; 20 копеек (Желтый металл. М-2,97гр. Редкая) ; 1988 ;  ; Ж/м ; VF+ ; 0 ; Участник № 87 ; 30000 
 1154 ; 5 копеек ; 1927 ;  ; Br ; VF+ ; 0 ; Не продан ; 0 
 1155 ; 2 копейки ; 1924 ; Гурт гладкий ; Cu ; XF+ ; 1 ; Team ; 10200 
 1156 ; 2 копейки (очень редкие) ; 1927 ;  ; Br ; F-VF ; 1 ; CELIKA ; 20400 
 1157 ; 2 копейки. М-1,7г ; 1991 ; В белом металле ; Б/м ; AU ; 0 ; Участник № 392 ; 10500 
 1158 ; 3 рубля ; 1998 ; ММД Сав.-Сторож.мон.в Звенигороде (Звенигород) ; Ag ; Proof ; 1 ; Team ; 15300 
 1159 ; 100 рублей ; 1996 ; ММД 300-летие российского флота. Эсминцы ; Au ; Proof ; 0 ; Не продан ; 0 
 1160 ; 200 рублей. М-31,1г ; 1993 ; ММД Сохраним наш мир. Медведи ; Au999 ; Proof ; 0 ; Участник № 44 ; 110000 
 1061 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 1 ; kazbec ; 10200 
 1062 ; Рубль ; 1892 ; (АГ) ; Ag ; XF ; 27 ; 28 ; 25114 
 1063 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 9 ; ZOLTAN333 ; 24276 
 1064 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; PR55 ; 1 ; Участник № 44 ; 350000 
 1065 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; XF ; 1 ; Mol ; 430000 
 1066 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 6 ; Участник № 1104 ; 40000 
 1067 ; Полтина (Петров-4,5р, редкая) ; 1710 ;  ; Ag ; VF ; 3 ; finger ; 72420 
