 3563 ; 10 рублей ; 1923 ;  ;  ;  ; 45 ; ka20 ; 152 
 3564 ; 1 копейка ; 1976 ;  ;  ;  ; 37 ; AMG ; 53 
 3565 ; 50 рублей ; 1991 ; билет ;  ;  ; 70 ; VladVK ; 113 
 3566 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 52 ; росвет ; 156 
 3567 ; 100 рублей ; 1921 ;  ;  ;  ; 31 ; Анатоль ; 102 
 3568 ; 5 рублей ; 1918 ; Азербайджан ;  ;  ; 44 ; Bagrin ; 520 
 3569 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 22 ; bdd48 ; 182 
 3570 ; 100000 рублей ; 1922 ; Азербайджан ;  ;  ; 18 ; koga ; 126 
 3571 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 18 ; destroer ; 315 
 3572 ; 10 рублей ; 1918 ;  ;  ;  ; 14 ; lesnik1 ; 341 
 3573 ; 3 рубля. Асмолов ; 1919 ;  ;  ;  ; 40 ; Bagrin ; 497 
 3574 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 30 ; vital73 ; 550 
 3575 ; Карточка на промтовары ; 1947 ;  ;  ;  ; 24 ; bdd48 ; 312 
 3576 ; 100 рублей. Облигация ; 1953 ;  ;  ;  ; 39 ; psergey ; 140 
 3577 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 58 ; sergoizadlera ; 163 
 3578 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 20 ; o.k. ; 167 
 3579 ; 20 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 34 ; lesnik1 ; 4501 
 3580 ; 10 рублей. Кувшинов ; 1919 ;  ;  ;  ; 47 ; Fedor_K ; 662 
 3581 ; 100 рублей. Армения ; 1919 ;  ;  ;  ; 25 ; sergoizadlera ; 360 
 3582 ; 25 копеек. Новороссийск ;  ;  ;  ;  ; 29 ; Fedor_K ; 510 
 3583 ; 1 рубль. Новороссийск ;  ;  ;  ;  ; 27 ; Fedor_K ; 612 
 3584 ; 3 рубля. Новороссийск ;  ;  ;  ;  ; 14 ; Fedor_K ; 612 
 3585 ; 10 копеек. ОПО "правильный путь" ; 1924 ;  ;  ;  ; 41 ; Майкл ; 534 
 3586 ; 25 рублей ; 1923 ;  ;  ;  ; 51 ; artic_2009 ; 649 
 3587 ; 10 злотых ;  ;  ;  ;  ; 27 ; derk02 ; 41 
 3588 ; 100 рублей. Облигация ;  ;  ;  ;  ; 17 ; psergey ; 200 
 3589 ; Акция ;  ;  ;  ;  ; 9 ; Pronoza ; 211 
 3590 ; Акция ;  ;  ;  ;  ; 7 ; Pronoza ; 340 
 3591 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 17 ; vital73 ; 64 
 3592 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 23 ; AMG ; 79 
 3593 ; Бона иностранная (3 шт) ; 1992 ;  ;  ;  ; 21 ; derbnik ; 22 
 3594 ; Бона иностранная ;  ;  ;  ;  ; 32 ; strestas ; 42 
 3595 ; Бона иностранная ;  ;  ;  ;  ; 54 ; kostian1284 ; 113 
 3596 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Prooof ; 63 
 3597 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Prooof ; 69 
 3598 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Prooof ; 67 
 3599 ; Бона иностранная ;  ;  ;  ;  ; 18 ; psergey ; 26 
