 3566 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 1 ; грос79 ; 22 
 3567 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; yral ; 20 
 3568 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 1 ; sikachai ; 20 
 3569 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 1 ; sikachai ; 20 
 3570 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 65 ; abrek112 ; 1527 
 3571 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 31 ; lvd ; 157 
 3572 ; 500 рублей ; 1919 ; Азербайджан ;  ; AU ; 54 ; Fedor_K ; 663 
 3573 ; 10 рублей. Касимов ; 1918 ;  ;  ; AU ; 40 ; abrek112 ; 612 
 3574 ; 5 рублей. Касимов ; 1918 ;  ;  ; AU ; 18 ; abrek112 ; 612 
 3575 ; 1 рубль. Либавское г.с. ; 1915 ;  ;  ; AU ; 65 ; Fedor_K ; 1016 
 3576 ; 3 рубля. Либавское г.с. ; 1915 ;  ;  ; AU ; 43 ; abrek112 ; 922 
 3577 ; 5 рублей. Либавское г.с. ; 1915 ;  ;  ; AU ; 46 ; Fedor_K ; 1000 
 3578 ; 25 рублей ; 1918 ;  ;  ; AU ; 59 ; diimb ; 828 
 3579 ; 500 рублей ; 1920 ;  ;  ;  ; 84 ; QSCl ; 1150 
 3580 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 14 ; мамонт ; 141 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 39 ; хъ0 ; 50 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 27 ; kuzia ; 45 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 27 ; лисенок ; 32 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 18 ; R61 ; 30 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 15 ; мы ; 24 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 16 ; кукуку ; 22 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 12 ; кукуку ; 27 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ask ; 30 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 12 ; мы ; 26 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 60 ; лисенок ; 124 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ТУК2 ; 10 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 23 ; лисенок ; 32 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 17 ; R61 ; 32 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ТУК2 ; 28 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ask ; 30 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 55 ; ask ; 53 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 17 ; хъ0 ; 67 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 33 ; В1951 ; 50 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 9 ; кукуку ; 19 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 20 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 31 ; olimpic74 ; 50 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 14 ; olimpic74 ; 30 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sikachai ; 40 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 3 ; мы ; 24 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 30 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 16 ; егор ; 30 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 85 ; ask ; 354 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 11 ; raise ; 21 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 8 ; olimpic74 ; 30 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 22 ; raise ; 43 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 56 ; sikachai ; 78 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 24 ; R61 ; 45 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 21 ; sikachai ; 45 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 6 ; olimpic74 ; 30 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 13 ; olimpic74 ; 30 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 54 ; 131026000 ; 58 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 15 ; rachkowsky ; 50 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 16 ; R61 ; 68 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 14 ; raise ; 32 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 21 ; raise ; 30 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sikachai ; 35 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 114 ; ask ; 245 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 7 ; лисенок ; 122 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 71 ; kuzia ; 207 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Медведь ; 46 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Медведь ; 53 
 3562 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 27 ; lvd ; 51 
 3563 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 19 ; валери ; 20 
 3564 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 27 ; lvd ; 53 
 3565 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 3 ; olimpic74 ; 20 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 6 ; R61 ; 25 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kollega ; 25 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 23 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 7 ; лисенок ; 26 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kollega ; 25 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kollega ; 25 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kollega ; 25 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 25 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 24 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kollega ; 25 
