 3639 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 27 
 3640 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ф555 ; 26 
 3641 ; Бона иностранная ;  ;  ;  ;  ; 22 ; гарик ; 29 
 3642 ; Бона иностранная ;  ;  ;  ;  ; 31 ; гарик ; 29 
 3643 ; Бона иностранная ;  ;  ;  ;  ; 27 ; olimpic74 ; 30 
 3644 ; Бона иностранная ;  ;  ;  ;  ; 16 ; из африки ; 27 
 3645 ; Бона иностранная ;  ;  ;  ;  ; 26 ; гарик ; 29 
 3646 ; Бона иностранная ;  ;  ;  ;  ; 18 ; veektor ; 30 
 3647 ; Бона иностранная ;  ;  ;  ;  ; 18 ; sveta6369 ; 32 
 3648 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sveta6369 ; 29 
 3649 ; Бона иностранная ;  ;  ;  ;  ; 30 ; murzik20 ; 29 
 3650 ; Бона иностранная ;  ;  ;  ;  ; 67 ; temichek ; 156 
 3651 ; Бона иностранная ;  ;  ;  ;  ; 25 ; гарик ; 35 
 3652 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sterh ; 20 
 3653 ; Бона иностранная ;  ;  ;  ;  ; 21 ; olimpic74 ; 46 
 3654 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Puchic ; 33 
 3655 ; Бона иностранная ;  ;  ;  ;  ; 15 ; veektor ; 26 
 3589 ; Бона иностранная ;  ;  ;  ;  ; 24 ; murzik20 ; 102 
 3590 ; Бона иностранная ;  ;  ;  ;  ; 7 ; grifon1 ; 31 
 3591 ; Бона иностранная ;  ;  ;  ;  ; 30 ; хъ0 ; 30 
 3592 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ИЮМов1 ; 114 
 3593 ; Бона иностранная ;  ;  ;  ;  ; 18 ; гарик ; 34 
 3594 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 100 
 3595 ; Бона иностранная ;  ;  ;  ;  ; 28 ; murzik20 ; 35 
 3596 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Puchic ; 23 
 3597 ; Бона иностранная ;  ;  ;  ;  ; 11 ; grifon1 ; 36 
 3598 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sikachai ; 82 
