 3652 ; 100 рублей ; 1991 ; билет ;  ;  ; 54 ; andreykag ; 169 
 3653 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 13 ; brabus777 ; 204 
 3654 ; 10 йен. Япония ;  ;  ;  ;  ; 98 ; mirumir ; 744 
 3655 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 82 ; murzik20 ; 722 
 3602 ; Бона иностранная ;  ;  ;  ;  ; 31 ; shais1 ; 104 
 3603 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Олежа ; 34 
 3604 ; Бона иностранная ;  ;  ;  ;  ; 64 ; Олежа ; 75 
 3605 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Олежа ; 71 
 3606 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Олежа ; 71 
 3607 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sveta6369 ; 31 
 3608 ; Бона иностранная ;  ;  ;  ;  ; 19 ; shais1 ; 90 
 3609 ; Бона иностранная ;  ;  ;  ;  ; 28 ; ИЮМов1 ; 93 
 3610 ; Бона иностранная ;  ;  ;  ;  ; 27 ; KEJ ; 41 
 3611 ; Бона иностранная ;  ;  ;  ;  ; 90 ; dimon-2007 ; 141 
 3612 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 20 
 3613 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ф555 ; 18 
 3614 ; Бона иностранная ;  ;  ;  ;  ; 97 ; sasha14 ; 211 
 3615 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Олежа ; 55 
 3616 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Олежа ; 62 
 3617 ; Бона иностранная ;  ;  ;  ;  ; 6 ; faga2003 ; 33 
 3618 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ask ; 336 
 3619 ; Бона иностранная ;  ;  ;  ;  ; 9 ; nik23455 ; 46 
 3620 ; Бона иностранная ;  ;  ;  ;  ; 5 ; murew ; 82 
 3621 ; Бона иностранная ;  ;  ;  ;  ; 9 ; боны на сало ; 24 
 3622 ; Бона иностранная ;  ;  ;  ;  ; 57 ; faga2003 ; 285 
 3623 ; Бона иностранная ;  ;  ;  ;  ; 73 ; faga2003 ; 95 
 3624 ; Бона иностранная ;  ;  ;  ;  ; 15 ; KEJ ; 41 
 3625 ; Бона иностранная ;  ;  ;  ;  ; 28 ; ask ; 245 
 3626 ; Бона иностранная ;  ;  ;  ;  ; 16 ; KEJ ; 39 
 3627 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Олежа ; 41 
 3628 ; Бона иностранная ;  ;  ;  ;  ; 8 ; KEJ ; 32 
 3629 ; Бона иностранная ;  ;  ;  ;  ; 13 ; shais1 ; 113 
 3630 ; Бона иностранная ;  ;  ;  ;  ; 15 ; nik23455 ; 105 
 3631 ; Бона иностранная ;  ;  ;  ;  ; 7 ; shais1 ; 60 
 3632 ; Бона иностранная ;  ;  ;  ;  ; 37 ; tigris ; 201 
 3633 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Sky2 ; 45 
 3634 ; Бона иностранная ;  ;  ;  ;  ; 27 ; John16 ; 148 
 3635 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Poiuyt ; 44 
 3636 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ИЮМов1 ; 100 
 3637 ; Бона иностранная ;  ;  ;  ;  ; 10 ; боны на сало ; 148 
 3638 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 75 
 3639 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Олежа ; 61 
 3640 ; Бона иностранная ;  ;  ;  ;  ; 41 ; murzik20 ; 77 
 3641 ; Бона иностранная ;  ;  ;  ;  ; 7 ; боны на сало ; 105 
 3642 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Олежа ; 45 
