 4327 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 51 ; bob_tauranga ; 59 
 4328 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 60 ; intrest ; 136 
 4329 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; Dander ; 108 
 4330 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 41 ; Gera_K ; 98 
 4331 ; 5 рублей ; 1918 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 79 ; Sky2 ; 795 
 4332 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; Dander ; 102 
 4333 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; geracon2009 ; 167 
 4334 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 69 ; intrest ; 300 
 4335 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 60 ; zuza ; 918 
 4336 ; 10 рублей ; 1919 ;  ;  ;  ; 63 ; lesnik1 ; 1558 
 4337 ; 50 рублей ; б/г ;  ;  ;  ; 91 ; AnvlaSar6216 ; 1400 
 4338 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 25 ; KYZIA ; 243 
 4339 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 56 ; SNN ; 1738 
 4340 ; 3 червонца ; 1932 ; Билет ;  ;  ; 20 ; Gera_K ; 860 
 4341 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 77 ; Gera_K ; 933 
 4342 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 71 ; uz ; 589 
 4343 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 57 ; Vb[fksx ; 1411 
 4344 ; 3 червонца ; 1937 ; Билет ;  ;  ; 82 ; elefant1965 ; 1632 
 4345 ; 3 рубля. Общество потребителей Красносельской писчебумажной фабрики, марка ; Б/г ;  ;  ;  ; 62 ; Sky2 ; 898 
 4346 ; 50 рублей ; 1947 ; билет ;  ;  ; 98 ; elefant1965 ; 3717 
 4347 ; 100 рублей ; 1947 ; билет ;  ;  ; 44 ; ААФ ; 1355 
 4348 ; 1 марка ; 1919 ;  ;  ;  ; 102 ; monos72 ; 3693 
 4349 ; 5 марок ; 1919 ;  ;  ;  ; 84 ; sdfg ; 3798 
 4350 ; 10 марок ; 1919 ;  ;  ;  ; 39 ; dog009 ; 3050 
 4351 ; 50 марок ; 1919 ;  ;  ;  ; 104 ; monos72 ; 5559 
 4352 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 52 ; kompman ; 260 
 4353 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; Germanfox ; 417 
 4354 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; Blagorodie ; 509 
 4355 ; Акция №080218 ;  ;  ;  ;  ; 33 ; dagon ; 463 
 4277 ; Бона иностранная ;  ;  ;  ;  ; 18 ; FOCU$ ; 25 
 4278 ; Бона иностранная ;  ;  ;  ;  ; 17 ; FOCU$ ; 30 
 4279 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dander ; 31 
 4280 ; Бона иностранная ;  ;  ;  ;  ; 22 ; lamazo ; 36 
 4281 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dander ; 32 
 4282 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 661 ; 51 
 4283 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 31 
 4284 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alex995 ; 23 
 4285 ; Бона иностранная ;  ;  ;  ;  ; 9 ; FOCU$ ; 30 
 4286 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kompman ; 25 
 4287 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 26 
 4288 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Скрудж ; 35 
 4289 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4758 ; 27 
 4290 ; Бона иностранная ;  ;  ;  ;  ; 7 ; hr-kot ; 33 
 4291 ; Бона иностранная ;  ;  ;  ;  ; 28 ; lamazo ; 49 
 4292 ; Бона иностранная ;  ;  ;  ;  ; 11 ; lamazo ; 43 
 4293 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 34 ; 27 
 4294 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Gold_42 ; 43 
 4295 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Gold_42 ; 50 
 4296 ; Бона иностранная ;  ;  ;  ;  ; 6 ; smel ; 72 
 4297 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alex995 ; 23 
 4298 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 24 
 4299 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 31 
 4300 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Gera_K ; 30 
 4301 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 33 
 4302 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Gera_K ; 72 
 4303 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 72 
 4304 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 661 ; 42 
 4305 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 35 
 4306 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Gold_42 ; 76 
 4307 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 542 ; 104 
 4308 ; Бона иностранная ;  ;  ;  ;  ; 7 ; hr-kot ; 33 
