 4816 ; 2 доллара. США ; 1917 ;  ;  ;  ; 53 ; lamazo ; 2521 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sobiranel ; 102 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 13 ; у44 ; 100 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 100 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kozerog ; 44 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladimir-sirke ; 40 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Майкл ; 149 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 102 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 100 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 67 ; sos1 ; 195 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 15 ; у44 ; 100 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 16 ; don-juras ; 45 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 51 ; у44 ; 53 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 52 ; sobiranel ; 102 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 67 ; 0001 ; 140 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 54 ; у44 ; 100 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 2 ; sobiranel ; 35 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 53 ; sos1 ; 102 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 52 ; sobiranel ; 102 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 54 ; у44 ; 59 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 52 ; Germanfox ; 55 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 30 ; astra-53 ; 30 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kozerog ; 44 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 77 ; Василевс ; 105 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 16 ; surinoff ; 43 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Опятор ; 49 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 17 ; don-juras ; 46 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 22 ; В1951 ; 64 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ъхз ; 100 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 60 ; spstudio ; 67 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 77 ; Василевс ; 105 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 51 ; FOCU$ ; 53 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Василевс ; 68 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 33 ; ъхз ; 59 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 23 ; vladimir-sirke ; 62 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 65 ; егор ; 82 
 4801 ; 1 миллион марок. Германия ; 1923 ;  ;  ;  ; 36 ; Gera_K ; 102 
 4802 ; 10000 марок. Германия ; 1922 ;  ;  ;  ; 45 ; Gera_K ; 121 
 4803 ; 1000 марок. Германия ; 1910 ;  ;  ;  ; 46 ; Максимус ; 240 
 4804 ; 5 марок. Германия ; 1917 ;  ;  ;  ; 35 ; Gera_K ; 63 
 4805 ; 10 марок. Германия ; 1929 ;  ;  ;  ; 36 ; kapital51 ; 114 
 4806 ; 2 марки. Германия ;  ;  ;  ;  ; 22 ; ati2011 ; 72 
 4807 ; 1 марка. Германия ; 1937 ;  ;  ;  ; 65 ; ati2011 ; 104 
 4808 ; 50 марок. Германия ; 1920 ;  ;  ;  ; 21 ; don-juras ; 45 
 4809 ; 500 драхм. Греция ; 1932 ;  ;  ;  ; 79 ; FOCU$ ; 452 
 4810 ; 1 юань. Китай ;  ;  ;  ;  ; 56 ; Хакас ; 172 
 4811 ; 100 юаней. Китай ;  ;  ;  ;  ; 128 ; СЁМА ; 357 
 4812 ; 1 доллар. США ; 1957 ;  ;  ;  ; 43 ; filat100 ; 432 
 4813 ; 25 центов. США ; 1874 ;  ;  ;  ; 86 ; Vahid ; 341 
 4814 ; 1 тугрик. Монголия ; 1941 ;  ;  ;  ; 89 ; FOCU$ ; 438 
 4815 ; 1 доллар. США ; 1899 ;  ;  ;  ; 116 ; Vahid ; 751 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 19 ; spstudio ; 31 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Василевс ; 47 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Gera_K ; 34 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 5 ; astra-53 ; 33 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 30 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladimir-sirke ; 62 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 27 ; vladimir-sirke ; 101 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Gera_K ; 58 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 15 ; spstudio ; 42 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladimir-sirke ; 33 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 1 ; сс400 ; 31 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 2 ; krft ; 30 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 34 ; kozerog ; 44 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 31 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ек ; 30 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kozerog ; 33 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 10 ; krft ; 35 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 12 ; mirumir ; 41 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 31 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Василевс ; 37 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 60 ; vladimir-sirke ; 69 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kozerog ; 30 
