 4808 ; 1 доллар. США. Надорвана, подклеена ; 1923 ;  ;  ;  ; 40 ; Опятор ; 63 
 4809 ; 1 доллар. США. Надорвана, подклеена ; 1899? ;  ;  ;  ; 49 ; Добрый молодец ; 117 
 4810 ; 1 доллар. Канада ; 1954 ;  ;  ;  ; 72 ; nordbolivar ; 531 
 4811 ; 50 карбованцев. Украина ;  ;  ;  ;  ; 34 ; Sterh ; 41 
 4812 ; 100 пенго. Венгрия ; 1930 ;  ;  ;  ; 19 ; tanmar86 ; 26 
 4813 ; Лот бон Германии (4шт): 20 марок, 1 марка, 5 марок ; 1920,1914, ;  ;  ;  ; 55 ; Опятор ; 67 
 4814 ; Лот бон Востока (2шт) ; 1947 ;  ;  ;  ; 43 ; ppp ; 44 
 4815 ; 1 марка. Германия ; 1914 ;  ;  ;  ; 20 ; pref ; 18 
 4816 ; 1 пиастр. Вьетнам ;  ;  ;  ;  ; 58 ; murka1973 ; 116 
 4817 ; 50 донгов. Вьетнам ;  ;  ;  ;  ; 63 ; filat100 ; 818 
 4818 ; 100 рупий. Индонезия ; 1964 ;  ;  ;  ; 47 ; filat100 ; 387 
 4819 ; 100 рупий. Индонезия ; 1959 ;  ;  ;  ; 30 ; ИЮМов1 ; 208 
 4820 ; 50 рупий. Индонезия ;  ;  ;  ;  ; 36 ; ИЮМов1 ; 210 
 4821 ; 5 марок. Германия ; 1914 ;  ;  ;  ; 23 ; Dander ; 45 
 4822 ; 2 марки. Германия ; 1914 ;  ;  ;  ; 10 ; ati2011 ; 78 
 4823 ; 3 рубля. Немецкая оккупация. Познань ; 1916 ;  ;  ;  ; 22 ; Sky2 ; 663 
 4824 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sher60 ; 113 
 4825 ; 5 рупий. Индонезия ; 1959 ;  ;  ;  ; 26 ; filat100 ; 102 
 4826 ; 25 рупий. Индонезия ; 1964 ;  ;  ;  ; 4 ; filat100 ; 58 
 4827 ; 100 рупий. Индонезия ;  ;  ;  ;  ; 21 ; ИЮМов1 ; 255 
 4828 ; 25 рупий. Индонезия ; 1958 ;  ;  ;  ; 2 ; Опятор ; 54 
 4829 ; 50 рупий. Индонезия ; 1964 ;  ;  ;  ; 8 ; Gera_K ; 64 
 4830 ; 25 рупий. Индонезия ; 1959 ;  ;  ;  ; 42 ; filat100 ; 346 
 4831 ; 10 рупий. Индонезия ; 1963 ;  ;  ;  ; 13 ; Опятор ; 53 
 4832 ; 5 рупий. Индонезия ;  ;  ;  ;  ; 41 ; filat100 ; 159 
 4833 ; 50 рупий. Индонезия ; 1959 ;  ;  ;  ; 15 ; filat100 ; 285 
 4834 ; 1 рупия. Индонезия ; 1961 ;  ;  ;  ; 39 ; filat100 ; 71 
 4835 ; 10 сен. Индонезия ; 1964 ;  ;  ;  ; 26 ; FOCU$ ; 22 
 4836 ; 10 сен. Индонезия ; 1964 ;  ;  ;  ; 13 ; surinoff ; 13 
 4837 ; 25 сен. Индонезия ; 1964 ;  ;  ;  ; 17 ; kozerog ; 15 
 4838 ; 5 сен. Индонезия ; 1964 ;  ;  ;  ; 19 ; FOCU$ ; 17 
 4839 ; 5 сен. Индонезия ; 1964 ;  ;  ;  ; 16 ; kozerog ; 15 
 4840 ; 1 сен. Япония ; 1964 ;  ;  ;  ; 30 ; FOCU$ ; 28 
 4841 ; Лот бумажных денежныз знаков: Вьетнам и Индонезия (4шт) ;  ;  ;  ;  ; 25 ; М662 ; 336 
 4842 ; 100 марок ; 1921 ; Эстония ;  ;  ; 46 ; filat100 ; 1023 
 4843 ; Лот из 2-х бон (5 и 50 пенни) ; 1919 ;  ;  ;  ; 9 ; СЁМА ; 189 
 4844 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ;  ; 75 ; Woker ; 784 
 4845 ; 10 рублей ; 1919 ; Латвия. Разменный знак ;  ;  ; 19 ; k212 ; 554 
 4846 ; 50 пенго. Венгрия ; 1944 ;  ;  ;  ; 15 ; k212 ; 227 
 4847 ; 100 крон. Венгрия ; 1944 ;  ;  ;  ; 16 ; СЁМА ; 171 
 4848 ; 10 тыс пенго. Венгрия ; 1946 ;  ;  ;  ; 54 ; Vahid ; 227 
 4849 ; 100 шиллингов. Австрия ; 1944 ;  ;  ;  ; 27 ; ИЮМов1 ; 419 
 4850 ; 50 марок. Нотгельд. Германия ; 1922 ;  ;  ;  ; 99 ; sos1 ; 1304 
 4851 ; 20 марок. Германия ; 1944 ;  ;  ;  ; 45 ; Хакас ; 373 
 4852 ; 100 марок. Германия ; 1944 ;  ;  ;  ; 35 ; Хакас ; 371 
 4853 ; 1 гуарани. Парагвай ;  ;  ;  ;  ; 48 ; FOCU$ ; 101 
 4854 ; 1 крузэйро. Бразилия ;  ;  ;  ;  ; 61 ; FOCU$ ; 85 
 4855 ; 3 рубля. Познань. Немецкая оккупация ; 1916 ;  ;  ;  ; 44 ; Woker ; 729 
 4856 ; 1000 крон. Венгрия ; 1922 ;  ;  ;  ; 12 ; Gera_K ; 61 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 41 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Gera_K ; 31 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kent01 ; 51 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 61 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 40 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 149 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dander ; 42 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 43 ; FOCU$ ; 155 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Evgen555 ; 31 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 15 ; кузнецов ; 30 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Evgen555 ; 31 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 34 ; 24 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 24 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 29 ; smel ; 76 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ANNT4 ; 66 
