 4687 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 150 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 10 ; smel ; 150 
 4689 ; Бона иностранная ;  ;  ;  ;  ; 16 ; smel ; 153 
 4690 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 155 
 4691 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 153 
 4692 ; Бона иностранная ;  ;  ;  ;  ; 6 ; smel ; 152 
 4693 ; Бона иностранная ;  ;  ;  ;  ; 10 ; smel ; 153 
 4694 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4695 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 40 
 4696 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 101 
 4697 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sobiranel ; 100 
 4698 ; Бона иностранная ;  ;  ;  ;  ; 56 ; smel ; 102 
 4699 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ъхз ; 57 
 4700 ; Бона иностранная ;  ;  ;  ;  ; 43 ; smel ; 137 
 4701 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sobiranel ; 62 
 4702 ; Бона иностранная ;  ;  ;  ;  ; 59 ; Evgen555 ; 193 
 4703 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 46 
 4704 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Gera_K ; 161 
 4705 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 11000 ; 37 
 4706 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 35 
 4707 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 49 
 4708 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Evgen555 ; 81 
 4709 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sobiranel ; 40 
 4710 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Evgen555 ; 37 
 4711 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 34 
 4712 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4713 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 45 
 4714 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Evgen555 ; 83 
 4715 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 36 
 4716 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ъхз ; 81 
