 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 1154 ; Медаль "За храбрость на водах финских августа 13 1789 года". Медальер лиц. ст. Т.И.Иванов. М-23,86г. D-39,5мм ;  ;  ; Ag ; VF-XF ; 1 ; Крылов А.А. ; 82000 
 1155 ; Медаль. В память коронации Александра I. М-56,485г. D-50мм ; 1801 ;  ; Ag ; XF- ; 1 ; Крылов А.А. ; 70000 
 1156 ; Медаль. Общество любителей породистых собак. Очередная выставка собак. М-35,85г. D-39мм ; 1896 ;  ; Ag ; XF+ ; 1 ; Den75 ; 20000 
 1157 ; Медаль. Императорские русское общество птицеводства "За улучшение и распространение птицеводства". М-25,42г. D-34мм ; 1885 ;  ; Ag ; XF- ; 1 ; Крылов А.А. ; 15000 
 1158 ; Настольная медаль "В память чудесного спасения царского семейства 17 октября 1888 г.". Гравер А. Грилихес - сын. М-344г. D-90мм ;  ;  ; Cu ; AU ; 3 ; int1965708 ; 31500 
 1159 ; Медаль в память освящения Исаакиевского собора. Граверы А. Лялин, В. Алексеев. М-187,24г. D-79мм ; 1858 ;  ; Cu ; AU ; 5 ; timan777 ; 21420 
 1160 ; Рубль. Следы хранения ; 1906 ; (ЭБ) ; Ag ; Proof ; 1 ; Продано в зале ; 230000 
 1103 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 0 ; Продано в зале ; 3000 
 1104 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 1 ; cr1390 ; 3000 
 1105 ; 15 копеек ; 1770 ; ММД ; Ag ; AU ; 5 ; Продано в зале ; 17000 
 1106 ; 10 копеек ; 1797 ; СМ ФЦ ; Ag ; VF/XF ; 0 ; Не продан ; 0 
 1107 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 1 ; A.G. ; 12000 
 1108 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 3 ; 654321 ; 30600 
 1109 ; 10 копеек (Петров-1р) ; 1804 ; СПБ ФГ ; Ag ; XF+ ; 18 ; Продано в зале ; 46000 
 1110 ; 10 копеек (Петров-1р) ; 1805 ; СПБ ФГ ; Ag ; XF ; 5 ; Продано в зале ; 38000 
 1111 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 1 ; cr1390 ; 10000 
 1112 ; 10 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 3 ; 31 ; 12546 
 1113 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; Proof ; 2 ; Продано в зале ; 31500 
 1114 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; AU ; 3 ; Продано в зале ; 25000 
 1115 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 9 ; verunk1 ; 19000 
 1116 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; UNC/AU ; 13 ; Продано в зале ; 24000 
 1117 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; Proof-like ; 1 ; Den75 ; 18000 
 1118 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; Proof-like ; 3 ; verunk1 ; 12750 
 1119 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; Proof-like ; 3 ; Den75 ; 14280 
 1120 ; Алтын (Петров-1,5р) ; 1718 ;  ; Ag ; XF- ; 22 ; Алексей Викторович ; 29729 
 1121 ; 1 злотый ; 1818 ; IB Польша ; Ag ; XF ; 11 ; verunk1 ; 21962 
 1122 ; 2 марки ; 1908 ; L Финляндия ; Ag ; AU/XF ; 1 ; Продано в зале ; 3200 
 1123 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 1 ; mac ; 10000 
 1124 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 5 ; mac ; 8000 
 1125 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 7 ; mac ; 7933 
 1126 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF+ ; 9 ; 104 кг ; 13000 
 1127 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 1 ; mac ; 3000 
 1128 ; 5 копеек ; 1784 ; КМ ; Cu ; XF+ ; 3 ; mac ; 5100 
 1129 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 5 ; mac ; 5100 
 1130 ; 5 копеек ; 1786 ; КМ ; Cu ; XF- ; 3 ; 104 кг ; 6500 
 1131 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; VF-XF ; 1 ; Продано в зале ; 85000 
 1132 ; 5 копеек (Павловский перечекан) ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 1 ; mac ; 4000 
 1133 ; 5 копеек ; 1858 ; ЕМ ; Cu ; XF+ ; 1 ; Продано в зале ; 10000 
