 151 ; Медаль "За храбрость". Новодел. D-28мм ;  ;  ; Cu ; VF-XF ; 31 ; 222211 ; 2833 
 152 ; Медаль "В память царствования Александра III". D-28мм ; 1894 ;  ; Ag ; XF+ ; 15 ; Продано в зале ; 3600 
 153 ; Георгиевский крест IV ст. 1/м 134077. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; XF+ ; 44 ; Продано в зале ; 14000 
 101 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 42 ; fgd ; 4873 
 102 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 25 ; Продано в зале ; 4600 
 103 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; VF+ ; 23 ; ZOLTAN333 ; 6273 
 104 ; 20 копеек ; 1816 ; СПБ ПС ; Ag ; XF ; 20 ; Trien ; 4079 
 105 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 24 ; 222211 ; 4896 
 106 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 26 ; Продано в зале ; 6600 
 107 ; 15 копеек ; 1866 ; СПБ HI ; Ag ; XF+ ; 39 ; verunk1 ; 4600 
 108 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 17 ; Sky2 ; 2958 
 109 ; Гривенник ; 1748 ;  ; Ag ; AU ; 34 ; Продано в зале ; 10000 
 110 ; Гривенник (Петров-1р) ; 1769 ; ММД ; Ag ; VF+ ; 15 ; Продано в зале ; 3300 
 111 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 42 ; Продано в зале ; 8000 
 112 ; 10 копеек ; 1834 ; СПБ НГ ; Ag ; XF ; 39 ; verunk1 ; 5813 
 113 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 29 ; Продано в зале ; 2400 
 114 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 31 ; БЛИЦ ; 2914 
 115 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 25 ; tisa66 ; 3100 
 116 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 12 ; Продано в зале ; 1700 
 117 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 41 ; Продано в зале ; 3000 
 118 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 32 ; sail ; 7650 
 119 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 26 ; fgd ; 2800 
 120 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 29 ; Продано в зале ; 3500 
 121 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 50 ; serg2010 ; 5000 
 122 ; 1 злотый ; 1832 ; KG Польша ; Ag ; XF ; 33 ; Продано в зале ; 8500 
 123 ; 25 пенни ; 1867 ; S Финляндия ; Ag ; VF+ ; 34 ; Продано в зале ; 25000 
 124 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 23 ; Продано в зале ; 30000 
 125 ; 5 копеек ; 1792 ; КМ ; Cu ; XF- ; 5 ; igors1969 ; 3186 
 126 ; 5 копеек ; 1806 ; КМ ; Cu ; VF+ ; 11 ; Isay ; 9572 
 127 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 36 ; Sky2 ; 2392 
 128 ; 3 копейки (Ильин-10р) ; 1840 ; ЕМ ; Cu ; VF ; 25 ; Продано в зале ; 22000 
 129 ; 3 копейки ; 1868 ; ЕМ ; Cu ; AU/XF ; 19 ; Продано в зале ; 10500 
 130 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU/XF ; 19 ; OMT ; 3060 
 131 ; 2 копейки ; 1757 ; Гурт надп. Екатер. ; Cu ; VF+ ; 23 ; OMT ; 3276 
 132 ; 2 копейки ; 1766 ; ММ ; Cu ; VF-XF ; 27 ; Продано в зале ; 1900 
 133 ; 2 копейки ; 176? ;  ; Cu ; VF+ ; 31 ; OMT ; 1168 
 134 ; 2 копейки ; 1855 ; ЕМ ; Cu ; VF-XF ; 26 ; 222211 ; 2841 
 135 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 18 ; Продано в зале ; 1400 
 136 ; Копейка ; 1714 ; МД ; Cu ; VF ; 33 ; Продано в зале ; 2600 
 137 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 19 ; bnh ; 1734 
 138 ; Копейка ; 1796 ; ЕМ ; Cu ; VF ; 50 ; bnh ; 1221 
 139 ; Копейка (Ильин-4р) ; 1817 ; КМ АМ ; Cu ; F-VF ; 27 ; SSK ; 4150 
 140 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF+ ; 1 ; Ажуристка ; 4500 
 141 ; Копейка ; 1840 ; ЕМ ; Cu ; XF ; 3 ; Isay ; 3018 
 142 ; Копейка ; 1868 ; ЕМ ; Cu ; AU/XF ; 33 ; Оптимус ; 6687 
 143 ; Денга ; 1712 ;  ; Cu ; VF- ; 28 ; volod ; 922 
 144 ; Денга ; 1731 ;  ; Cu ; VF+ ; 78 ; Продано в зале ; 2200 
 145 ; Полушка. Инкузный след ; 1736 ; Орёл 1735 г. ; Cu ; F-VF ; 26 ; Sky2 ; 1326 
 146 ; Полушка ; 1856 ; ЕМ ; Cu ; AU ; 21 ; Оптимус ; 5200 
 147 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU/XF ; 23 ; Продано в зале ; 3100 
 148 ; 5 пенни ; 1875 ; Финляндия ; Cu ; XF ; 15 ; Продано в зале ; 2000 
 149 ; 5 пенни ; 1889 ; Финляндия ; Cu ; XF- ; 24 ; Продано в зале ; 950 
 150 ; Знак ордена Св. Анны III ст. Выдача из Капитула. Фирма "Эдуард". Р-ры: 36х36мм. Вес=8,57гр. С лентой, в коробке ; 1815-1916 ;  ; Au, эмаль ; XF ; 59 ; gora ; 74199 
 51 ; Полтина (Петров-6р, Ильин-3р). Следы реставрации - 12 час ; 1742 ; СПБ ; Ag ; VF ; 21 ; Продано в зале ; 80000 
 52 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF+ ; 49 ; Isay ; 117300 
 53 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; XF/AU ; 34 ; double ; 4177 
 54 ; 20 копеек (Ильин-6р) ; 1860 ; СПБ ФБ ; Ag ; VF+ ; 21 ; Продано в зале ; 10000 
 55 ; Гривенник ; 1769 ; СПБ TI ; Ag ; XF- ; 24 ; Isay ; 4064 
 56 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 34 ; 439 ; 21000 
 57 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF+ ; 15 ; C+ ; 4873 
 58 ; 1/4 копейки. Ильин-3 р ; 1889 ; СПБ ; Cu ; XF+ ; 55 ; Продано в зале ; 30000 
 59 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; AU ; 17 ; C+ ; 1600 
 60 ; 1 золотн. ;  ; АД ; Ag ; AU/XF ; 35 ; Продано в зале ; 10200 
 61 ; Медаль в память правления Павла I. D-40мм. М-20,95гр ;  ;  ; Ag ; VF-XF ; 18 ; Продано в зале ; 38000 
 62 ; Медаль в память бракосочетания Марии Александровны и Александра Николаевича. D36мм. М-30,87гр ;  ;  ; Ag ; VF-XF ; 45 ; арбат ; 140000 
 63 ; 1,5 рубля-10 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; XF ; 20 ; Продано в зале ; 16000 
 64 ; 1,5 рубля-10 злотых ; 1834 ; НГ Рус.-Пол. ; Ag ; VF+ ; 21 ; Продано в зале ; 8400 
 65 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF+ ; 63 ; Продано в зале ; 34000 
 66 ; 1,5 рубля-10 злотых. В весе - "31 12" без черты ; 1836 ; НГ Рус.-Пол. ; Ag ; XF+ ; 49 ; Продано в зале ; 31000 
 67 ; 1,5 рубля-10 злотых. За 3 и 4 звеном лавровой ветви - по 1 ягоде ; 1836 ; НГ Рус.-Пол. ; Ag ; XF+ ; 43 ; Продано в зале ; 30000 
