 4671 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 11000 ; 29 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vfuflfy49 ; 40 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vfuflfy49 ; 51 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 3 ; GEV ; 36 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 34 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 19 ; карпер ; 50 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 20 ; чипыжи ; 51 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 18 ; buver ; 72 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 25 ; чипыжи ; 51 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 13 ; чипыжи ; 62 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 3 ; buver ; 30 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vladimir-sirke ; 35 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 41 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 6 ; KYZIA ; 30 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 5 ; buver ; 30 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ек ; 47 
 4687 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 10 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gyron ; 31 
 4689 ; Бона иностранная ;  ;  ;  ;  ; 7 ; карпер ; 30 
 4690 ; Бона иностранная ;  ;  ;  ;  ; 9 ; карпер ; 30 
 4691 ; Бона иностранная ;  ;  ;  ;  ; 9 ; карпер ; 30 
 4692 ; Бона иностранная ;  ;  ;  ;  ; 9 ; карпер ; 30 
 4693 ; Бона иностранная ;  ;  ;  ;  ; 3 ; карпер ; 36 
 4694 ; Бона иностранная ;  ;  ;  ;  ; 2 ; карпер ; 31 
 4695 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 30 
 4696 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 30 
 4697 ; Бона иностранная ;  ;  ;  ;  ; 18 ; карпер ; 51 
 4698 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 46 
 4699 ; Бона иностранная ;  ;  ;  ;  ; 26 ; карпер ; 46 
 4700 ; Бона иностранная ;  ;  ;  ;  ; 11 ; карпер ; 46 
 4701 ; Бона иностранная ;  ;  ;  ;  ; 13 ; карпер ; 46 
 4702 ; Бона иностранная ;  ;  ;  ;  ; 68 ; карпер ; 183 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 49 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 87 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 78 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 42 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 42 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 27 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 27 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 15 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 31 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 20 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 16 ; vladimir-sirke ; 35 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 114 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Gera_K ; 31 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 155 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 31 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 20 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 20 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 29 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 20 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 22 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 22 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 3 ; don-juras ; 21 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 30 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 25 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 26 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 24 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 11000 ; 24 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Хакас ; 25 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 2 ; buver ; 27 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 26 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 26 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 26 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 29 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 29 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 30 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 9 ; GEV ; 30 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 11000 ; 29 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 68 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Улетный ; 99 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Улетный ; 85 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Улетный ; 69 
