 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 1366 ; 10 копеек, в капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ; AU55 ; 0 ; Продано в зале ; 13000 
 1367 ; 5 копеек (Петров-3 руб.), в капсуле NGC ; 1788 ; КМ ; Cu ; MS63 ; 1 ; CCCР ; 30000 
 1368 ; 5 копеек, в капсуле PCGS ; 1791 ; АМ ; Cu ; UNC Details ; 0 ; Не продан ; 0 
 1369 ; 5 копеек, в капсуле NGC ; 1796 ; КМ ; Cu ; AU58 ; 0 ; Не продан ; 0 
 1370 ; 5 копеек, в капсуле NGC ; 1803 ; ЕМ ; Cu ; AU58 ; 0 ; Продано в зале ; 8000 
 1371 ; 5 копеек, в капсуле PCGS ; 1803 ; ЕМ ; Cu ; AU55 ; 1 ; finger ; 14000 
 1372 ; 5 копеек, в капсуле NGC ; 1804 ; ЕМ ; Cu ; MS61 ; 0 ; Не продан ; 0 
 1373 ; 5 копеек, в капсуле NGC ; 1831 ; ЕМ ФХ ; Cu ; MS62 ; 1 ; Продано в зале ; 16000 
 1374 ; 5 копеек, в капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ; MS63 ; 16 ; Продано в зале ; 18000 
 1375 ; 5 копеек, в капсуле NGC ; 1860 ; ЕМ ; Cu ; AU58 ; 0 ; Не продан ; 0 
 1376 ; 5 копеек, в капсуле NGC ; 1875 ; ЕМ ; Cu ; AU58 ; 0 ; Не продан ; 0 
 1377 ; 3 копейки, в капсуле NGC ; 1899 ; СПБ ; Cu ; MS62 ; 1 ; Isay ; 6000 
 1378 ; 2 копейки, в капсуле NGC ; 1779 ; КМ "Сибирь" ; Cu ; MS62 ; 7 ; Начальник ; 16322 
 1379 ; 2 копейки, в капсуле PCGS ; 1896 ; СПБ ; Cu ; MS62 ; 3 ; Парамон Корзухин ; 6234 
 1380 ; Копейка, в капсуле NGC. Новодел ; 1830 ; ЕМ ; Cu ; MS64 ; 1 ; Парамон Корзухин ; 70000 
 1381 ; Копейка, в капсуле NGC ; 1833 ; ЕМ ФХ ; Cu ; AU55 ; 1 ; Продано в зале ; 5500 
 1382 ; Копейка, в капсуле NGC ; 1879 ; СПБ ; Cu ; MS62 ; 9 ; Д.Ю. ; 5394 
 1383 ; Копейка, в капсуле NGC ; 1893 ; СПБ ; Cu ; MS64 ; 3 ; Парамон Корзухин ; 8262 
 1384 ; Копейка, в капсуле NGC ; 1901 ; СПБ ; Cu ; MS64 ; 0 ; Не продан ; 0 
 1385 ; Копейка, в капсуле NGC ; 1913 ; СПБ ; Cu ; MS64 ; 0 ; Не продан ; 0 
 1386 ; 1/4 копейки, в капсуле NGC ; 1899 ; СПБ ; Cu ; MS62 ; 0 ; Не продан ; 0 
 1387 ; 10 пенни, в капсуле NGC ; 1908 ; Финляндия ; Cu ; MS62 ; 9 ; Парамон Корзухин ; 11500 
 1388 ; 10 пенни, в капсуле NGC ; 1911 ; Финляндия ; Cu ; MS64 ; 24 ; verunk1 ; 14932 
 1389 ; 5 пенни, в капсуле NGC ; 1898 ; Финляндия ; Cu ; MS63 ; 9 ; verunk1 ; 11118 
 1390 ; 5 пенни, в капсуле NGC ; 1911 ; Финляндия ; Cu ; MS63 ; 21 ; verunk1 ; 11000 
 1391 ; 3 копейки, в капсуле NGC ; 1924 ; Гурт гладкий ; Cu ; MS63 ; 1 ; Продано в зале ; 17000 
 1392 ; 5 рублей ; 2004 ; СПМД Золотое кольцо России. Углич ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1393 ; 5 рублей ; 2004 ; СПМД Золотое кольцо России. Ростов ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1394 ; 5 рублей ; 2006 ; СПМД Золотое кольцо России. Боголюбово ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1395 ; 5 рублей ; 2006 ; СПМД Золотое кольцо России. Юрьев-Польский ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1396 ; 5 рублей ; 2008 ; СПМД Золотое кольцо России. Переславль-Залесский ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1397 ; 5 рублей ; 2008 ; СПМД Золотое кольцо России. Александров ; Au/Ag ; Proof ; 0 ; Не продан ; 0 
 1315 ; Рубль, в капсуле PCGS ; 1844 ; СПБ КБ ; Ag ; MS61 ; 21 ; Продано в зале ; 35500 
 1316 ; Рубль, в капсуле PCGS ; 1846 ; СПБ ПА ; Ag ; MS61 ; 16 ; dsidorov ; 27132 
 1317 ; Рубль, в капсуле NGC ; 1853 ; СПБ HI ; Ag ; MS63 ; 1 ; Продано в зале ; 60000 
 1318 ; Рубль, в капсуле NGC ; 1856 ; СПБ ФБ ; Ag ; MS62 ; 7 ; Продано в зале ; 50000 
 1319 ; Рубль, в капсуле NGC ; 1880 ; СПБ НФ ; Ag ; AU58 ; 18 ; нумизмат ; 34000 
 1320 ; Рубль, в капсуле NGC ; 1891 ; (АГ) ; Ag ; MS62 ; 1 ; Парамон Корзухин ; 120000 
 1321 ; Рубль, в капсуле NGC ; 1891 ; (АГ) ; Ag ; AU58 ; 1 ; Парамон Корзухин ; 75000 
 1322 ; Рубль, в капсуле NGC ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; MS63 ; 8 ; Продано в зале ; 21000 
 1323 ; Рубль, в капсуле NGC ; 1914 ; (ВС) ; Ag ; MS62 ; 1 ; Парамон Корзухин ; 100000 
 1324 ; Полтина, в капсуле NGC ; 1818 ; СПБ ПС ; Ag ; MS62 ; 1 ; Парамон Корзухин ; 75000 
 1325 ; Полтина, в капсуле NGC ; 1880 ; СПБ НФ ; Ag ; MS61 ; 1 ; Парамон Корзухин ; 29000 
 1326 ; Полтина, в капсуле NGC ; 1896 ; (АГ) АГ ; Ag ; MS62 ; 1 ; Продано в зале ; 30000 
 1327 ; Полтина, в капсуле NGC ; 1897 ; ( * ) ; Ag ; MS61 ; 1 ; Парамон Корзухин ; 20000 
 1328 ; 25 копеек, в капсуле NGC ; 1832 ; СПБ НГ ; Ag ; MS62 ; 1 ; Продано в зале ; 85000 
 1329 ; 25 копеек, в капсуле NGC ; 1849 ; СПБ ПА ; Ag ; MS62 ; 23 ; verunk1 ; 14935 
 1330 ; 25 копеек, в капсуле NGC ; 1855 ; СПБ HI ; Ag ; MS64 ; 1 ; Парамон Корзухин ; 20000 
 1331 ; 25 копеек, в капсуле NGC ; 1857 ; СПБ ФБ ; Ag ; MS61 ; 1 ; Парамон Корзухин ; 8000 
 1332 ; 25 копеек, в капсуле PCGS ; 1858 ; СПБ ФБ ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 12000 
 1333 ; 25 копеек, в капсуле NGC ; 1859 ; СПБ ФБ ; Ag ; MS64 ; 1 ; Продано в зале ; 25000 
 1334 ; 25 копеек, в капсуле NGC ; 1894 ; (АГ) АГ ; Ag ; MS61 ; 12 ; Продано в зале ; 27000 
 1335 ; 25 копеек, в капсуле NGC ; 1895 ; АГ ; Ag ; MS64 ; 1 ; Продано в зале ; 39000 
 1336 ; 25 копеек, в капсуле NGC ; 1896 ; АГ ; Ag ; MS62 ; 3 ; Продано в зале ; 15500 
 1337 ; 20 копеек, в капсуле NGC ; 1823 ; СПБ ПД ; Ag ; AU58 ; 1 ; Парамон Корзухин ; 15000 
 1338 ; 20 копеек, в капсуле NGC ; 1860 ; СПБ ФБ ; Ag ; MS62 ; 2 ; dsidorov ; 3060 
 1339 ; 20 копеек, в капсуле NGC ; 1864 ; СПБ НФ ; Ag ; MS62 ; 11 ; dsidorov ; 3579 
 1340 ; 20 копеек, в капсуле NGC ; 1872 ; СПБ HI ; Ag ; MS62 ; 8 ; Продано в зале ; 3600 
 1341 ; 20 копеек, в капсуле NGC ; 1883 ; СПБ АГ ; Ag ; MS65 ; 7 ; Продано в зале ; 36000 
 1342 ; 20 копеек, в капсуле PCGS ; 1884 ; СПБ АГ ; Ag ; MS64 ; 28 ; Продано в зале ; 11000 
 1343 ; 20 копеекc, в капсуле NGC ; 1909 ; СПБ ЭБ ; Ag ; MS64 ; 20 ; 25 ; 6000 
 1344 ; 15 копеек, в капсуле PCGS ; 1785 ; СПБ ; Ag ; AU58 ; 14 ; Продано в зале ; 17000 
 1345 ; 15 копеек, в капсуле NGC ; 1861 ; СПБ ; Ag ; MS63 ; 10 ; Продано в зале ; 6500 
 1346 ; 15 копеек, в капсуле NGC ; 1902 ; СПБ АР ; Ag ; MS63 ; 28 ; verunk1 ; 12555 
 1347 ; 10 копеек, в капсуле NGC ; 1857 ; СПБ ФБ ; Ag ; MS62 ; 1 ; to-to ; 10000 
 1348 ; 10 копеек, в капсуле NGC ; 1900 ; СПБ ФЗ ; Ag ; MS66 ; 7 ; dsidorov ; 21420 
 1349 ; 10 копеек, в капсуле NGC ; 1908 ; СПБ ЭБ ; Ag ; MS64 ; 7 ; CCCР ; 18870 
 1350 ; 5 копеек, в капсуле NGC ; 1834 ; СПБ НГ ; Ag ; MS62 ; 1 ; Logistik ; 8000 
 1351 ; 5 копеек, в капсуле NGC ; 1900 ; СПБ ФЗ ; Ag ; MS63 ; 1 ; Logistik ; 8000 
 1352 ; 6 грошей, в капсуле NGC ; 1761 ; Для Пруссии ; Ag ; AU DETAILS ; 15 ; verunk1 ; 26500 
