 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 252 ; Медаль в память освобождения крестьян от крепостной зависимости, 19 февраля 1861г. СПб мон двор 1862г. Медальер Н.А.Козин, лиц. ст. по модели графа Ф.П.Толстого. D-68мм ;  ;  ; Cu ; XF+ ; 41 ; Продано в зале ; 11000 
 253 ; Медаль в память IV Международного тюремного конгресса в СПб 1890г. СПб мон двор, 1891г. Медальеры: л/с - А.А.Грилихес (сын), о/с. - М.Я.Габе (без подписи). D-65мм ;  ;  ; Cu ; XF+ ; 43 ; Продано в зале ; 10500 
 254 ; Медаль в память 200-летия со дня рождения Императора Петра I. СПб мон двор, 1872г. Медальер л/с В. С. Баранов, копия штемпеля А. П. Лялина. D-62мм ;  ;  ; Cu ; XF+ ; 26 ; Продано в зале ; 10000 
 255 ; Медаль в память торжественного открытия памятника императрице Екатерине II 24 ноября 1873г. Соч: М. Микушин, рез: Л. Семенов. D-87мм ;  ;  ; Cu ; XF+ ; 66 ; ervin ; 18369 
 256 ; Медаль выдана N. SKVORTSOV. Всемирная выставка в Чикаго "Колумбовская", приуроченная к 400-летию открытия Колумбом Америки. D-75мм В оригинальной коробке. ; 1892-1893гг ;  ; Cu ; AU ; 110 ; Продано в зале ; 2000 
 201 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 33 ; жоро ; 2200 
 202 ; 5 копеек ; 1791 ; ЕМ ; Cu ; XF ; 52 ; zima ; 1134 
 203 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 16 ; жоро ; 2295 
 204 ; 5 копеек (Ильин - 20 руб) ; 1796 ; АМ Павл.перечекан ; Cu ; F-VF ; 72 ; nikolaj.vernik ; 65000 
 205 ; 5 копеек (Петров - 35 руб, Ильин - 30 руб) ; 180 . ; ЕМ ; Cu ; F-VF ; 35 ; Изид ; 84456 
 206 ; 5 копеек (Ильин - 3р) ; 1808 ; ЕМ ; Cu ; VF-XF ; 27 ; Moryak ; 6234 
 207 ; 5 копеек ; 1862 ; ЕМ ; Cu ; VF-XF ; 43 ; ravs ; 5781 
 208 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF- ; 37 ; Продано в зале ; 4000 
 209 ; 3 копейки ; 1880 ; СПБ ; Cu ; AU ; 60 ; Продано в зале ; 18000 
 210 ; 3 копейки ; 1893 ; СПБ ; Cu ; AU ; 23 ; Продано в зале ; 11500 
 211 ; 2 копейки. М-11,6г ; 1763 ; ММ ; Cu ; F-VF ; 7 ; Продано в зале ; 4600 
 212 ; 2 копейки. М-14,31г ; 17?? ;  ; Cu ; VF- ; 20 ; Чук ; 1230 
 213 ; 2 копейки ; 1788 ; ММ ; Cu ; VF ; 22 ; кабаносси ; 728 
 214 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF ; 13 ; swoon ; 2505 
 215 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 34 ; жоро ; 1031 
 216 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 67 ; Alexey0575 ; 2601 
 217 ; 2 копейки (Ильин - 1 руб) ; 1810 ; КМ ПБ ; Cu ; XF- ; 65 ; Moryak ; 25003 
 218 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 65 ; Кабан ; 2591 
 219 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; XF ; 16 ; кабаносси ; 2165 
 220 ; 2 копейки ; 1891 ; СПБ ; Cu ; AU ; 19 ; Продано в зале ; 9000 
 221 ; 2 копейки ; 1903 ; СПБ ; Cu ; XF+ ; 44 ; 710520 ; 2938 
 222 ; Копейка ; 1755 ;  ; Cu ; F-VF ; 25 ; нумизмат ; 11730 
 223 ; Копейка ; 1756 ; СПБ ; Cu ; VF ; 33 ; нумизмат ; 12597 
 224 ; Копейка ; 1799 ; КМ ; Cu ; F-VF ; 43 ; Продано в зале ; 8500 
 225 ; Копейка (Новодел) ; 1809 ; КМ Новодел ;  ; XF+ ; 7 ; Продано в зале ; 24000 
 226 ; Копейка ; 1896 ; СПБ ; Cu ; XF+ ; 11 ; Продано в зале ; 2100 
 227 ; Денга ; 1705 ;  ; Cu ; VF+ ; 15 ; Продано в зале ; 5800 
 228 ; 1/2 копейки. Брак чеканки ; 1840 ; ЕМ ; Cu ; F-VF ; 29 ; Продано в зале ; 5600 
 229 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 19 ; evgenijzhuk ; 7127 
 230 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 7 ; Продано в зале ; 3200 
 231 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; AU ; 61 ; Продано в зале ; 19500 
 232 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 77 ; Продано в зале ; 3200 
 233 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 20 ; Продано в зале ; 3500 
 234 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 16 ; Продано в зале ; 3200 
 235 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 30 ; Продано в зале ; 1500 
 236 ; Медаль. За защиту Севастополя с 13 сентября 1854 по 28 августа 1855 ;  ;  ; Ag ; XF+ ; 46 ; Продано в зале ; 50000 
 237 ; Медаль На коронацию Александра III. D-29мм ;  ;  ; Сu ; XF ; 43 ; инга ; 3000 
 238 ; Медаль. За поход в Китай 1900-1901. D - 28mm ;  ;  ; Br ; XF+ ; 35 ; 67 ; 12841 
 239 ; Медаль. Красный Крест. Русско-Японская война 1904-1905гг ;  ;  ; Ag ; XF+ ; 49 ; lastfast ; 15600 
 240 ; Медаль. За беспорочную службу в полиции. D - 37mm ;  ;  ; Ag ; VF-XF ; 78 ; lastfast ; 22443 
 241 ; Шпанга из 2-х наград "В память 300-летия Дома Романовых 1613-1913гг" и "За безпорочную службу в полиции" ;  ;  ; Br, Ag ; XF+ ; 27 ; нумизмат ; 30156 
 242 ; Медаль "За спасение погибавших" D-30мм ;  ;  ; Ag ; XF ; 51 ; legallegal ; 34450 
 243 ; Георгиевская медаль IV степени №30112 D-28мм ;  ;  ; Ag ; VF-XF ; 32 ; ervin ; 9183 
 244 ; Звезда Ордена Белого орла Р-ры: 85*85мм ; 1855-1916 ; Белого орла ; Ag/позол.,эмаль ; XF- ; 47 ; нумизмат ; 134093 
 245 ; Знак. 200 лет Санкт-Петербургу ;  ;  ; Ag ; XF- ; 69 ; Сурок1 ; 21000 
 246 ; Медаль. Александр I. Благодетель его скорбящей Польше. D - 40mm. Медальер Дьяков ; 1826 ;  ; Ag ; XF- ; 43 ; Продано в зале ; 28000 
 247 ; Медаль. Якобштадское общество сельского хозяйства. За трудолюбие. D - 39mm ;  ;  ; Ag ; XF ; 46 ; Karhu ; 20000 
 248 ; Жетон. Покровская община 1858-1908. Любовь и милосердие ;  ;  ; Ag ; VF-XF ; 73 ; cr1390 ; 6737 
 249 ; Медаль школьная. За отличные успехи и примерное поведение. ЭССР.  D - 32mm ;  ;  ; Ag ; AU ; 45 ; Продано в зале ; 21000 
 250 ; Медаль. Майя Плисецкая. "Одиллия". D - 40mm ;  ;  ; Ag ; AU ; 31 ; Karhu ; 9000 
 151 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 19 ; Продано в зале ; 8000 
 152 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 18 ; Продано в зале ; 8000 
 153 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 28 ; Продано в зале ; 22000 
 154 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 16 ; ervin ; 6474 
 155 ; 20 копеек ; 1767 ; ММД ; Ag ; VF-XF ; 14 ; Zil ; 4080 
 156 ; 20 копеек ; 1779 ; СПБ ; Ag ; XF ; 56 ; Продано в зале ; 14000 
 157 ; 20 копеек ; 1785 ; СПБ ; Ag ; VF-XF ; 56 ; Продано в зале ; 15000 
 158 ; 20 копеек ; 1814 ; СПБ МФ ; Ag ; XF ; 29 ; Продано в зале ; 5300 
 159 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 27 ; 333985 ; 3060 
 160 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 19 ; serg2010 ; 4533 
 161 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 70 ; Продано в зале ; 5200 
 162 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 15 ; Продано в зале ; 2100 
 163 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 15 ; Продано в зале ; 8000 
 164 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 28 ; Продано в зале ; 2100 
 165 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 21 ; Olimpia ; 5610 
 166 ; 15 копеек ; 1778 ; СПБ ; Ag ; XF- ; 46 ; slando ; 12000 
 167 ; 15 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 14 ; Продано в зале ; 2200 
 168 ; 15 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 23 ; Продано в зале ; 18000 
 169 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 28 ; 335566 ; 8254 
 170 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 30 ; Продано в зале ; 6200 
 171 ; Гривенник ; 1783 ; СПБ ; Ag ; XF ; 14 ; Olimpia ; 7242 
 172 ; Гривенник ; 1784 ; СПБ ; Ag ; XF-/XF+ ; 9 ; Olimpia ; 5712 
 173 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 27 ; swoon ; 4511 
 174 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; XF+ ; 25 ; sergius ; 7127 
 175 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 42 ; cr4068 ; 5205 
 176 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 12 ; Продано в зале ; 4200 
 177 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 29 ; tisa66 ; 5205 
 178 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 28 ; sergius ; 8092 
 179 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 17 ; Продано в зале ; 5600 
 180 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 39 ; Luga ; 5553 
 181 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 14 ; cr4068 ; 5001 
 182 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 10 ; tisa66 ; 3570 
 183 ; 10 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU/XF+ ; 29 ; Luga ; 1121 
 184 ; 5 копеек ; 1759 ; СПБ ; Ag ; VF-XF ; 17 ; serg2010 ; 4000 
 185 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 12 ; Продано в зале ; 5700 
 186 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 25 ; sergius ; 7000 
 187 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 20 ; Продано в зале ; 10000 
 188 ; Рубль ; 1921 ; (АГ) ; Ag ; AU ; 25 ; ацетон ; 5102 
 189 ; Рубль ; 1922 ; (ПЛ) ; Ag ; XF+ ; 34 ; anastas ; 25002 
 190 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; Кабан ; 10500 
 191 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; swoon ; 10124 
 192 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 10 ; Продано в зале ; 11500 
 193 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF ; 50 ; anastas ; 16583 
 194 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 53 ; Продано в зале ; 5500 
 195 ; 5 копеек (Петров - 12 руб, Ильин - 5 руб) ; 1730 ; ДМ ; Cu ; F-VF ; 41 ; evgenijzhuk ; 19633 
 196 ; 5 копеек ; 1765 ; ММ ; Cu ; VF+ ; 45 ; жоро ; 2348 
 197 ; 5 копеек (Петров - 5 руб, Ильин - 5 руб) ; 1767 ; ММ ; Cu ; F-VF ; 13 ; Продано в зале ; 6500 
 198 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 12 ; Кабан ; 7999 
 199 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 32 ; Продано в зале ; 2600 
 200 ; 5 копеек ; 1788 ; СПМ ; Cu ; VF+ ; 56 ; Продано в зале ; 3500 
 101 ; Гривна. Новгород. М - 197,61г. Длина - 135мм ;  ;  ; Ag ;  ; 17 ; Продано в зале ; 22000 
 102 ; Полтина. Новгород. М - 97,17г. Длина - 68мм ;  ;  ; Ag ;  ; 77 ; Продано в зале ; 14000 
 103 ; Рубль ; 1723 ;  ; Ag ; XF- ; 22 ; Продано в зале ; 48000 
 104 ; Рубль ; 1725 ;  ; Ag ; XF ; 32 ; Продано в зале ; 42000 
 105 ; Рубль ; 1726 ;  ; Ag ; XF- ; 37 ; Продано в зале ; 45000 
 106 ; Рубль. Большая голова ; 1731 ;  ; Ag ; VF-XF/XF ; 16 ; Продано в зале ; 40000 
 107 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 89 ; Продано в зале ; 22000 
 108 ; Рубль ; 1732 ;  ; Ag ; XF ; 33 ; Продано в зале ; 26000 
 109 ; Рубль ; 1732 ;  ; Ag ; XF ; 22 ; Продано в зале ; 36000 
 110 ; Рубль ; 1733 ;  ; Ag ; XF- ; 25 ; Продано в зале ; 23000 
 111 ; Рубль ; 1733 ;  ; Ag ; XF- ; 23 ; Продано в зале ; 28000 
 112 ; Рубль ; 1745 ; ММД ; Ag ; XF ; 24 ; нумизмат ; 38533 
 113 ; Рубль ; 1749 ; СПБ ; Ag ; VF-XF ; 24 ; Продано в зале ; 18000 
 114 ; Рубль ; 1751 ; СПБ ; Ag ; XF ; 26 ; Продано в зале ; 18000 
 115 ; Рубль ; 1754 ; ММД EI ; Ag ; VF+/VF-XF ; 16 ; samara 67 ; 14790 
 116 ; Рубль ; 1773 ; СПБ QЛ TИ ; Ag ; XF ; 10 ; Продано в зале ; 16000 
 117 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF/XF+ ; 25 ; ptv ; 25000 
 118 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 33 ; icebreaker ; 33000 
 119 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF ; 24 ; ervin ; 15000 
 120 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF ; 31 ; $$$ ; 7239 
 121 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 30 ; zuza ; 9100 
 122 ; Рубль "2" - открытая ; 1831 ; СПБ НГ ; Ag ; XF- ; 39 ; konoval333 ; 14392 
 123 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF- ; 13 ; prince1959 ; 10080 
 124 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 73 ; Продано в зале ; 70000 
 125 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 15 ; konoval333 ; 9180 
 126 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+/XF ; 40 ; аlеx ; 16980 
 127 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF ; 21 ; ervin ; 16987 
 128 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF ; 26 ; 333985 ; 15300 
 129 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 26 ; konoval333 ; 30000 
 130 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF ; 31 ; Продано в зале ; 20000 
 131 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF ; 31 ; Nov5 ; 24000 
 132 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 36 ; dtv kv ; 33461 
 133 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF+ ; 28 ; ptv ; 32640 
 134 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF+ ; 35 ; Продано в зале ; 24000 
 135 ; Рубль ; 1887 ; (АГ) ; Ag ; XF- ; 45 ; 335566 ; 20400 
 136 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 74 ; slando ; 21000 
 137 ; Рубль ; 1897 ; (АГ) ; Ag ; XF ; 34 ; Продано в зале ; 8500 
 138 ; Рубль ; 1898 ; ( * ) ; Ag ; XF ; 41 ; Продано в зале ; 8000 
 139 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF/AU ; 29 ; ptv ; 15200 
 140 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 30 ; Продано в зале ; 23000 
 141 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 44 ; Продано в зале ; 42000 
 142 ; Полтина. (Ильин - 3р) ; 1847 ; СПБ ПА ; Ag ; XF/XF- ; 62 ; нумизмат ; 32481 
 143 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU/XF+ ; 28 ; 710520 ; 15235 
 144 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 25 ; lupus47 ; 18000 
 145 ; Полтина ; 1899 ; (ФЗ) АГ ; Ag ; XF+ ; 36 ; Продано в зале ; 13000 
 146 ; 30 копеек-2 злотых (Петров - 4 руб) ; 1834 ; MW Рус.-Пол. ; Ag ; VF-XF ; 82 ; Продано в зале ; 20000 
 147 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; AU ; 36 ; 333985 ; 16320 
 148 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; AU ; 33 ; 333985 ; 14000 
 149 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 13 ; Продано в зале ; 7000 
 150 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 31 ; 2394 ; 7650 
 51 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 1 ; $$$ ; 20000 
 52 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 2 ; cr4068 ; 110000 
 53 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 0 ; Не продан ; 0 
 54 ; Рубль. В капсуле NGC AU 58 ; 1837 ; СПБ НГ ; Ag ;  ; 0 ; Не продан ; 0 
 55 ; Рубль. В капсуле PCGS. MS64 ; 1843 ; СПБ АЧ ; Ag ;  ; 0 ; Не продан ; 0 
 56 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 0 ; Не продан ; 0 
 57 ; Рубль. (Ильин - 12 руб) ; 1850 ; СПБ ПА ; Ag ; XF+ ; 0 ; Не продан ; 0 
 58 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 10 ; ptv ; 17687 
 59 ; Рубль. В капсуле NGC. MS61 ; 1850 ; СПБ ПА ; Ag ;  ; 0 ; Не продан ; 0 
 60 ; Рубль. В капсуле PCGS. MS63 ; 1851 ; СПБ ПА ; Ag ;  ; 0 ; Не продан ; 0 
 61 ; Рубль. В капсуле NGC. MS61PL ; 1852 ; СПБ ПА ; Ag ;  ; 0 ; Не продан ; 0 
 62 ; Рубль. (Петров - 4 руб) ; 1852 ; СПБ HI ; Ag ; XF+ ; 0 ; Не продан ; 0 
 63 ; Рубль. В капсуле NGC MS 63 ; 1855 ; СПБ HI ; Ag ;  ; 0 ; Не продан ; 0 
 64 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 3 ; Продано в зале ; 86000 
 65 ; Рубль ; 1871 ; СПБ HI ; Ag ; AU/XF ; 19 ; Продано в зале ; 36000 
 66 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF ; 0 ; Не продан ; 0 
 67 ; Рубль. В капсуле NGC AU 55 ; 1871 ; СПБ HI ; Ag ;  ; 0 ; Продано в зале ; 32000 
