 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 252 ; Медаль в память 25-летия бракосочетания их императорских величеств Александа II и Марии Александровны. D-28мм ;  ;  ; Ж/м ; XF+ ; 21 ; Продано в зале ; 7000 
 253 ; Медаль Императорского Финского сельскохозяйственного общества. D-29мм ;  ;  ; Ж/м ; XF ; 26 ; gelo ; 4998 
 254 ; Медаль в память объявления войны Турции, 14 апреля 1828 г. Русско-Турецкая война. D-38мм ;  ;  ; Cu ; XF+ ; 19 ; papinazu ; 18299 
 255 ; Медаль Историческая коллекция на события 860-980 гг. "В память назначения Оскольда князем Полянским и Горянским" D-77мм ;  ;  ; Br ; VF+ ; 20 ; Продано в зале ; 5800 
 256 ; Медаль "Победы Игоря на море и суше в 941г" D-78мм ;  ;  ; Br ; VF-XF ; 25 ; Продано в зале ; 5600 
 257 ; Медаль На взятие двух шведских кораблей, 6 мая 1703 г. D-55мм ;  ;  ; Б/м ; VF+ ; 25 ; gelo ; 16320 
 258 ; Медаль За победу под Калишем 18 октября 1706 года. р-ры 39*43мм. ;  ;  ; Б/м ; VF+ ; 15 ; to-to ; 7933 
 259 ; Медаль В память возвращения Императора Александра I из заграницы в 1814 г. Медальер МАРIЯ Р. D-66мм ;  ;  ; Br ; VF ; 29 ; Продано в зале ; 10500 
 260 ; Медаль В память 100-летия Пажеского Его Императорского Величества корпуса. D-65мм ;  ;  ; Br ; VF-XF ; 56 ; gelo ; 4590 
 261 ; Медаль В память открытия памятника Императору Николаю I в С.-Петербурге. Медальер П.Л.Брусницын. D-85мм ;  ;  ; Br ; VF+ ; 17 ; Продано в зале ; 15000 
 262 ; Медаль Медаль в память царствования Императора Николая I.  Медальер: А.Лялина. D-68мм ;  ;  ; Br ; VF+ ; 21 ; Продано в зале ; 8000 
 263 ; Медаль Всероссийская мануфактурная выставка 1870 года. Телесскому сахарному заводу. D-54мм ;  ;  ; Br ; AU ; 10 ; Продано в зале ; 13000 
