 251 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 27 ; sax ; 3400 
 252 ; Полушка ; 1857 ; ЕМ ; Cu ; XF ; 61 ; Продано в зале ; 2800 
 253 ; Полушка (Ильин - 1р.) ; 1864 ; ЕМ ; Cu ; VF- ; 96 ; ААФ ; 4200 
 254 ; 10 марок. М-3,23г ; 1904 ; L Финляндия ; Au ; AU ; 66 ; ren ; 36000 
 255 ; Полтина (Петров-6р, Ильин-3р) ; 1742 ; ММД ; Ag ; VF- ; 29 ; Продано в зале ; 21000 
 256 ; Полтина (Петров-6р, Ильин-5р) ; 1760 ; СПБ ЯI BS ; Ag ; F-VF ; 23 ; Продано в зале ; 14000 
 257 ; Полтина (Петров-3р) ; 1764 ; СПБ ЯI ; Ag ; VF+ ; 21 ; Продано в зале ; 15000 
 258 ; Полтина ; 1764 ; СПБ СА TI ; Ag ; VF ; 18 ; Продано в зале ; 16000 
 259 ; Медаль Победы Игоря на море и суше в 941 году. Великий князь Игорь Северной и Южной России. D-78мм ;  ;  ; Cu ; VF-XF ; 26 ; erwin ; 13000 
 201 ; Памятная медаль. Наполеон Великий. Франция. D-53мм ;  ;  ; Cu ; XF ; 9 ; Ssdd4c ; 4400 
 202 ; Медаль "Тильзитский мир". 1807 г. D-40мм ;  ;  ; Br ; XF ; 25 ; stilspb ; 8500 
 203 ; Медаль. Император Наполеон Бонапарт. Гражданский кодекс ("Кодекс Наполеона") 1804г. Франция. D-41мм ;  ;  ; Cu ; XF+ ; 21 ; sm-dc ; 4998 
 204 ; Медаль. Император Наполеон Бонапарт. Великий Синедрион. 1806г. Франция. D-41мм ;  ;  ; Cu ; XF+ ; 9 ; sm-dc ; 4400 
 205 ; Медаль. Император Наполеон Бонапарт. Раабская битва. 1809г. Франция. D-41мм ;  ;  ; Cu ; XF ; 12 ; sm-dc ; 4590 
 206 ; Медаль. Император Наполеон Бонапарт. Бородинское сражение. 1812г. Франция. D-41мм ;  ;  ; Br ; XF- ; 22 ; stilspb ; 6120 
 207 ; Медаль. Император Наполеон Бонапарт. Наполеон отрекается от престола. 1814г. Франция. D-41мм ;  ;  ; Cu ; XF ; 19 ; Ssdd4c ; 5500 
 208 ; Медаль. Император Наполеон Бонапарт. Мемориал  Святой Елены. Франция. D-41мм ;  ;  ; Cu ; XF+ ; 13 ; Ssdd4c ; 4600 
 209 ; Медаль. Император Наполеон Бонапарт. Депортация императора. 1814г. Франция. D-41мм ;  ;  ; Cu ; XF+ ; 11 ; sm-dc ; 4800 
 210 ; Медаль. Император Наполеон Бонапарт. Перенос останков Наполеона в Собор Дома инвалидов. 1841г. Франция. D-51мм. Заделаны отверстия ;  ;  ; Br ; XF ; 10 ; sm-dc ; 4800 
 211 ; Медаль. Император Наполеон Бонапарт. Брак Наполеона Бонапарта и  и Марии Луизы. 1810г. Франция. D-43мм ;  ;  ; Br ; XF ; 16 ; sm-dc ; 5634 
 212 ; Медаль. Император Наполеон Бонапарт. Рождение Наполеона II. 1811г. Франция. D-41мм ;  ;  ; Cu ; XF+ ; 6 ; sm-dc ; 4533 
 213 ; Медаль. Наполеон II. "Рождён в Париже 20 марта 1811 года. Поселился в Вене в Апреле 1814 года. Император с 23 июня 1815 года. Умер в Вене 22 июля 1832 года." 1834г. Франция. D-51,5мм ;  ;  ; Cu ; XF ; 7 ; sm-dc ; 4080 
 214 ; Медаль. Император Наполеон Бонапарт. В память рождения Наполеона II. 1811г. Франция. D-68мм ;  ;  ; Br ; XF ; 10 ; ВОТ ТАК! ; 4600 
 215 ; Жалованная грамота на дворянства Николая I капитану Григорию Матвиенко. Р-ры 48,5х33,5 см ; 1841 ;  ;  ;  ; 57 ; Продано в зале ; 78000 
 216 ; Удостоверение на право ношение серебряной медали. Выдано Оршаским уездным отделением Могилевского Епархиального Училищного совета ; 1909 ;  ;  ;  ; 15 ; пмт79 ; 2061 
 217 ; Благодарность за первую перепись населения 1897. Могилевский губернатор ; 1897 ;  ;  ;  ; 9 ; Mikе! ; 2000 
 218 ; Лот из 4-х книг Владимира Семенова. Базовый каталог. Монеты России 1700-1917 (редакция 14, сентябрь 2015).  Монетное дело Российской империи. Подделки российских монет. Монетный передел ;  ;  ;  ;  ; 28 ; ВОТ ТАК! ; 5250 
 219 ; Жетон Мир с Швецией заключен 3 августа 1790г. D-21мм ;  ;  ; Ag ; VF+ ; 43 ; Продано в зале ; 10500 
 220 ; Медаль Военное министерство 1802-1902.  Император Александр I, император Николай II. D-64мм ;  ;  ; Br ; XF ; 32 ; Продано в зале ; 10000 
 221 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 28 ; nu na ; 22752 
 222 ; Рубль (Ильин-3р) ; 1801 ; СМ ФЦ ; Ag ; VF ; 34 ; gelo ; 20408 
 223 ; 1,5 рубля ; 1839 ; На открытие бородинского памятника-часовни ; Ag ; VF-XF ; 67 ; Продано в зале ; 710000 
 224 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF ; 45 ; Продано в зале ; 34000 
 225 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 42 ; Продано в зале ; 72000 
 226 ; Двойной абаз ; 1816 ; АТ Грузия ; Ag ; VF+ ; 61 ; Продано в зале ; 10000 
 227 ; Двойной абаз (Петров - 5р. Ильин - 5р.) ; 1822 ; АТ Грузия ; Ag ; VF- ; 61 ; Продано в зале ; 11000 
 228 ; Абаз ; 1831 ; АТ Грузия ; Ag ; VF+ ; 49 ; Продано в зале ; 27000 
 229 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF ; 44 ; Продано в зале ; 16000 
 230 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 18 ; Продано в зале ; 6000 
 231 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF- ; 67 ; Худой Бердыев ; 9000 
 232 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 36 ; Продано в зале ; 3000 
 233 ; 5 копеек (Петров - 3р. Ильин - 8р.) ; 1767 ; СМ ; Cu ; F-VF ; 63 ; Продано в зале ; 21000 
 234 ; 5 копеек ; 1805 ; ЕМ ; Cu ; VF-XF ; 35 ; Продано в зале ; 3400 
 235 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF- ; 43 ; Продано в зале ; 2600 
 236 ; 5 копеек ; 1832 ; СМ ; Cu ; VF-XF ; 40 ; Продано в зале ; 4600 
 237 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 35 ; Продано в зале ; 3000 
 238 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF ; 83 ; Продано в зале ; 6000 
 239 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 45 ; sdv75-2010 ; 4000 
 240 ; 5 копеек ; 1839 ; ЕМ НА ; Cu ; VF-XF ; 28 ; Sky2 ; 6500 
 241 ; 2 копейки ; 1764 ; ЕМ ; Cu ; F+ ; 69 ; Продано в зале ; 2200 
 242 ; 2 копейки. Новодел ; 1830 ; СПБ Пробная. Новодел ; Cu ; XF+ ; 46 ; Продано в зале ; 32000 
 243 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; XF ; 36 ; Продано в зале ; 9500 
 244 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF ; 37 ; sax ; 3400 
 245 ; Денежка ; 1856 ; ВМ ; Cu ; VF-XF ; 92 ; Продано в зале ; 3300 
 246 ; Полушка (Петров - 2,5р. Ильин - 3р.) ; 1784 ; КМ ; Cu ; VF- ; 33 ; Продано в зале ; 2800 
 247 ; Полушка (Петров - 3р. Ильин - 5р.) ; 1786 ; КМ ; Cu ; VF- ; 31 ; Продано в зале ; 2800 
 248 ; Полушка (Петров - 2,5р. Ильин - 5р.) ; 1794 ; КМ ; Cu ; F+ ; 16 ; velisarit ; 2606 
 249 ; Полушка. Новодел ; 1802 ; ЕМ Новодел ;  ; XF+ ; 67 ; sax ; 20000 
 250 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; XF- ; 23 ; Продано в зале ; 1200 
 151 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 31 ; Продано в зале ; 2400 
 152 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 1 ; Абрекосов ; 1000 
 153 ; 2 копейки ; 1856 ; ЕМ ; Cu ; XF ; 4 ; Продано в зале ; 17000 
 154 ; Копейка (Петров-2р) ; 1729 ;  ; Cu ; VF ; 8 ; Продано в зале ; 21000 
 155 ; Копейка. В капсуле PCGS ; 1840 ; ЕМ ; Cu ;  ; 0 ; Не продан ; 0 
 156 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; XF ; 10 ; anna53 ; 1200 
 157 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; XF ; 30 ; Продано в зале ; 8500 
 158 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 13 ; ren ; 2400 
 159 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 7 ; пинокио ; 1556 
 160 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; F-VF ; 26 ; Dzmitry ; 4652 
 161 ; Один полтинник. Гладкий гурт ; 1925 ; Гурт гладкий ; Ag ; VF-XF ; 49 ; Продано в зале ; 32000 
 162 ; 5 копеек. В капсуле NGC ; 1924 ; Гурт гладкий ; Cu ;  ; 0 ; Не продан ; 0 
 163 ; 3 копейки ; 1932 ; Л/с без СССР, шт.20 коп.1931 ; Br ; F-VF ; 0 ; Не продан ; 0 
 164 ; 2 копейки ; 1927 ;  ; Br ; VF- ; 0 ; Не продан ; 0 
 165 ; Знак ордена Святой Анны 3-й степени.  Клеймо - "АК" ;  ;  ; Au ; AU ; 0 ; Не продан ; 0 
 166 ; Медаль "За благонравие и успехи в науках". М-25,4г. D-33мм. Гравер А. Гилихес, в обрезе бюста "АГ". В коробке, свидетельство ;  ;  ; Au ; XF+ ; 1 ; Продано в зале ; 110000 
 167 ; Медаль за победу в сражении при Кунерсдорфе, 1 августа 1759 г. Медальер Т.И.Иванов ;  ;  ; Ag ; VF- ; 0 ; Не продан ; 0 
 168 ; Жетон на коронацию Екатерины II. D-20мм ;  ;  ; Ag ; XF ; 1 ; lastfast ; 30000 
 169 ; Жетон. Павел I. D-20мм ;  ;  ; Ag ; VF+ ; 0 ; Не продан ; 0 
 170 ; Жетон. Коронован в Москве 1826. Николай I. D-22мм ;  ;  ; Ag ; VF+ ; 1 ; qaz21qaz ; 5000 
 171 ; Жетон. Коронован в Москве 1856. Александр II. D-22мм ;  ;  ; Ag ; XF ; 13 ; skylink ; 7000 
 172 ; Медаль За Хивинский поход 1873 ;  ;  ; Ag ; VF ; 1 ; lastfast ; 50000 
 173 ; Медаль За безпорочную службу в тюремной страже ;  ;  ; Ag ; XF- ; 0 ; Не продан ; 0 
 174 ; Жетон в честь 25-летия Торгово-промышленной Ярославской Большой мануфактуры. Фирма "Ф.А. Лорие" ; 1883 ;  ; Ag,эмаль ; VF-XF ; 0 ; Не продан ; 0 
 175 ; Жетон Юбилейное состязание Петроградского клуба любителей спорта 4/VIII/23 г. XV чемпионат Петрограда. Вице-чемпион ;  ;  ; Ag,эмаль ; VF+ ; 2 ; Sky2 ; 10500 
 176 ; Знак Императорская Военно Медицинская Академия. Р-ры30х22мм ;  ;  ; Ag ; XF+ ; 22 ; 462 ; 12500 
 177 ; Медаль  Министерства земледелия и государственных имущества. D-65мм ;  ;  ; Br ; XF ; 3 ; sm-dc ; 6639 
 178 ; Медаль Открытие памятника в Москве 30 мая 1912. Император Александр III. D-24мм ;  ;  ; Br ; XF+ ; 23 ; Продано в зале ; 3000 
 179 ; Жетон. Свободная Россия 1917 ;  ;  ; Ж/м ; VF-XF ; 34 ; stilspb ; 1900 
 180 ; 5 франков. В честь Императора Александра I". D-37мм ; 1814 ;  ; Ag ; XF ; 0 ; Не продан ; 0 
 181 ; Медаль. Генерал Наполеон Бонапарт. Командующий армией в Италии. "Он боролся за мир и права человека". Франция. D-44мм. Новодел ;  ;  ; Br ; AU ; 9 ; Продано в зале ; 4200 
 182 ; Медаль. Генерал Наполеон Бонапарт. "Доблестные солдаты - плод твоих трудов". Франция. D-42мм ;  ;  ; Br ; XF+ ; 10 ; Продано в зале ; 4400 
 183 ; Медаль. Генерал Наполеон Бонапарт. Командующий армии в Италии. 1796г. Франция. D-57мм ;  ;  ; Br ; VF-XF ; 22 ; а1945 ; 6250 
 184 ; Медаль. Генерал Наполеон Бонапарт. Египетский поход. 1798г. Франция. D-41мм ;  ;  ; Cu ; XF ; 18 ; sm-dc ; 7000 
 185 ; Медаль. Первый консул Наполеон Бонапарт. Три консула - Наполеон Бонапарт, Жан Жак Режи де Камбасерес, Шарль Франсуа Лебрен. Законодательный орган консулов Французской республики. Амьенский мирный договор. Франция. 1802г. D-68мм ;  ;  ; Br ; XF- ; 6 ; sm-dc ; 4800 
 186 ; Медаль. Первый консул Наполеон Бонапарт. 1802. Франция. D-59мм ;  ;  ; Br ; XF ; 12 ; sm-dc ; 4599 
 187 ; Медаль. Первый консул Наполеон Бонапарт. Люневильский мир. 1801г. Франция. D-55мм ;  ;  ; Лат,позолота ; VF-XF ; 20 ; stilspb ; 5500 
 188 ; Медаль. Первый консул Наполеон Бонапарт. Битва при Маренго. Франция. D-50мм ;  ;  ; Br ; AU ; 9 ; stilspb ; 3642 
 189 ; Медаль. Первый консул Наполеон Бонапарт. Наполеон король Цизальпинской республики. 1807г. Франция. D-53мм ;  ;  ; Br ; VF+ ; 10 ; sm-dc ; 5500 
 190 ; Медаль. Первый консул Наполеон Бонапарт. Национальная колонна Вандомской площади. 1800г. Франция. D-42мм ;  ;  ; Br ; XF ; 4 ; sm-dc ; 3570 
 191 ; Медаль. Первый консул Наполеон Бонапарт. Город Лилль первому консулу. "Любовь, верность, благодарность". 1803г. Франция. D-50мм ;  ;  ; Br ; VF-XF ; 5 ; stilspb ; 3600 
