 201 ; 5 копеек. В капсуле NGC ; 1892 ; СПБ АГ ; Ag ;  ; 58 ; Braslav ; 5750 
 202 ; 5 копеек. В капсуле PCGS ; 1845 ; СПБ КБ ; Ag ;  ; 39 ; земляк ; 9000 
 203 ; 5 копеек. В капсуле NGC ; 1898 ; СПБ АГ ; Ag ;  ; 40 ; Braslav ; 7500 
 204 ; Абаз ; 1806 ; ПЗ Грузия ; Ag ; VF ; 61 ; нумизмат91 ; 42000 
 205 ; 5 копеек. Капсула NGC ; 1835 ; ЕМ ФХ ; Cu ;  ; 77 ; CapsulЪ ; 36000 
 206 ; 5 копеек ; 1837 ; ЕМ КТ ; Cu ; XF ; 57 ; Леха крутой ; 10500 
 207 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF+ ; 26 ; Пешков87 ; 3600 
 208 ; 2 копейки. Новодел ; 1840 ; С.П.Б. Пробная ; Cu ; XF+ ; 66 ; валенок ; 65000 
 209 ; Копейка ; 1861 ; ЕМ ; Cu ; XF ; 41 ; anna53 ; 1800 
 210 ; 2 копейки ; 1927 ;  ; Br ; VF ; 94 ; нумизмат91 ; 106366 
 151 ; Полушка. В капсуле ННР ; 1859 ; ЕМ ; Cu ;  ; 36 ; CapsulЪ ; 12000 
 152 ; Полушка. В капсуле ННР ; 1864 ; ЕМ ; Cu ;  ; 56 ; Asandr ; 10000 
 153 ; Полушка. В капсуле ННР ; 1866 ; ЕМ ; Cu ;  ; 27 ; Монеты и Монеты ; 16000 
 154 ; 1/4 копейки. В капсуле ННР ; 1868 ; СПБ ; Cu ;  ; 50 ; Монеты и Монеты ; 50000 
 155 ; 1/4 копейки. В капсуле ННР ; 1870 ; ЕМ ; Cu ;  ; 37 ; Монеты и Монеты ; 14000 
 156 ; 1/4 копейки. В капсуле ННР ; 1881 ; СПБ ; Cu ;  ; 13 ; Монеты и Монеты ; 15000 
 157 ; 1/4 копейки. В капсуле ННР ; 1886 ; СПБ ; Cu ;  ; 27 ; Комета ; 5000 
 158 ; 1/4 копейки. В капсуле ННР ; 1890 ; СПБ ; Cu ;  ; 49 ; CapsulЪ ; 12000 
