 151 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 18 ; CapsulЪ ; 4600 
 152 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; XF+ ; 55 ; Олег1488 ; 19000 
 153 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 31 ; Vorotnik ; 11000 
 154 ; 1/4 копейки (Ильин-3р) ; 1889 ; СПБ ; Cu ; AU ; 79 ; CapsulЪ ; 80000 
 155 ; 1/4 копейки (Ильин-1р) ; 1890 ; СПБ ; Cu ; XF ; 54 ; Продано в зале ; 16000 
 156 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU ; 67 ; Vorotnik ; 26000 
 157 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 27 ; Продано в зале ; 6000 
 158 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; XF+/AU ; 21 ; Продано в зале ; 7750 
 159 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; XF+ ; 16 ; Sky2 ; 2600 
 160 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 54 ; mottura ; 5000 
 161 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 162 ; Медаль На заключение Кючук-Кайнарджийского мирного договора с Турцией 10 июля 1774 г Медальер С.Юдин D-51мм ;  ;  ; Ag ; VF+ ; 36 ; Продано в зале ; 77500 
 163 ; Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. 21-я редакция. 2021 год ;  ;  ;  ;  ; 43 ; Продано в зале ; 4600 
 101 ; 5 копеек. Капсула ; 1846 ; СПБ ПА ; Ag ;  ; 61 ; CapsulЪ ; 16000 
 102 ; 5 копеек. Капсула ; 1853 ; СПБ HI ; Ag ;  ; 38 ; CapsulЪ ; 8000 
 103 ; 5 копеек. В капсуле ; 1860 ; СПБ ФБ ; Ag ;  ; 106 ; Zenit68 ; 17511 
 104 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 43 ; Alex22D ; 8000 
 105 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 25 ; Продано в зале ; 3000 
 106 ; 5 копеек. Капсула ; 1884 ; СПБ АГ ; Ag ;  ; 27 ; Продано в зале ; 4000 
 107 ; 5 копеек. Капсула ; 1889 ; СПБ АГ ; Ag ;  ; 37 ; CapsulЪ ; 5500 
 108 ; 5 копеек. Капсула ; 1891 ; СПБ АГ ; Ag ;  ; 35 ; CapsulЪ ; 22000 
 109 ; 5 копеек. Капсула ; 1903 ; СПБ АР ; Ag ;  ; 23 ; Продано в зале ; 4600 
 110 ; 5 копеек. В капсуле ; 1915 ; ВС ; Ag ;  ; 60 ; Sky2 ; 3800 
 111 ; Двойной абаз ; 1831 ; ВК Грузия ; Ag ; VF+ ; 34 ; vit2503 ; 10000 
 112 ; Двойной абаз ; 1833 ; ВК Грузия ; Ag ; VF+ ; 24 ; vit2503 ; 10500 
 113 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF ; 82 ; vit2503 ; 9000 
 114 ; 10 грошей. Капсула ; 1840 ; MW Рус.-Пол. ; Ag ;  ; 50 ; Продано в зале ; 7200 
 115 ; 5 копеек. Капсула ; 1771 ; КМ "Сибирь" ; Cu ;  ; 27 ; Vorotnik ; 15000 
 116 ; 5 копеек ; 1788 ; КМ ; Cu ; VF-XF ; 55 ; Продано в зале ; 3500 
 117 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 35 ; Valera G ; 1800 
 118 ; 5 копеек. Капсула ; 1792 ; ЕМ ; Cu ;  ; 19 ; 333985 ; 3117 
