 4816 ; Бона иностранная. Дания ; 1936 ;  ;  ; AU ; 68 ; POSHEXON ; 272 
 4817 ; Бона иностранная. Дания ; 1972 ;  ;  ; AU ; 57 ; hugo ; 405 
 4818 ; Бона иностранная. Гренландия ;  ;  ;  ;  ; 143 ; спарта ; 2833 
 4819 ; Бона иностранная. Фарерские о-ва ; 1949 ;  ;  ;  ; 104 ; pari ; 520 
 4820 ; Бона иностранная. Исландия ; 1928 ;  ;  ;  ; 27 ; pari ; 509 
 4821 ; Бона иностранная. Исландия ; 1961 ;  ;  ;  ; 52 ; ИЮМов1 ; 204 
 4822 ; Бона иностранная. Исландия ; 1961 ;  ;  ; AU ; 19 ; ИЮМов1 ; 408 
 4823 ; Бона иностранная. 3 шт. Германия ;  ;  ;  ;  ; 4 ; 86753 ; 116 
 4824 ; Бона иностранная. 3 шт. Германия ;  ;  ;  ;  ; 3 ; raise ; 113 
 4825 ; Бона иностранная. 2 шт. Германия ;  ;  ;  ;  ; 2 ; Figaro65 ; 60 
 4826 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; 86753 ; 34 
 4827 ; Бона иностранная. Германия ;  ;  ;  ;  ; 22 ; садовник ; 62 
 4828 ; Бона иностранная. 4 шт. Эстония ;  ;  ;  ;  ; 51 ; vladzory ; 104 
 4829 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 74 ; шев ; 1241 
 4830 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 47 ; Сырбор ; 337 
 4831 ; Бона иностранная.2 шт. Литва ;  ;  ;  ;  ; 40 ; vladzory ; 224 
 4832 ; Бона иностранная. Литва ;  ;  ;  ;  ; 31 ; sos1 ; 397 
 4833 ; Бона иностранная. Югославия ; 1981 ;  ;  ; AU ; 25 ; kent01 ; 61 
 4834 ; Бона иностранная. Доминикана ; 2003 ;  ;  ; AU ; 27 ; vladimir-sirke ; 114 
 4835 ; Бона иностранная. Мозамбик ; 1961 ;  ;  ; AU ; 31 ; Pro2 ; 82 
 4836 ; Бона иностранная. Перу ; 1987 ;  ;  ; AU ; 5 ; kaktus ; 39 
 4837 ; Бона иностранная. Индонезия ; 1992 ;  ;  ; AU ; 26 ; Pro2 ; 39 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ромбор ; 50 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 9 ; raise ; 31 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 161rus ; 31 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 161rus ; 31 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; afanas ; 35 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 10 ; газета ; 21 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 8 ; газета ; 21 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sos1 ; 309 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; seechi ; 30 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 15 ; seechi ; 30 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 20 ; газета ; 27 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 30 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Oleg2000 ; 32 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Oleg2000 ; 32 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 21 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Oleg2000 ; 59 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Oleg2000 ; 32 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Oleg2000 ; 60 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 10 ; raise ; 30 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 6 ; advokatx ; 31 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 161rus ; 213 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 74 ; sher60 ; 592 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaktus ; 123 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kaktus ; 40 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seechi ; 30 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seechi ; 30 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 33 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kaktus ; 270 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaktus ; 271 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sonegr ; 40 
 4801 ; Бона иностранная 5 шт. 3,5,10,25,50 лев ; 1951 ;  ;  ; AU ; 30 ; Pro2 ; 429 
 4802 ; Бона иностранная 2 шт. 100,200 левов ; 1951 ;  ;  ; AU ; 21 ; kaktus ; 455 
 4803 ; Лот бон Афганистана (9шт): 10000,5000,1000,500,100,50,10,5,2,1 афгани ; 1939 ;  ;  ; AU ; 121 ; faihu ; 1527 
 4804 ; Лот бон Венесуэлы (4шт): 2000,1000,500 боливаров ; 1998 ;  ;  ; AU ; 47 ; ИЮМов1 ; 364 
 4805 ; Лот бон Гвинеи (3шт):1000,500,100 центов ; 1998 ;  ;  ; AU ; 34 ; Pro2 ; 322 
 4806 ; Лот бот Бутана (4шт): 10,5,2,1 нгультрам ;  ;  ;  ; AU ; 32 ; Pro2 ; 313 
 4807 ; Лот бон Югославии (8шт): 5000,1000,500,100,50,20,10,5 динар ;  ;  ;  ; AU ; 62 ; kaktus ; 599 
