 4804 ; Бона иностранная. Сербская Краина ; 1993 ;  ;  ;  ; 63 ; liderssen ; 206 
 4805 ; Бона иностранная. Венгрия ; 1944 ;  ;  ;  ; 45 ; -IROKEZ- ; 46 
 4806 ; Бона иностранная. Япония ;  ;  ;  ;  ; 32 ; RusScat ; 204 
 4807 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 96 ; lesnik1 ; 379 
 4808 ; 2 доллара. США. Упаковка. В конверте. Вместо последней буквы стотит "звездочка" ; 1976 ;  ;  ;   ; 102 ; asus ; 510 
 4809 ; Бона иностранная. Эстония ; 1994 ;  ;  ;   ; 10 ; ejik ; 313 
 4810 ; Бона иностранная. Чехия ; 1997 ;  ;  ;  ; 65 ; Northman ; 206 
 4811 ; Бона иностранная. Швеция ; 1915 ;  ;  ;  ; 65 ; RusScat ; 171 
 4812 ; Бона иностранная. Германия ;  ;  ;  ;  ; 51 ; asus ; 174 
 4813 ; Бона иностранная. Германия ;  ;  ;  ;  ; 60 ; Филипп Бенг ; 246 
 4814 ; Бона иностранная. Германия ;  ;  ;  ;  ; 49 ; Филипп Бенг ; 530 
 4815 ; Бона иностранная. Германия ;  ;  ;  ;  ; 42 ; Филипп Бенг ; 604 
 4816 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 32 ; xabib ; 33 
 4817 ; Бона иностранная. Германия ; 1919 ;  ;  ;  ; 11 ; asus ; 57 
 4818 ; Бона иностранная. Германия ; 1910 ;  ;  ;  ; 14 ; asus ; 150 
 4819 ; Бона иностранная. Германия ; 1908 ;  ;  ;  ; 22 ; RusScat ; 36 
 4820 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 31 ; asus ; 34 
 4821 ; Бона иностранная. Германия ; 1915 ;  ;  ;  ; 37 ; asus ; 102 
 4822 ; Лот иностранных бон. Германия. 2 шт ; 1914 ;  ;  ;  ; 25 ; asus ; 184 
 4823 ; Бона иностранная. Германия ; 1917 ;  ;  ;  ; 44 ; Sky2 ; 183 
 4824 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 26 ; asus ; 53 
 4825 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 17 ; ejik ; 102 
 4826 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 13 ; ejik ; 102 
 4827 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 23 ; Alks75 ; 25 
 4828 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 17 ; asus ; 71 
 4829 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 21 ; asus ; 40 
 4830 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 6 ; asus ; 27 
