 4859 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 16 ; Приор ; 139 
 4860 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 22 ; Приор ; 139 
 4809 ; Бона иностранная. Австралия ;  ;  ;  ;  ; 34 ; faihu ; 204 
 4810 ; Бона иностранная. Белиз ; 2007 ;  ;  ;  ; 39 ; faihu ; 255 
 4811 ; Бона иностранная. Польша ; 1956 ;  ;  ;  ; 94 ; aleantf ; 152 
 4812 ; Бона иностранная. Чехословакия ; 1986 ;  ;  ;  ; 11 ; asus ; 77 
 4813 ; Бона иностранная. Венгрия ; 1930 ;  ;  ;  ; 17 ; asus ; 67 
 4814 ; Бона иностранная. Венгрия ; 1945 ;  ;  ;  ; 34 ; kent01 ; 61 
 4815 ; Бона иностранная. Испания ; 1928 ;  ;  ;  ; 31 ; 9724 ; 183 
 4816 ; Лот иностранных бон. Испания. 3 шт ;  ;  ;  ;  ; 20 ; Sky2 ; 431 
 4817 ; Бона иностранная. Люксембург ;  ;  ;  ;  ; 25 ; mirumir ; 340 
 4818 ; Бона иностранная. Люксембург ; 1967 ;  ;  ;  ; 16 ; asus ; 214 
 4819 ; Бона иностранная. Португалия ; 1978 ;  ;  ;  ; 15 ; Sky2 ; 136 
 4820 ; Бона иностранная. Румыния ; 1992 ;  ;  ;  ; 29 ; Sky2 ; 114 
 4821 ; Бона иностранная. Греция ; 1939 ;  ;  ;  ; 21 ; asus ; 206 
 4822 ; Бона иностранная. Финляндия ; 1980 ;  ;  ;  ; 23 ; dsp ; 199 
 4823 ; Бона иностранная. Финляндия ; 1963 ;  ;  ;  ; 18 ; doiu33 ; 114 
 4824 ; Бона иностранная. Швеция ; 1981 ;  ;  ;  ; 6 ; Sky2 ; 70 
 4825 ; Бона иностранная. Исландия ; 1961 ;  ;  ;  ; 25 ; asus ; 221 
 4826 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 13 ; asus ; 104 
 4827 ; Лот иностранных бон. Бельгия. 2 шт        Лет иностранных бон. Бельгия. 2 шт ;  ;  ;  ;  ; 25 ; Gera_K ; 83 
 4828 ; Бона иностранная. Франция ;  ;  ;  ;  ; 100 ; Sky2 ; 576 
 4829 ; Бона иностранная. Сербия ; 2006 ;  ;  ;  ; 11 ; asus ; 63 
 4830 ; Бона иностранная. Израиль ; 1973 ;  ;  ;  ; 35 ; asus ; 72 
 4831 ; Бона иностранная. Монголия ; 1955 ;  ;  ;  ; 58 ; 收集者 ; 114 
 4832 ; Лот иностранных бон. Болгария. 2 шт ;  ;  ;  ;  ; 49 ; Стрепет ; 85 
 4833 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 44 ; Стрепет ; 125 
 4834 ; Лот иностранных бон. 9 шт ;  ;  ;  ;  ; 17 ; skaut ; 319 
 4835 ; Лот иностранных бон. 2 шт ;  ;  ;  ;  ; 16 ; 2262н ; 108 
 4836 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 35 ; Fritigernus ; 339 
 4837 ; Лот иностранных бон. Куба. 2 шт ;  ;  ;  ;  ; 98 ; Стрепет ; 224 
 4838 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 11 ; asus ; 308 
 4839 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 23 ; asus ; 152 
 4840 ; Лот иностранных бон. 2 шт ;  ;  ;  ;  ; 7 ; asus ; 106 
 4841 ; Лот иностранных бон. 4 шт ;  ;  ;  ;  ; 15 ; asus ; 252 
 4842 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 23 ; MaRgo ; 57 
 4843 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 15 ; asus ; 219 
 4844 ; Бона иностранная. Германия ; 1919 ;  ;  ;  ; 19 ; никсер ; 79 
 4845 ; Бона иностранная. Германия ; 1906 ;  ;  ;  ; 49 ; Sky2 ; 153 
 4846 ; Бона иностранная. Германия ; 1908 ;  ;  ;  ; 24 ; никсер ; 153 
 4847 ; Бона иностранная. Германия ; 1910 ;  ;  ;  ; 22 ; RusScat ; 174 
 4848 ; Лот иностранных бон. Германия. 3 шт ;  ;  ;  ;  ; 19 ; Gera_K ; 101 
 4849 ; Лот иностранных бон. Германия. 2 шт ;  ;  ;  ;  ; 31 ; pion-61 ; 98 
 4850 ; Лот иностранных бон. Австрия. 3 шт ; 1922 ;  ;  ;  ; 38 ; AnvlaSar6216 ; 279 
 4851 ; Лот иностранных бон. Германия. 3 шт ;  ;  ;  ;  ; 56 ; Sky2 ; 340 
 4852 ; Лот иностранных бон. Германия. Нотгельд. 10 шт ;  ;  ;  ;  ; 33 ; Gera_K ; 201 
 4853 ; Лот иностранных бон. Германия. Нотгельд. 5 шт ;  ;  ;  ;  ; 34 ; asru ; 148 
