 4822 ; Бона иностранная. Исландия. 50 крон ; 1961 ;  ;  ;  ; 24 ; ИЮМов1 ; 226 
 4823 ; Бона иностранная. Исландия. 100 крон ; 1986 ;  ;  ;  ; 29 ; dsp ; 301 
 4824 ; Бона иностранная. Исландия. 100 крон ; 1957 ;  ;  ;  ; 19 ; dsp ; 306 
 4825 ; Бона иностранная. Исландия. 25 крон ; 1961 ;  ;  ;  ; 20 ; dsp ; 155 
 4826 ; Бона иностранная. Болгария. 200 лев ; 1951 ;  ;  ;  ; 15 ; Филипп Бенг ; 210 
 4827 ; Бона иностранная. Болгария. 100 лев ; 1951 ;  ;  ;  ; 15 ; USS ; 184 
 4828 ; Бона иностранная. Болгария. 50 лев ; 1951 ;  ;  ;  ; 13 ; USS ; 143 
 4829 ; Бона иностранная. Болгария. 25 лев ; 1951 ;  ;  ;  ; 19 ; Филипп Бенг ; 63 
 4830 ; Бона иностранная. Болгария.10 лев ; 1951 ;  ;  ;  ; 9 ; ppp ; 46 
 4831 ; Бона иностранная. Болгария. 5 лев ; 1951 ;  ;  ;  ; 16 ; kent01 ; 39 
 4832 ; Бона иностранная. Болгария. 3 лева ; 1951 ;  ;  ;  ; 10 ; Скрудж ; 33 
 4833 ; Бона иностранная. Германия. 50 000 марок ; 1922 ;  ;  ;  ; 23 ; systemotehnik ; 235 
 4834 ; Бона иностранная. Германия. 10 000 марок ; 1922 ;  ;  ;  ; 21 ; systemotehnik ; 73 
 4835 ; Бона иностранная. Германия. 50 марок ; 1919 ;  ;  ;  ; 16 ; remez ; 46 
 4836 ; Бона иностранная. Германия. 100 марок ; 1920 ;  ;  ;  ; 16 ; systemotehnik ; 57 
 4837 ; Бона иностранная. Германия. 20 000 марок ; 1923 ;  ;  ;  ; 27 ; systemotehnik ; 77 
 4838 ; Лот иностранных бон. . Германия. 1000 марок. 2 шт ; 1922 ;  ;  ;  ; 21 ; systemotehnik ; 105 
 4839 ; Лот иностранных бон. Германия. 1, 2  марки. 5 шт ; 1920 ;  ;  ;  ; 29 ; systemotehnik ; 271 
 4840 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 36 ; asus ; 83 
 4841 ; Лот иностранных бон. Белорусия. 5 шт ; 1992 ;  ;  ;  ; 40 ; Gold_42 ; 107 
 4842 ; Лот иностранных бон.Белорусия.  5 рублей. 5 шт ; 1992 ;  ;  ;  ; 11 ; Скрудж ; 109 
 4843 ; Лот иностранных бон. Белорусия. 10 рублей. 5 шт ; 1992 ;  ;  ;  ; 18 ; Скрудж ; 109 
 4844 ; Лот иностранных бон. Белорусия. 50 рублей. 5 шт ; 1992 ;  ;  ;  ; 27 ; vladimir-sirke ; 101 
 4845 ; Бона иностранная. Молдова ; 1993 ;  ;  ;  ; 17 ; Стрепет ; 193 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seger ; 30 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 20 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 16 ; seger ; 32 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ppp ; 30 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sdv75-2010 ; 50 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Rober ; 30 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 10 ; asus ; 51 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 31 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 10 ; seger ; 32 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; asus ; 80 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sikachai ; 57 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 9 ; asus ; 51 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 7 ; asus ; 51 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 20 ; asus ; 101 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 69 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sikachai ; 134 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Туборг ; 100 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Gold_42 ; 47 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 475 ; 33 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 475 ; 29 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 13 ; asus ; 132 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 333985 ; 47 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 70 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 32 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 92 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 475 ; 31 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Филипп Бенг ; 101 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Филипп Бенг ; 101 
 4539 ; Лот бон США: 2 доллара (5шт) ; 2003А ;  ;  ;  ; 20 ; caiman67 ; 714 
 4801 ; Бона иностранная.  Польша. 500 злотых ; 1940 ;  ;  ;  ; 50 ; МНП68 ; 510 
 4802 ; Бона иностранная. Польша. 5 злотых ; 1930 ;  ;  ;  ; 17 ; МНП68 ; 249 
 4803 ; Бона иностранная. Западная Африка. 25 франков ;  ;  ;  ;  ; 16 ; ИЮМов1 ; 142 
 4804 ; Бона иностранная. Финляндия. 100 марок ; 1945 ;  ;  ;  ; 24 ; asru ; 260 
 4805 ; Бона иностранная. Австрия. 2 кроны ; 1917 ;  ;  ;  ; 37 ; Woker ; 113 
 4806 ; Бона иностранная. Дания. 5 крон ; 1936 ;  ;  ;  ; 21 ; POSHEXON ; 347 
 4807 ; Нотгельд. Дания. 2 марки ; 1920 ;  ;  ;  ; 14 ; smel ; 200 
 4808 ; Бона иностранная. Финляндия. 1 марка ; 1963 ;  ;  ;  ; 15 ; R2010 ; 59 
 4809 ; Бона иностранная. Банк Испании, остров Куба. 5 песо ; 1896 ;  ;  ;  ; 35 ; krft ; 487 
 4810 ; Бона иностранная. Югославия. 10 000 000 динаров ; 1993 ;  ;  ;  ; 27 ; Gold_42 ; 153 
 4811 ; Бона иностранная. Эстония. 20 крон ; 1932 ;  ;  ;  ; 30 ; mirumir ; 437 
 4812 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 17 ; smel ; 306 
 4813 ; Лот иностранных бон. Финляндия. 2 шт ;  ;  ;  ;  ; 26 ; rodstvennik ; 267 
 4814 ; Бона иностранная. Германия. 10 марок ; 1980 ;  ;  ;  ; 30 ; нумизмат ; 359 
 4815 ; Лот иностранных бон. Эстония. 4 шт ;  ;  ;  ;  ; 41 ; МНП68 ; 204 
 4816 ; Лот иностранных бон. Эстония. 25 крон. 2 шт ;  ;  ;  ;  ; 38 ; Скрудж ; 320 
 4817 ; Бона иностранная. Эстония. 50 крон ; 1994 ;  ;  ;  ; 45 ; sher60 ; 235 
 4818 ; Бона иностранная. Эстония. 100 крон ; 1991 ;  ;  ;  ; 25 ; elion3 ; 567 
 4819 ; Бона иностранная. Фарерские острова. 10 крон ; 1949 ;  ;  ;  ; 45 ; ИЮМов1 ; 380 
 4820 ; Бона иностранная.Фарерские острова. 10 крон ; 1949 ;  ;  ;  ; 27 ; POSHEXON ; 378 
 4821 ; Бона иностранная. Исландия. 10 крон ; 1961 ;  ;  ;  ; 16 ; POSHEXON ; 53 
 4317 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 62 ; }|{ивотное ; 1054 
 4318 ; 100 рублей ; 1915 ; 4% билет гос.казначейства ;  ;  ; 11 ; 475 ; 329 
 4319 ; 1000 рублей ; 1919 ;  ;  ;  ; 11 ; vowa ; 510 
 4320 ; 10000 рублей ; 1919 ;  ;  ;  ; 21 ; gusar ; 453 
 4321 ; 100 рублей ; 1919 ;  ;  ;  ; 26 ; ignatovanton ; 1234 
 4322 ; 250 рублей ; 1919 ;  ;  ;  ; 19 ; 19Vlad72 ; 188 
 4323 ; 500 рублей ; 1919 ;  ;  ;  ; 23 ; 19Vlad72 ; 271 
 4324 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 15 ; verunk1 ; 522 
 4325 ; 100 рублей ; 1919 ; Грузия ;  ;  ; 14 ; verunk1 ; 505 
 4326 ; Бона 250 рублей. Армения ; 1919 ;  ;  ;  ; 15 ; sikachai ; 572 
 4327 ; 75000000 рублей ; 1924 ; Закавказье ;  ;  ; 53 ; verunk1 ; 1755 
 4328 ; 10000 рублей ; 1921 ; Армения ;  ;  ; 15 ; sikachai ; 359 
 4329 ; Бона 25 рублей ; 1919 ;  ;  ;  ; 25 ; elion3 ; 567 
 4330 ; Бона 50 рублей. Елисаветградское отделение нар. Банка ; 1920 ;  ;  ;  ; 20 ; verunk1 ; 1020 
 4331 ; Бона 5 рублей. Амурский обл. кредитный союз ; 1919 ;  ;  ;  ; 30 ; Vb[fksx ; 944 
 4332 ; Бона 1 рубль. Екатеринбургское отд.гос.банка ; 1918 ;  ;  ;  ; 41 ; verunk1 ; 1071 
 4333 ; 25 рублей ; 1918 ; Денежн.знаки.Северо-кавказская ССР.Билетыбез наименования) ;  ;  ; 16 ; Виталий 64 ; 1007 
 4334 ; 1 рубль ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 22 ; svv ; 630 
 4335 ; 500 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 37 ; lvd ; 1497 
