 4847 ; Бона иностранная. 5 шт. Германия ; 1921 ;  ;  ;  ; 18 ; poushkine ; 130 
 4848 ; Бона иностранная. 5 шт. Германия ;  ;  ;  ;  ; 29 ; pavel5419 ; 138 
 4849 ; Бона иностранная. Исландия ; 1941 ;  ;  ;  ; 17 ; sher60 ; 104 
 4850 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 16 ; poushkine ; 89 
 4851 ; Лот купон 7 шт. ;  ;  ;  ;  ; 5 ; gigajohn ; 57 
 4852 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 19 ; yuri.gruzdev ; 407 
 4853 ; Бона иностранная. Гонг-Конг ; 1976 ;  ;  ;  ; 26 ; bankomat ; 296 
 4854 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 4 ; gigajohn ; 80 
 4855 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 10 ; QSL ; 62 
 4856 ; Бона иностранная. Китай ;  ;  ;  ;  ; 11 ; Slava O ; 159 
 4857 ; Лот бон Вьетнам 100 шт ; 1988 ;  ;  ;  ; 21 ; pavel5419 ; 888 
 4858 ; Лот бон Вьетнам 100 шт ; 1988 ;  ;  ;  ; 21 ; pavel5419 ; 1019 
 4859 ; Лот бон Венесуела 100 шт ; 2007 ;  ;  ;  ; 43 ; pavel5419 ; 2244 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 6 ; D.F.C. ; 30 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 89 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 9 ; USS ; 101 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 89 
 4801 ; 5 долларов. США ; 1963 ;  ;  ;  ; 39 ; USS ; 283 
 4802 ; Лот бон США (10шт): 1 доллар ; 1957 ;  ;  ;  ; 25 ; 333985 ; 643 
 4803 ; Лот бон США (10шт): 1 доллар ; 1957 ;  ;  ;  ; 20 ; 333985 ; 567 
 4804 ; Лот бон США (10шт): 1 доллар ; 1957 ;  ;  ;  ; 48 ; 333985 ; 1043 
 4805 ; Лот 2 шт. Эстония ; 1991,2007 ;  ;  ;  ; 15 ; atk ; 225 
 4806 ; Лот 4 шт. Эстония ; 1992,1994 ;  ;  ;  ; 25 ; Опятор ; 109 
 4807 ; Лот 3 шт. Литва ; 1993,1994 ;  ;  ;  ; 8 ; Опятор ; 58 
 4808 ; Бона иностранная. Италия ; 1970 ;  ;  ;  ; 19 ; POSHEXON ; 90 
 4809 ; Лот 3 шт. Китай ;  ;  ;  ;  ; 17 ; Slava O ; 114 
 4810 ; Лот 3 шт. Монголия ; 1966,1983 ;  ;  ;  ; 16 ; В1951 ; 101 
 4811 ; Бона иностранная. КНДР ; 2002 ;  ;  ;  ; 13 ; asparagus ; 30 
 4812 ; Бона иностранная. КНДР ; 2002 ;  ;  ;  ; 7 ; kent01 ; 40 
 4813 ; Бона иностранная. КНДР ; 2005 ;  ;  ;  ; 11 ; kent01 ; 40 
 4814 ; Бона иностранная. Румыния ; 1998 ;  ;  ;  ; 9 ; mart_si ; 26 
 4815 ; Бона иностранная. Румыния ; 1999 ;  ;  ;  ; 11 ; advokatx ; 57 
 4816 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 14 ; kent01 ; 60 
 4817 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 10 ; gerber68 ; 62 
 4818 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 5 ; kent01 ; 62 
 4819 ; Бона иностранная. Боливия ; 1984 ;  ;  ;  ; 9 ; kent01 ; 62 
 4820 ; Бона иностранная.Республика Доминикана ; 2002 ;  ;  ;  ; 10 ; KYZIA ; 80 
 4821 ; Бона иностранная. Гаити ; 2004 ;  ;  ;  ; 11 ; gigajohn ; 40 
 4822 ; Бона иностранная. Гондурас ; 2006 ;  ;  ;  ; 11 ; xa-xa ; 38 
 4823 ; Бона иностранная. Эритрия ; 1997 ;  ;  ;  ; 8 ; gigajohn ; 57 
 4824 ; Бона иностранная. Перу ; 1987 ;  ;  ;  ; 5 ; gigajohn ; 38 
 4825 ; Бона иностранная. Малави ; 1989 ;  ;  ;  ; 10 ; gigajohn ; 79 
 4826 ; Бона иностранная. 2 шт. Замбия ; 1992 ;  ;  ;  ; 18 ; ИльяЗавр ; 38 
 4827 ; Бона иностранная. Суринам ; 1991 ;  ;  ;  ; 5 ; kent01 ; 57 
 4828 ; Бона иностранная. 2 шт. Суринам ; 2000 ;  ;  ;  ; 19 ; RusScat ; 133 
 4829 ; Бона иностранная. Югославия ; 1931 ;  ;  ;  ; 28 ; bankomat ; 124 
 4830 ; Бона иностранная. Сербия ; 1941 ;  ;  ;  ; 11 ; bankomat ; 227 
