 4851 ; Бона иностранная Германия ; 1919 ;  ;  ;  ; 15 ; sikachai ; 159 
 4852 ; Бона иностранная Германия ; 1910 ;  ;  ;  ; 19 ; Skafir ; 104 
 4853 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 23 ; Skafir ; 153 
 4854 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 37 ; Skafir ; 105 
 4855 ; Бона иностранная Германия ; 1920 ;  ;  ;  ; 40 ; Skafir ; 159 
 4856 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 19 ; Skafir ; 204 
 4857 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 25 ; poushkine ; 313 
 4858 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 30 ; Skafir ; 125 
 4859 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 18 ; Skafir ; 170 
 4860 ; Бона иностранная Германия 3 шт ; 1920 ;  ;  ;  ; 23 ; Skafir ; 159 
 4861 ; Бона иностранная Германия ; 1920 ;  ;  ;  ; 14 ; Skafir ; 267 
 4862 ; Бона иностранная Германия ; 1920 ;  ;  ;  ; 29 ; pavel5419 ; 206 
 4863 ; Бона иностранная Германия ; 1935 ;  ;  ;  ; 46 ; aleantf ; 356 
 4864 ; Бона иностранная Польша ; 1919 ;  ;  ;  ; 41 ; aleantf ; 124 
 4865 ; Бона иностранная Коста-Рика ;  ;  ;  ;  ; 26 ; sikachai ; 408 
 4866 ; Бона иностранная Гвинея 2 шт ; 1960 ;  ;  ;  ; 21 ; POSHEXON ; 227 
 4867 ; Бона иностранная Мозамбик 2 шт ; 1983 ;  ;  ;  ; 13 ; KYZIA ; 72 
 4868 ; Бона иностранная Египет 3 шт ;  ;  ;  ;  ; 17 ; pavel5419 ; 101 
 4869 ; Бона иностранная Маврикий ;  ;  ;  ;  ; 47 ; ИЮМов1 ; 327 
 4870 ; Бона иностранная Эстония 2 шт ; 1992,2006 ;  ;  ;  ; 14 ; mart_si ; 57 
 4801 ; Бона 2 доллара США ; 1928 ;  ;  ;  ; 62 ; olga555 ; 1938 
 4802 ; Бона 2 доллара США, со спец. Гашением ; 1976 ;  ;  ;  ; 47 ; olga555 ; 2012 
 4803 ; 5 песо. Куба ; 1896 ;  ;  ;  ; 19 ; POSHEXON ; 313 
 4804 ; Бона иностранная Финляндия 25 пенни ; 1918 ;  ;  ;  ; 29 ; vasek ; 619 
 4805 ; Бона иностранная Финляндия 50 пенни ; 1918 ;  ;  ;  ; 57 ; AlexRFB ; 806 
 4806 ; Бона иностранная Финляндия 1 марка ; 1918 ;  ;  ;  ; 15 ; ИЮМов1 ; 126 
 4807 ; Бона иностранная Финляндия 5 марок ; 1922 ;  ;  ;  ; 15 ; dsp ; 132 
 4808 ; Бона иностранная Финляндия 10 марок ; 1922 ;  ;  ;  ; 52 ; dog009 ; 485 
 4809 ; Бона иностранная Финляндия 20 марок ; 1922 ;  ;  ;  ; 9 ; dsp ; 329 
 4810 ; Бона иностранная Финляндия 50 марок ; 1939 ;  ;  ;  ; 19 ; dsp ; 438 
 4811 ; Бона иностранная Финляндия 100 марок ; 1945 ;  ;  ;  ; 31 ; dsp ; 333 
 4812 ; Бона иностранная Финляндия 100 марок ; 1957 ;  ;  ;  ; 17 ; dsp ; 1473 
 4813 ; Бона иностранная Финляндия 5 марок ; 1963 ;  ;  ;  ; 17 ; dsp ; 63 
 4814 ; Бона иностранная Финляндия 10 марок. 2 шт ; 1980,1986 ;  ;  ;  ; 24 ; bva150979 ; 244 
 4815 ; Бона иностранная Финляндия 100 марок ; 1986 ;  ;  ;  ; 27 ; dsp ; 509 
 4816 ; Бона иностранная Исландия ; 1957 ;  ;  ;  ; 29 ; dsp ; 312 
 4817 ; Бона иностранная Исландия ; 1961 ;  ;  ;  ; 22 ; 542 ; 114 
 4818 ; Бона иностранная Исландия ; 1961 ;  ;  ;  ; 15 ; sikachai ; 285 
 4819 ; Бона иностранная Исландия ; 1961 ;  ;  ;  ; 20 ; sikachai ; 257 
 4820 ; Бона иностранная Исландия ; 1961 ;  ;  ;  ; 25 ; 333985 ; 217 
 4821 ; Бона иностранная Исландия ; 1986 ;  ;  ;  ; 29 ; 333985 ; 459 
 4822 ; Бона иностранная Исландия ; 1957 ;  ;  ;  ; 7 ; СЁМА ; 206 
 4823 ; Бона иностранная Исландия ; 1961 ;  ;  ;  ; 27 ; 333985 ; 451 
 4824 ; Бона иностранная Исландия ; 1957 ;  ;  ;  ; 19 ; dsp ; 573 
 4825 ; Бона иностранная Югославия ; 1931 ;  ;  ;  ; 22 ; sikachai ; 197 
 4826 ; Бона иностранная Сербия ; 1941 ;  ;  ;  ; 28 ; 333985 ; 306 
 4827 ; Бона иностранная Сербия ; 1942 ;  ;  ;  ; 23 ; aleantf ; 240 
 4828 ; Бона иностранная Сербия ; 1941 ;  ;  ;  ; 20 ; advokatx ; 201 
 4829 ; Бона иностранная Сербия ; 1942 ;  ;  ;  ; 22 ; 333985 ; 387 
 4830 ; Бона иностранная Югославия ; 1936 ;  ;  ;  ; 18 ; vasek ; 482 
 4831 ; Бона иностранная Хорватия ; 1943 ;  ;  ;  ; 13 ; remez ; 207 
 4832 ; Бона иностранная Болгария ;  ;  ;  ;  ; 24 ; tss ; 408 
 4833 ; Бона иностранная Болгария ;  ;  ;  ;  ; 22 ; sikachai ; 308 
 4834 ; Бона иностранная Болгария ; 1943 ;  ;  ;  ; 23 ; vasek ; 429 
 4835 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 12 ; vladimir-sirke ; 72 
 4836 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 23 ; vladimir-sirke ; 78 
 4837 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 24 ; vladimir-sirke ; 91 
 4838 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 52 ; vladimir-sirke ; 92 
 4839 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 31 ; Алексей11 ; 83 
 4840 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 28 ; vladimir-sirke ; 114 
 4841 ; Бона иностранная Болгария ; 1951 ;  ;  ;  ; 21 ; vladimir-sirke ; 114 
 4842 ; Бона иностранная Испания ; 1925 ;  ;  ;  ; 39 ; avs ; 232 
 4843 ; Бона иностранная Словения ;  ;  ;  ;  ; 5 ; sikachai ; 67 
 4844 ; Бона иностранная Македония ; 2001 ;  ;  ;  ; 7 ; sikachai ; 68 
 4845 ; Бона иностранная КНДР ; 2002 ;  ;  ;  ; 14 ; avs ; 35 
 4846 ; Бона иностранная Ирак ;  ;  ;  ;  ; 7 ; remez ; 57 
 4847 ; Бона иностранная Иран ;  ;  ;  ;  ; 21 ; KYZIA ; 32 
 4848 ; Бона иностранная Мозамбик ; 1970 ;  ;  ;  ; 5 ; sikachai ; 68 
 4849 ; Бона иностранная Перу ; 1987 ;  ;  ;  ; 6 ; KYZIA ; 57 
 4850 ; Лот бон Сербия 2 шт ; 2011 ;  ;  ;  ; 7 ; bva150979 ; 92 
 4332 ; 1 марка золотом ; 1915 ; Финляндия билет ;  ;  ; 36 ; potapov0 ; 777 
 4333 ; 1 марка золотом ; 1916 ; Финляндия билет ;  ;  ; 40 ; asus ; 663 
 4334 ; 5 марок ; 1909 ; Финляндия билет ;  ;  ; 29 ; Максимус ; 917 
 4335 ; 10 марок золотом ; 1909 ; Финляндия билет ;  ;  ; 49 ; Максимус ; 1136 
 4336 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 46 ; remez ; 421 
 4337 ; 5 рублей ; 1918 ;  ;  ;  ; 39 ; Ivanss ; 449 
 4338 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 20 ; титан ; 900 
 4339 ; Талон 1 рубль трест "АРКТИКУГОЛЬ" ; 1961 ;  ;  ;  ; 77 ; kont ; 2914 
 4340 ; Талон 1 рубль трест "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 23 ; спарта ; 663 
 4341 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 41 ; егор ; 350 
 4342 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 57 ; zef ; 1345 
 4343 ; 3 червонца ; 1937 ; Билет ;  ;  ; 35 ; zef ; 692 
 4344 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 39 ; parmezan ; 633 
 4345 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 42 ; olga555 ; 1836 
 4346 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 41 ; rad22 ; 1473 
 4347 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 40 ; МАВ9 ; 238 
 4348 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 17 ; МАВ9 ; 153 
 4349 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 42 ; lexx66 ; 1532 
 4350 ; 200 рублей ; 1991 ; билет ;  ;  ; 36 ; МАВ9 ; 357 
 4351 ; Бона 20 крон ; 1932 ;  ;  ;  ; 54 ; asus ; 443 
 4352 ; Лот 50000 рублей. 2 шт ; 1993,1994 ;  ;  ;  ; 90 ; potapov0 ; 4525 
 4353 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; Jazzman ; 107 
 4354 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 20 ; poushkine ; 357 
 4355 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 44 ; SlavA ; 681 
