 4867 ; Бона иностранная. Эстония 25 крон, 2 варианта ; 1991,2002 ;  ;  ;  ; 9 ; vladzory ; 174 
 4868 ; Лот 4 шт. Эстония 1,2,5,10 крон ; 1991,1992 ;  ;  ;  ; 27 ; vladzory ; 278 
 4869 ; Бона иностранная. Литва 10 лит ; 1993 ;  ;  ;  ; 13 ; Стрепет ; 227 
 4870 ; Бона иностранная. Зимбабве 10000000000 долларов ; 2008 ;  ;  ;  ; 45 ; век ; 1031 
 4871 ; Лот 2 шт. Замбия 50 и 500 квача ; 2007,2009 ;  ;  ;  ; 13 ; sveta6369 ; 69 
 4872 ; Бона иностранная. Финляндия 10 марок 2 варианта ; 1980,1986 ;  ;  ;  ; 21 ; Woker ; 653 
 4873 ; Бона иностранная. Финляндия 20 марок ; 1993 ;  ;  ;  ; 19 ; vasek ; 209 
 4874 ; Бона иностранная. Израиль 20шекелей ; 1993 ;  ;  ;  ; 18 ; ИЮМов1 ; 174 
 4875 ; Бона иностранная. Сирия 100 фунтов ; 1998 ;  ;  ;  ; 11 ; СЁМА ; 101 
 4876 ; Бона иностранная. Румыния 50000 лей ; 2001 ;  ;  ;  ; 24 ; ИЮМов1 ; 82 
 4817 ; Бона иностранная. Исландия 100 крон ; 1961 ;  ;  ;  ; 38 ; dsp ; 163 
 4818 ; Бона иностранная. Исландия 100 крон ; 1961 ;  ;  ;  ; 56 ; zef ; 104 
 4819 ; Бона иностранная. Исландия1000 крон ; 1961 ;  ;  ;  ; 18 ; ИЮМов1 ; 129 
 4820 ; Бона иностранная. Германия 100 марок ; 1908 ;  ;  ;  ; 41 ; sergey2100 ; 614 
 4821 ; Бона иностранная. Германия 100 марок ; 1909 ;  ;  ;  ; 59 ; sergey2100 ; 206 
 4822 ; Бона иностранная. Германия 20 марок ; 1914 ;  ;  ;  ; 14 ; век ; 82 
 4823 ; Бона иностранная. Германия  1 марка, 2 варианта ; 1914 ;  ;  ; AU ; 11 ; век ; 100 
 4824 ; Бона иностранная. Германия 2 марки ; 1914 ;  ;  ; AU ; 14 ; век ; 138 
 4825 ; Бона иностранная. Германия 5 марок ; 1917 ;  ;  ; AU ; 42 ; век ; 150 
 4826 ; Бона иностранная. Германия 1000 марок, 3 варианта ; 1922 ;  ;  ;  ; 31 ; век ; 567 
 4827 ; Бона иностранная. Германия 100000 марок ; 1923 ;  ;  ;  ; 24 ; век ; 501 
 4828 ; Бона иностранная. Германия 5000 марок ; 1922 ;  ;  ;  ; 15 ; век ; 340 
 4829 ; Бона иностранная. Германия 20000 марок, 2 варианта ; 1923 ;  ;  ; AU ; 27 ; век ; 450 
 4830 ; Бона иностранная. Германия 1000000 марок ; 1923 ;  ;  ;  ; 7 ; Алёша ; 104 
 4831 ; Бона иностранная. Германия 500000 марок ; 1923 ;  ;  ; AU ; 21 ; Алёша ; 410 
 4832 ; Бона иностранная. Германия 100000 марок ; 1923 ;  ;  ;  ; 12 ; Алёша ; 341 
 4833 ; Бона иностранная. Германия 10000000 марок ; 1923 ;  ;  ;  ; 13 ; Алёша ; 203 
 4834 ; Бона иностранная. Германия 20000000 марок ; 1923 ;  ;  ; AU ; 16 ; век ; 215 
 4835 ; Бона иностранная. Германия 50000000 марок ; 1923 ;  ;  ;  ; 29 ; Алёша ; 410 
 4836 ; Бона иностранная. Германия 200000 марок ; 1923 ;  ;  ;  ; 21 ; Алёша ; 410 
 4837 ; Бона иностранная. Германия 1000000 марок ; 1923 ;  ;  ;  ; 9 ; век ; 50 
 4838 ; Бона иностранная. Германия 5000000 марок ; 1923 ;  ;  ; AU ; 19 ; Алёша ; 155 
 4839 ; Бона иностранная. Германия 10000000 марок ; 1923 ;  ;  ; AU ; 17 ; век ; 227 
 4840 ; Бона иностранная. Германия 100000000 марок ; 1923 ;  ;  ; AU ; 16 ; Алёша ; 155 
 4841 ; Бона иностранная. Германия 1000 марок с надпечаткой 1000000000 марок ; 1922 ;  ;  ; AU ; 22 ; Алёша ; 410 
 4842 ; Бона иностранная. Германия 5000000000 марок ; 1923 ;  ;  ;  ; 29 ; sergey2100 ; 930 
 4843 ; Бона иностранная. Германия 10000000000 марок ; 1923 ;  ;  ;  ; 20 ; sergey2100 ; 567 
 4844 ; Бона иностранная. Германия 50000000000 марок ; 1923 ;  ;  ;  ; 18 ; Алёша ; 308 
 4845 ; Бона иностранная. Германия 10000000000 марок ; 1923 ;  ;  ;  ; 20 ; Алёша ; 341 
 4846 ; Бона иностранная. Германия 200000000000 марок ; 1923 ;  ;  ;  ; 26 ; RusScat ; 569 
 4847 ; Бона иностранная. Германия 100000000000 марок ; 1923 ;  ;  ;  ; 36 ; Алёша ; 716 
 4848 ; Бона иностранная. Германия 50 пфеннигов ;  ;  ;  ; AU ; 64 ; Arminius ; 920 
 4849 ; Бона иностранная. Германия 1 марка ;  ;  ;  ;  ; 58 ; Andry728 ; 1022 
