 4866 ; Бона иностранная.  Германия. 100 марок ; 1920 ;  ;  ;  ; 23 ; kvvs ; 84 
 4867 ; Лот иностранных бон (3 шт): Германия ; 1923 ;  ;  ;  ; 34 ; poushkine ; 159 
 4868 ; Лот иностранных бон (2 шт): Румыния. 1, 2 лея ; 1917 ;  ;  ;  ; 7 ; Первый Самураец ; 212 
 4869 ; Бона иностранная. Ваучер для вооруженных сил Великобритании. 5 фунтов ; 1958 ;  ;  ;  ; 19 ; wünschen viel Glück ; 78 
 4870 ; Бона иностранная. Оккупационная эмиссия союзников в Германии. 50 марок. Гознак ; 1944 ;  ;  ;  ; 35 ; Пингвинов ; 240 
 4871 ; Бона иностранная. США. 1 доллар ; 1923 ;  ;  ;  ; 53 ; kvvs ; 572 
 4872 ; Бона иностранная. Третий Рейх. 1939 ; 1939 ;  ;  ;  ; 54 ; Пингвинов ; 1127 
 4873 ; Бона иностранная. Гибралтар. 10 фунтов стерлингов ; 2002 ;  ;  ;  ; 47 ; ask ; 423 
 4874 ; Лот иностранных бон (3 шт): Югославия. 10, 1000, 5 000 000 динар ; 1991, 1993, 1994 ;  ;  ;  ; 26 ; Стрепет ; 114 
 4875 ; Бона иностранная. Чехословакия. 10 крон ; 1960 ;  ;  ;  ; 47 ; 333985 ; 219 
 4876 ; Лот иностранных бон (2 шт): Протекторат Богемия и Моравия - 1 крона,  Чехия - 50 крон. ; 1940, 1993 ;  ;  ;  ; 28 ; Первый Самураец ; 147 
 4877 ; Лот иностранных бон (7 шт): Польша. 20, 500, 1000 злотых ; 1982 ;  ;  ;  ; 23 ; Gera_K ; 130 
 4878 ; Бона иностранная. Финляндия. 1 марка ; 1963 ;  ;  ;  ; 20 ; kent01 ; 61 
 4879 ; Лот иностранных бон (5 шт): Индонезия, Непал, Гватемала, Зимбабве ;  ;  ;  ;  ; 32 ; Manager ; 236 
 4880 ; Лот иностранных бон (5 шт): Афганистан, Ирак, Камбоджа ;  ;  ;  ;  ; 36 ; brat52 ; 160 
 4881 ; Лот иностранных бон (5 шт): Камбоджа, Маврикий, Малави, Самоа, Хорватия ;  ;  ;  ;  ; 47 ; brat52 ; 184 
