 4355 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 43 ; МНП68 ; 1001 
 4356 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 23 ; koriakvs ; 313 
 4357 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 30 ; fify ; 510 
 4358 ; Облигация  в 125 рублей. Николаевская железная дорога ; 1870 ;  ;  ;  ; 40 ; Gera_K ; 485 
 4359 ; Облигация в 187,5 рублей. 5% Гос. Заем ; 1906 ;  ;  ;  ; 29 ; фрегат ; 227 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 17 ; poushkine ; 30 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 11 ; KYZIA ; 25 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; KYZIA ; 30 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 7 ; grond ; 25 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 7 ; zef ; 68 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 11 ; poushkine ; 31 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 12 ; torus72 ; 31 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 23 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 17 ; poushkine ; 61 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Olegas ; 31 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 11 ; poushkine ; 28 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Olegas ; 31 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 7 ; KYZIA ; 25 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Rober ; 34 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Rober ; 28 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Olegas ; 32 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 13 ; KYZIA ; 44 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ъхз ; 28 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; zef ; 51 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 10 ; free_mann ; 28 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kvvs ; 83 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 13 ; zef ; 46 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 22 ; poushkine ; 102 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 27 ; poushkine ; 102 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 27 ; poushkine ; 102 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Olegas ; 80 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 19 ; poushkine ; 93 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 22 ; poushkine ; 114 
 4305 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; poushkine ; 255 
 4306 ; 10 рублей. 3 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; fordvr ; 148 
