 4870 ; Бона иностранная. Германия. 50 марок. Оккупационная эмиссия союзников в Германии. Гознак ; 1944 ;  ;  ;  ; 18 ; Филипп Бенг ; 389 
 4871 ; Бона иностранная. США. 1 доллар серебром ; 1923 ;  ;  ;  ; 58 ; wünschen viel Glück ; 624 
 4872 ; Облигация в 100 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 13 ; Филипп Бенг ; 420 
 4873 ; Облигация в 200 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 28 ; Алёша ; 496 
 4874 ; Бона иностранная 200 франков. Франция ; 1989 ;  ;  ;  ; 17 ; гугл= ; 229 
 4875 ; Бона иностранная 10 крон. Дания ; 1972 ;  ;  ;  ; 24 ; гугл= ; 164 
 4876 ; Лот иностранных бон: Греция, Индия, Ямайка. 3 шт ;  ;  ;  ;  ; 13 ; гугл= ; 211 
 4877 ; Лот иностранных бон: Турция. 4 шт ;  ;  ;  ;  ; 16 ; гугл= ; 118 
 4820 ; Бона иностранная. Китай. 5 юаней ; 1936 ;  ;  ;  ; 32 ; кве ; 318 
 4821 ; Бона иностранная. Китай. 20 центов ; 1940 ;  ;  ;  ; 65 ; кве ; 357 
 4822 ; Бона иностранная. Китай. 10 центов ; 1931 ;  ;  ;  ; 31 ; кве ; 357 
 4823 ; Лот иностранных бон. Северная Корея (6 шт): 1, 5, 10 вон, 15, 20, 50 чон ; 1947 ;  ;  ;  ; 23 ; Филипп Бенг ; 614 
 4824 ; Бона иностранная. Куба. 5 песо ; 1896 ;  ;  ;  ; 20 ; kvvs ; 385 
 4825 ; Бона иностранная. Куба. 10 песо ; 1960 ;  ;  ;  ; 15 ; кве ; 352 
 4826 ; Бона иностранная. Гон Конг. 10 долларов ; 1975 ;  ;  ;  ; 28 ; kvvs ; 413 
 4827 ; Лот Германия  20 шт. 20000 марок ; 1923 ;  ;  ;  ; 20 ; luda ; 416 
 4828 ; Лот Германия  20 шт. 20000 марок ; 1923 ;  ;  ;  ; 21 ; гугл= ; 408 
 4829 ; Лот Германия  7 шт. 20 марок ; 1929 ;  ;  ;  ; 25 ; гугл= ; 308 
 4830 ; Лот Германия  15 шт. 50 марок ; 1933 ;  ;  ;  ; 23 ; гугл= ; 509 
 4831 ; Лот бон Германия 6 шт ; 1923 ;  ;  ;  ; 14 ; гугл= ; 206 
 4832 ; Лот бон Германия 5 шт ; 1923 ;  ;  ;  ; 20 ; Jauho ; 420 
 4833 ; Лот бон Германия 7 шт ;  ;  ;  ;  ; 27 ; Филипп Бенг ; 527 
 4834 ; Лот бон Германия 5 шт ; 1910 ;  ;  ;  ; 16 ; гугл= ; 306 
 4835 ; Лот иностранных бон. Исландия. 4 шт ;  ;  ;  ;  ; 32 ; гугл= ; 308 
 4836 ; Бона иностранная. Исландия. 50 крон ; 1961 ;  ;  ;  ; 26 ; dsp ; 286 
 4837 ; Лот иностранных бон. Исландия. 4 шт ;  ;  ;  ;  ; 31 ; гугл= ; 261 
 4838 ; Бона иностранная. Исландия. 25 крон ; 1961 ;  ;  ;  ; 35 ; гугл= ; 137 
 4839 ; Лот иностранных бон. Исландия. 4 шт ;  ;  ;  ;  ; 23 ; гугл= ; 278 
 4840 ; Бона иностранная. Исландия. 100 крон ; 1989 ;  ;  ;  ; 54 ; ИЮМов1 ; 216 
 4841 ; Бона иностранная. Исландия. 100 крон ; 1961 ;  ;  ;  ; 23 ; гугл= ; 78 
 4842 ; Лот иностранных бон. Украина. 18 шт ; 1991-1992 ;  ;  ;  ; 28 ; brat52 ; 366 
 4843 ; Лот иностранных бон. Польша. 9 шт ;  ;  ;  ;  ; 35 ; слоник ; 393 
 4844 ; Лот иностранных бон. Украина. 14 шт ; 1991-1992 ;  ;  ;  ; 28 ; vladzory ; 333 
 4845 ; Лот иностранных бон. Польша. 8 шт ;  ;  ;  ;  ; 23 ; чипыжи ; 278 
 4846 ; Лот иностранных бон. Камбоджа. 1000 риэль. 10 шт ;  ;  ;  ;  ; 13 ; luda ; 227 
 4847 ; Лот иностранных бон. Афганистан. 5 шт ;  ;  ;  ;  ; 35 ; dnjhybr33 ; 208 
 4848 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 19 ; brat52 ; 174 
 4849 ; Лот иностранных бон. Афганистан. 5 шт ;  ;  ;  ;  ; 21 ; brat52 ; 203 
 4850 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 29 ; brigadir ; 211 
 4851 ; Лот иностранных бон. Афганистан. 5 шт ;  ;  ;  ;  ; 22 ; СТРЕКОЗА ; 206 
 4852 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 16 ; vasek ; 271 
 4853 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 31 ; brat52 ; 123 
 4854 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 24 ; brat52 ; 201 
 4855 ; Лот иностранных бон. Зимбабве. 5 шт ;  ;  ;  ;  ; 24 ; kvvs ; 359 
 4856 ; Лот иностранных бон. 5 шт ;  ;  ;  ;  ; 31 ; Woker ; 221 
