 4861 ; Бона иностранная. Германия. 100 марок ; 1922 ;  ;  ;  ; 25 ; Northman ; 419 
 4862 ; Бона иностранная. Австрия. 100 крон ; 1912 ;  ;  ;  ; 50 ; Gera_K ; 230 
 4863 ; Бона иностранная. Испания. 1000 песет ; 1957 ;  ;  ;  ; 48 ; smel ; 243 
 4864 ; Бона иностранная. Австрия. 20 шиллингов. Союзные военные власти ; 1944 ;  ;  ;  ; 45 ; doiu33 ; 318 
 4865 ; Бона иностранная. Чехословакия. 100 крон ;  ;  ;  ;  ; 25 ; Стрепет ; 516 
 4866 ; Бона иностранная. Нидерландская Индия. 1 гульден ; 1943 ;  ;  ;    ; 33 ; гугл= ; 612 
 4867 ; Бона иностранная. Мексика. 20 песо ; 1914 ;  ;  ;  ; 22 ; mirumir ; 227 
 4868 ; Бона иностранная. Французский Индокитай. 5 пиастров ; 1930-40е ;  ;  ;  ; 31 ; LordBalala ; 272 
 4869 ; Бона иностранная. Французский Индокитай. 100 пиастров ; 1949 ;  ;  ;  ; 36 ; von_Schwarz ; 346 
 4870 ; Бона иностранная. Лаос. 500  кип ; 1974 ;  ;  ;  ; 23 ; .gk ; 177 
 4871 ; Бона иностранная. Лаос. 200  кип ; 1963 ;  ;  ;  ; 17 ; .gk ; 177 
 4872 ; Бона иностранная. Филиппины. 2 песо ; 1944 ;  ;  ;  ; 35 ; ИЮМов1 ; 350 
 4873 ; Бона иностранная. Китай. 100 таможенных золотых единиц (100 CGU) ; 1930 ;  ;  ;  ; 33 ; кве ; 261 
 4874 ; Бона иностранная. Китай. 10 юаней ; 1940 ;  ;  ;  ; 44 ; кве ; 261 
 4875 ; Бона иностранная. Китай. 10 таможенных золотых единиц (10 CGU) ; 1930 ;  ;  ;  ; 37 ; sdfg ; 370 
 4876 ; Бона иностранная. Япония. 100 иен ;  ;  ;  ;  ; 73 ; iprit ; 312 
 4877 ; Бона иностранная. Япония. 10 иен ;  ;  ;  ;  ; 65 ; .gk ; 227 
 4878 ; Бона иностранная. Япония. 5 иен ;  ;  ;  ;  ; 55 ; гугл= ; 211 
 4879 ; Бона иностранная. Япония. 5 иен ;  ;  ;  ;  ; 45 ; LordBalala ; 200 
 4811 ; Бона иностранная. 5 крон. Дания ; 1959 ;  ;  ;  ; 24 ; RusScat ; 373 
 4812 ; Бона иностранная. 1 крона. Дания ; 1921 ;  ;  ;  ; 12 ; ИЮМов1 ; 216 
 4813 ; Бона иностранная. 10 крон. Норвегия ; 1941 ;  ;  ;  ; 17 ; dsp ; 318 
 4814 ; Бона иностранная. 10 крон. Швеция ; 1984 ;  ;  ;  ; 32 ; Garry128 ; 60 
 4815 ; Бона иностранная. 1 крона. Швеция ; 1915 ;  ;  ;  ; 18 ; гугл= ; 257 
 4816 ; Бона иностранная. 1 крона. Норвегия ; 1948 ;  ;  ;  ; 15 ; asru ; 227 
 4817 ; Бона иностранная. 1 крона. Норвегия ; 1917 ;  ;  ;  ; 28 ; von_Schwarz ; 614 
 4818 ; Бона иностранная. 500 песет. Испания ; 1927 ;  ;  ;  ; 21 ; Mike! ; 971 
 4819 ; Бона иностранная.1000 песет. Испания ; 1971 ;  ;  ;  ; 15 ; гугл= ; 567 
 4820 ; Бона иностранная. 500 песет. Испания ; 1971 ;  ;  ;  ; 15 ; Mike! ; 408 
 4821 ; Бона иностранная. 100 песет. Испания ; 1970 ;  ;  ;  ; 31 ; СТРЕКОЗА ; 100 
 4822 ; Бона иностранная. 1000 песет. Испания ; 1979 ;  ;  ;  ; 11 ; Northman ; 340 
 4823 ; Бона иностранная. Англия. 10 фунтов ; 1975 ;  ;  ;  ; 59 ; advokatx ; 555 
 4824 ; Бона иностранная. Англия. 5 фунтов ; 1971 ;  ;  ;  ; 45 ; Salisbyry ; 556 
 4825 ; Бона иностранная. Англия. 1 фунт ; 1970 ;  ;  ;  ; 40 ; gerber68 ; 157 
 4826 ; Бона иностранная. 20 франков. Швейцария ; 1970 ;  ;  ;  ; 34 ; гугл= ; 254 
 4827 ; Бона иностранная. Дания. Нотгельд. 2 марки ; 1920 ;  ;  ;  ; 17 ; м7508 ; 130 
 4828 ; Лот иностранных бон (2 шт): Дания. 5,10 марок ; 1958, 1972 ;  ;  ;  ; 18 ; ask ; 208 
 4829 ; Лот иностранных бон (2 шт): Дания. 5 марок ; 1954, 1958 ;  ;  ;  ; 21 ; гугл= ; 254 
 4830 ; Лот иностранных бон (3 шт): Дания, Фарерские острова, Норвегия ; 1918, 1949, 1960 ;  ;  ;  ; 29 ; von_Schwarz ; 901 
 4831 ; Бона иностранная. Германия. 1000 марок. Берлин ; 1922 ;  ;  ;  ; 21 ; кве ; 340 
 4832 ; Бона иностранная. Германия. 100 марок. Берлин ; 1922 ;  ;  ;  ; 15 ; кве ; 206 
 4833 ; Бона иностранная. Германия. 500 марок. Берлин ; 1922 ;  ;  ;  ; 32 ; Jauho ; 256 
 4834 ; Бона иностранная. Германия. 500 марок ; 1922 ;  ;  ;  ; 11 ; Gera_K ; 160 
 4835 ; Бона иностранная. Германия. 100 марок ; 1922 ;  ;  ;  ; 19 ; кве ; 510 
 4836 ; Нотгельд на 25 марок    город Билефельд,  земля Северный Рейн-Вестфалия. Германия ; 1921 ;  ; ткань ;     ; 24 ; von_Schwarz ; 616 
 4837 ; Нотгельд на 25 марок    город Билефельд,  земля Северный Рейн-Вестфалия. Германия ; 1921 ;  ; ткань ;    ; 18 ; джокер ; 614 
 4838 ; Бона иностранная. Германия. 500 марок ; 1922 ;  ;  ;  ; 21 ; Northman ; 126 
 4839 ; Бона иностранная. Германия. 1000 марок ; 1910 ;  ;  ;  ; 25 ; Garry128 ; 59 
 4840 ; Бона иностранная. Германия. 50 марок ; 1920 ;  ;  ;  ; 13 ; Northman ; 414 
 4841 ; Лот иностранных бон (7 шт): Германия. 50, 1000, 10 000, 100 000 марок ; 1910, 1919, 1922, 1923 ;  ;  ;  ; 11 ; Лорика ; 245 
 4842 ; Лот иностранных бон (3 шт): Германия. 100, 1000 марок ; 1908, 1910 ;  ;  ;  ; 13 ; клок ; 266 
 4843 ; Лот иностранных бон (5 шт): Австрия. 20, 50, 1000 марок ; 1902, 1913, 1962 ;  ;  ;  ; 11 ; ilnurchek ; 280 
 4844 ; Лот иностранных бон (10 шт) ;  ;  ;  ;  ; 29 ; гугл= ; 442 
 4845 ; Лот иностранных бон (10 шт): Германия. 5, 10, 100, 1000, 20 000 марок ; 1914, 1920, 1922, 1923, 1924 ;  ;  ;  ; 15 ; ilnurchek ; 408 
 4846 ; Лот иностранных бон (3 шт): Франция. 5, 20 франков ;  ;  ;  ;  ; 72 ; гугл= ; 645 
 4847 ; Бона иностранная. Германия. 1 марка ; 1922 ;  ;  ;  ; 35 ; Gera_K ; 85 
 4848 ; Нотгельд. Германия. 50 пфенингов. Берлин ; 1920 ;  ;  ;  ; 15 ; Jauho ; 50 
 4849 ; Нотгельд. Германия. 2 марки. Берлин ; 1922 ;  ;  ;  ; 34 ; П.А.Н. ; 46 
 4850 ; Нотгельд. Германия. 50 пфенингов. Гамбург ; 1920 ;  ;  ;  ; 4 ; Jauho ; 51 
 4851 ; Нотгельд. Австрия. 50 хеллеров. Зальбург ; 1920 ;  ;  ;  ; 13 ; Юбер ; 51 
 4852 ; Бона иностранная. Германия. 1 марка ; 1920 ;  ;  ;  ; 16 ; 090980 ; 71 
 4853 ; Бона иностранная. Германия. 2 марки ; 1922 ;  ;  ;  ; 11 ; Gera_K ; 104 
 4854 ; Нотгельд. Германия. 50 пфенингов. Берлин ; 1921 ;  ;  ;  ; 9 ; kop ; 51 
 4855 ; Нотгельд. Германия. 50 пфенингов. Вартбург ; 1921 ;  ;  ;  ; 19 ; Garry128 ; 50 
 4856 ; Нотгельд. Германия. 50 пфенингов. Вартбург ; 1921 ;  ;  ;  ; 7 ; Viskar ; 37 
 4857 ; Нотгельд. Германия. 50 пфенингов. Вартбург ; 1921 ;  ;  ;  ; 16 ; П.А.Н. ; 33 
 4858 ; Нотгельд. Германия. 50 пфенингов. Вартбург ; 1921 ;  ;  ;  ; 18 ; Garry128 ; 30 
 4859 ; Нотгельд. Германия. 50 пфенингов. Вартбург ; 1921 ;  ;  ;  ; 11 ; ОлегЛисаченко ; 140 
 4860 ; Лот иностранных бон (3 шт): Германия, Италия, Австро-Венгрия ;  ;  ;  ;  ; 40 ; poushkine ; 232 
 4372 ; Облигация в 500 марок, курско-харьково-азовской ж.д. ; 1889 ;  ;  ;  ; 57 ; 542 ; 603 
 4373 ; Закладной лист на 100 рублей. Дворянского земельного банка ; 1889 ;  ;  ;  ; 62 ; Mike! ; 955 
 4374 ; Свидетельство на капитал в 150 рублей. Крестьянского поземельного банка ; 1912 ;  ;  ;  ; 39 ; von_Schwarz ; 701 
 4375 ; Облигация в 125 рублей, донецкой ж.д. ; 1893 ;  ;  ;  ; 31 ; Mike! ; 479 
 4376 ; Облигация в 125 рублей, общ.владикавказкой ж.д ; 1885 ;  ;  ;  ; 35 ; Gera_K ; 308 
 4377 ; Акция центральное электрическое о-во в Москве ; 1899 ;  ;  ;  ; 47 ; 542 ; 589 
 4378 ; Облигация. Четвертый государственный военный заем на 100 рублей ; 1945 ;  ;  ;  ; 76 ; LordBalala ; 509 
 4379 ; Облигация. Четвертый государственный военный заем на 200 рублей ; 1945 ;  ;  ;  ; 129 ; Gera_K ; 1019 
 4380 ; Облигация. Третий государственный военный заем на 100 рублей ; 1944 ;  ;  ;  ; 24 ; solder13 ; 515 
 4381 ; Облигация. Третий государственный военный заем на 200 рублей ; 1944 ;  ;  ;  ; 29 ; Gera_K ; 918 
 4382 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 100 рублей ; 1946 ;  ;  ;  ; 50 ; гугл= ; 164 
 4383 ; Облигация. Третий государственный военный заем на 50 рублей ; 1944 ;  ;  ;  ; 42 ; Tral ; 612 
 4384 ; Облигация. Третий государственный военный заем на 50 рублей ; 1944 ;  ;  ;  ; 56 ; kont ; 748 
 4385 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 25 рублей ; 1954 ;  ;  ;  ; 64 ; аймир ; 104 
 4386 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 25 рублей ; 1954 ;  ;  ;  ; 67 ; fordvr ; 89 
 4387 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 10 рублей ; 1955 ;  ;  ;  ; 23 ; аймир ; 48 
 4388 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 10 рублей ; 1955 ;  ;  ;  ; 48 ; аймир ; 78 
 4389 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 25 рублей ; 1955 ;  ;  ;  ; 22 ; аймир ; 48 
 4390 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 25 рублей ; 1953 ;  ;  ;  ; 28 ; аймир ; 46 
 4391 ; Облигация. Государственный заем восстановления и развития народного хозяйства СССР на 50 рублей ; 1953 ;  ;  ;  ; 52 ; LordBalala ; 100 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 16 ; аймир ; 21 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Gera_K ; 80 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Salisbyry ; 223 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Gera_K ; 51 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 52 ; у44 ; 213 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Gera_K ; 102 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Gera_K ; 80 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 80 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gera_K ; 106 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 22 ; шмель ; 108 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Gera_K ; 114 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 28 ; медалькин ; 69 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 18 ; медалькин ; 51 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Garry128 ; 36 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Garry128 ; 46 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 18 ; медалькин ; 51 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Gera_K ; 126 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 23 ; медалькин ; 63 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 74 ; медалькин ; 124 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Gera_K ; 137 
 4801 ; Бона иностранная. 100 крон. Дания ; 1958 ;  ;  ;  ; 33 ; poushkine ; 1995 
 4802 ; Бона иностранная. 100 крон. Дания ; 1961 ;  ;  ;  ; 41 ; гугл= ; 680 
 4803 ; Бона иностранная. 100 крон. Дания ; 1972 ;  ;  ;  ; 29 ; RusScat ; 900 
 4804 ; Бона иностранная. 50 крон. Дания ; 1972 ;  ;  ;  ; 25 ; RusScat ; 758 
 4805 ; Бона иностранная. 50 крон. Дания ; 1970 ;  ;  ;  ; 19 ; RusScat ; 758 
 4806 ; Бона иностранная. 50 крон. Дания ; 1999 ;  ;  ;  ; 19 ; RusScat ; 828 
 4807 ; Бона иностранная. 20 крон. Дания ; 1972 ;  ;  ;  ; 25 ; RusScat ; 522 
 4808 ; Бона иностранная. 10 крон. Дания ; 1972 ;  ;  ;  ; 34 ; RusScat ; 431 
 4809 ; Бона иностранная. 10 крон. Дания ; 1943 ;  ;  ;  ; 13 ; RusScat ; 216 
 4810 ; Бона иностранная. 10 крон. Дания ; 1944 ;  ;  ;  ; 35 ; doiu33 ; 308 
 4322 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 25 ; ValZay ; 102 
 4323 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; Northman ; 250 
 4324 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 37 ; numpok ; 92 
 4325 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 72 ; LordBalala ; 1530 
 4326 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ;  ; 39 ; Bambr ; 612 
 4327 ; Бона 3 рубля г. Одесса ; 1917 ;  ;  ;  ; 23 ; poushkine ; 510 
 4328 ; Бона 5 рублей г. Одесса ; 1917 ;  ;  ; XF+ ; 54 ; Vb[fksx ; 714 
 4329 ; Бона 10 рублей г. Одесса ; 1917 ;  ;  ;  ; 33 ; Vb[fksx ; 567 
 4330 ; Бона 25 рублей г. Одесса ; 1917 ;  ;  ;  ; 16 ; awacsb1 ; 567 
 4331 ; 3 рубля ; 1919 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 72 ; Mike! ; 4444 
 4332 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 63 ; _1111_ ; 7662 
 4333 ; 15000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 86 ; _1111_ ; 8966 
 4334 ; 25000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 74 ; _1111_ ; 13265 
 4335 ; 1 рубль золотом ; 1928 ; Гос.казначейские билеты СССР ;  ;  ; 28 ; cotangens ; 5546 
 4336 ; 1 копейка ; 1924 ; Разменные казн.боны ;  ;  ; 60 ; ac ; 1989 
 4337 ; 3 копейки ; 1924 ; Разменные казн.боны ;  ;  ; 61 ; sato ; 2040 
 4338 ; 5 копеек ; 1924 ; Разменные казн.боны ;  ;  ; 43 ; bva150979 ; 1926 
 4339 ; 1 червонец ; 1922 ; Банковские билеты ;  ;  ; 67 ; flyfisher74 ; 4000 
 4340 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 30 ; ask ; 7064 
 4341 ; 3 червонца ; 1932 ; Билет ;  ;  ; 32 ; ЛАВ-13 ; 1224 
 4342 ; Лот 3 шт. 5,500 и 5000 рублей ; 1920,1921 ;  ;  ;  ; 47 ; poushkine ; 717 
 4343 ; 1 марка золотом ; 1916 ; Финляндия билет ;  ;  ; 27 ; viena ; 725 
 4344 ; Бона 50 пени. Финляндия ; 1918 ;  ;  ;  ; 21 ; vasek ; 214 
 4345 ; Бона 25 пени. Финляндия ; 1918 ;  ;  ;  ; 13 ; R2010 ; 129 
 4346 ; 5 центов ;  ; Литва ;  ;  ; 24 ; benc ; 969 
 4347 ; 5 центов ;  ; Литва ;  ;  ; 31 ; von_Schwarz ; 521 
 4348 ; 10 центов ;  ; Литва ;  ; XF ; 38 ; benc ; 1581 
 4349 ; 20 центов ;  ; Литва ;  ;  ; 31 ; benc ; 842 
 4350 ; 20 центов ;  ; Литва ;  ;  ; 17 ; benc ; 869 
 4351 ; 10 марок и 1 марка ; 1919 ;  ;  ;  ; 31 ; гугл= ; 2267 
 4352 ; 10 рублей. 3 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; ilnurchek ; 140 
 4353 ; 25 рублей. 2 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; fordvr ; 170 
 4354 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 41 ; Garry128 ; 110 
 4355 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 43 ; кве ; 216 
 4356 ; Лот 3 шт. 30,60,5000 рублей ;  ;  ;  ;  ; 26 ; гугл= ; 309 
 4357 ; Лот 4 шт. 1 и 5 рублей ; 1898,1909 ;  ;  ;  ; 19 ; donsergio ; 255 
 4358 ; Лот 2 шт. 50 копеек. Познань ; 1916 ;  ;  ;  ; 19 ; Gera_K ; 363 
 4359 ; Лот 2 шт. 1000 и 5000 рублей ; 1919,1920 ;  ;  ;  ; 15 ; sato ; 510 
 4360 ; Лот 3 шт. 100,1000 и 10000 рублей ; 1919 ;  ;  ;  ; 67 ; sax ; 531 
 4361 ; Лот 4 шт. 25,50 и 1000 рублей ; 1921,1922 ;  ;  ;  ; 18 ; USS ; 1734 
 4362 ; Лот 2 шт. 1 и 50 рублей ; 1918 ;  ;  ;  ; 27 ; sax ; 250 
 4363 ; 100 рублей. 10 шт ; 1991 ; билет ;  ;  ; 38 ; Tral ; 310 
 4364 ; 1 рубль ; 1938 ;  ;  ;  ; 47 ; kim64 ; 407 
 4365 ; 1 рубль ; 1938 ;  ;  ;  ; 43 ; lesnik1 ; 425 
 4366 ; 1 рубль ; 1938 ;  ;  ;  ; 27 ; v.k.diamond ; 378 
 4367 ; 1 рубль ; 1938 ;  ;  ;  ; 22 ; v.k.diamond ; 363 
 4368 ; 1 рубль ; 1938 ;  ;  ;  ; 17 ; xladon ; 400 
 4369 ; 1 рубль ; 1938 ;  ;  ;  ; 28 ; parmezan ; 444 
 4370 ; Закладной лист с купонами в 100 рублей. Бессарабско - Таврическаго земельного банка. ОБРАЗЕЦ 1903 ; 1903 ;  ;  ;  ; 25 ; Хромов ; 6891 
 4371 ; Закладной лист с купонами в 1000 рублей. Ярославско - Костромского земельного банка. ОБРАЗЕЦ 1874 ; 1874 ;  ;  ;  ; 30 ; Хромов ; 15867 
 4130 ; 100 рублей ; 1961 ;  ;  ; AU ; 36 ; mks-1 ; 816 
 4131 ; 100 манат ;  ; Туркменистан ;  ; AU ; 9 ; гугл= ; 123 
 4132 ; 1000 манат ; 1995 ; Туркменистан ;  ; AU ; 23 ; Gera_K ; 159 
 4133 ; 10000 манат ; 2003 ;  ;  ; AU ; 28 ; 542 ; 201 
 4134 ; 5000 манат ; 2005 ; Туркменистан ;  ; AU ; 14 ; poushkine ; 368 
 4135 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 16 ; dvoretsa ; 930 
 4136 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 27 ; mks-1 ; 516 
 4137 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 69 ; GERo ; 4873 
 4138 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 41 ; albar ; 4590 
 4139 ; 1 рубль. Благовещенск ; 1917 ;  ;  ;  ; 32 ; sdfg ; 2550 
 4140 ; 3 рубля. Благовещенск ; 1917 ;  ;  ;  ; 23 ; сс400 ; 2301 
 4141 ; 3 рубля. Благовещенск ; 1917 ;  ;  ;  ; 30 ; k212 ; 2492 
 4142 ; 1 рубль. Благовещенск ; 1918 ;  ;  ;  ; 19 ; сс400 ; 1887 
 4143 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 35 ; А_еЧъ ; 4539 
 4144 ; 2 червонца ; 1928 ; Пятаков. Билет ;  ;  ; 55 ; elion3 ; 5520 
 4145 ; 3 червонца ; 1932 ; Билет ;  ;  ; 19 ; konor ; 2040 
 4146 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 17 ; idalgo-17 ; 3774 
 4147 ; 1000 рублей. Благовещенск ; 1920 ;  ;  ;  ; 38 ; Vb[fksx ; 2652 
