 5872 ; Облигация в 500 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 9 ; rem16 ; 349 
 5873 ; Облигация в 1000 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 15 ; rem16 ; 419 
 5874 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Garry128 ; 34 
 5875 ; Бона иностранная ;  ;  ;  ;  ; 11 ; brat52 ; 26 
 5876 ; Бона иностранная ;  ;  ;  ;  ; 18 ; brat52 ; 19 
 5877 ; Бона иностранная ;  ;  ;  ;  ; 20 ; brat52 ; 23 
 5878 ; Бона иностранная ;  ;  ;  ;  ; 12 ; brat52 ; 22 
 5879 ; Бона иностранная ;  ;  ;  ;  ; 19 ; brat52 ; 24 
 5880 ; Бона иностранная ;  ;  ;  ;  ; 27 ; brat52 ; 26 
 5881 ; Бона иностранная ;  ;  ;  ;  ; 19 ; brat52 ; 26 
 5882 ; Бона иностранная ;  ;  ;  ;  ; 20 ; magarich ; 20 
 5883 ; Бона иностранная ;  ;  ;  ;  ; 13 ; magarich ; 24 
 5884 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ReSeRVeD ; 32 
 5885 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ReSeRVeD ; 40 
 5886 ; Бона иностранная ;  ;  ;  ;  ; 15 ; _1111_ ; 204 
 5887 ; 500 драхм. Греция ; 1932 ;  ;  ;  ; 13 ; Алёша ; 453 
 5888 ; 1 тугрик. Монголия ; 1941 ;  ;  ;  ; 25 ; sidr ; 184 
 5889 ; Бона иностранная ;  ;  ;  ;  ; 7 ; lemofo ; 155 
 5890 ; 1 цзяо. Китай ; 1980 ;  ;  ;  ; 21 ; Harlock ; 36 
 5891 ; 1 цзяо. Китай ; 1962 ;  ;  ;  ; 23 ; Стрепет ; 164 
 5892 ; 10 сен. Индонезия ; 1964 ;  ;  ;  ; 14 ; Garry128 ; 32 
 5893 ; 5 сен. Индонезия ; 1964 ;  ;  ;  ; 12 ; Garry128 ; 22 
 5894 ; 1 сен. Япония ; 1964 ;  ;  ;  ; 8 ; karman ; 35 
 5895 ; 1 гуарани. Парагвай ;  ;  ;  ;  ; 10 ; Алёша ; 107 
 5896 ; 1 крузэйро. Бразилия ;  ;  ;  ;  ; 13 ; Алёша ; 311 
 5897 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Garry128 ; 21 
 5898 ; Лот бон Польши 8 шт ;  ;  ;  ;  ; 30 ; bva150979 ; 159 
 5899 ; Бона иностранная Хорватия ; 1943 ;  ;  ;  ; 51 ; market_spb ; 444 
 5900 ; Бона иностранная Ирак ;  ;  ;  ;  ; 12 ; Алёша ; 153 
 5822 ; Лот иностранных бон (3 шт): Албания. 5, 10, 200 леке ; 1976, 1996/97 ;  ;  ;  ; 9 ; ЛАВ-13 ; 101 
 5823 ; Бона иностранная. Аргентина.  100  аустралей ; 1985/90 ;  ;  ;  ; 18 ; karman ; 46 
 5824 ; Бона иностранная. Австралия. 10 долларов ; 1988 ;  ;  ;  ; 19 ; ctepanovich ; 838 
 5825 ; Бона иностранная. Бангладеш. 10 така ; 1982 ;  ;  ;  ; 14 ; brat52 ; 36 
 5826 ; Бона иностранная. Бангладеш. 2 така ; 1988 ;  ;  ;  ; 30 ; Viskar ; 38 
 5827 ; Бона иностранная. Бельгия. 200 франков ; 1995 ;  ;  ;  ; 48 ; ИЮМов1 ; 295 
 5828 ; Бона иностранная. Биафра. 10 шиллингов ; 1968/69 ;  ;  ;  ; 37 ; Fillipiy ; 340 
 5829 ; Бона иностранная. Боливия. 100 песо ; 1962 ;  ;  ;  ; 31 ; bva150979 ; 82 
 5830 ; Бона иностранная. Босния и Герциговина. 25 динар с надпечаткой 1000 000 динар) ; 1993 ;  ;  ;  ; 26 ; Oleht ; 159 
 5831 ; Бона иностранная. Бразилия. 100 крузейро ; 1987 ;  ;  ;  ; 12 ; karman ; 42 
 5832 ; Бона иностранная. Бразилия. 1000 крузейро ; 1993 ;  ;  ;  ; 23 ; ИЮМов1 ; 93 
 5833 ; Бона иностранная. Бразилия. 5000 крузейро ; 1989 ;  ;  ;  ; 8 ; наташа2712 ; 57 
 5834 ; Бона иностранная. Бразилия. 10 000 крузейро ; 1990 ;  ;  ;  ; 51 ; kent01 ; 87 
 5835 ; Бона иностранная. Болгария. 50 левов ; 1992 ;  ;  ;  ; 22 ; gigajohn ; 42 
 5836 ; Бона иностранная. Болгария. 200 левов ; 1992 ;  ;  ;  ; 33 ; gigajohn ; 107 
 5837 ; Бона иностранная. Болгария. 1000 левов ; 1994 ;  ;  ;  ; 15 ; гугл= ; 188 
 5838 ; Бона иностранная. Бирма. 1 къят ; 1972 ;  ;  ;  ; 22 ; brat52 ; 36 
 5839 ; Бона иностранная. Бирма. 5 къят ; 1973 ;  ;  ;  ; 13 ; brat52 ; 36 
 5840 ; Бона иностранная. Мьянма. 1 къят ; 1990 ;  ;  ;  ; 13 ; brat52 ; 36 
 5841 ; Бона иностранная. Бурунди. 100 франков ; 2006 ;  ;  ;  ; 8 ; karman ; 40 
 5842 ; Бона иностранная. Камбоджа. 1 риэль ; 1972 ;  ;  ;  ; 22 ; Searcher ; 46 
 5843 ; Бона иностранная. Камбоджа. 50 риэль ; 1972 ;  ;  ;  ; 13 ; brat52 ; 39 
 5844 ; Бона иностранная. Канада. 2 доллара ; 1986 ;  ;  ;  ; 30 ; гугл= ; 255 
 5845 ; Бона иностранная. Шри-Ланка. 20 рупий ; 1991 ;  ;  ;  ; 42 ; _1111_ ; 57 
 5846 ; Бона иностранная. Чили. 10000 песо ; 2002 ;  ;  ;  ; 41 ; ИЮМов1 ; 174 
 5847 ; Бона иностранная. Колумбия. 10 песо ; 1980 ;  ;  ;  ; 37 ; Viskar ; 38 
 5848 ; Бона иностранная. Республика Заир. 5 нов.макут ; 1993 ;  ;  ;  ; 22 ; Моряк-собиратель ; 108 
