 5926 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Rober ; 31 
 5927 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сербос1975 ; 24 
 5928 ; Бона иностранная ;  ;  ;  ;  ; 7 ; STAER ; 27 
 5929 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сербос1975 ; 21 
 5930 ; Бона иностранная ;  ;  ;  ;  ; 12 ; STAER ; 170 
 5931 ; Бона иностранная ;  ;  ;  ;  ; 15 ; foh1985 ; 23 
 5932 ; Бона иностранная ;  ;  ;  ;  ; 8 ; foh1985 ; 22 
 5933 ; Бона иностранная ;  ;  ;  ;  ; 10 ; STAER ; 113 
 5934 ; Бона иностранная ;  ;  ;  ;  ; 19 ; SАПSАН ; 46 
 5935 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brat52 ; 6 
 5936 ; Бона иностранная ;  ;  ;  ;  ; 9 ; brat52 ; 10 
 5937 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Rober ; 24 
 5938 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Bambr ; 13 
 5939 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alex995 ; 18 
 5940 ; Бона иностранная ;  ;  ;  ;  ; 12 ; brat52 ; 20 
 5941 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Bambr ; 24 
 5942 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 18051951 ; 24 
 5876 ; Бона иностранная. США. 1 доллар ; 1957 ;  ;  ;  ; 30 ; alex09-63 ; 461 
 5877 ; Бона иностранная. США. 1 доллар серебром ; 1923 ;  ;  ;  ; 33 ; asadovoy ; 1226 
 5878 ; Лот иностранных бон. Зимбабве (6 шт) ;  ;  ;  ;  ; 51 ; alex1974 ; 575 
 5879 ; Бона иностранная. Куба. 100 песо ; 1959 ;  ;  ;  ; 33 ; СЁМА ; 289 
 5880 ; Бона иностранная.  Австрия. 2 кроны ; 1917 ;  ;  ;  ; 17 ; vesta78 ; 51 
 5881 ; Бона иностранная. Финляндия. 1 марка ; 1963 ;  ;  ;  ; 10 ; tss ; 69 
 5882 ; Бона иностранная. Дания. 20 крон ; 1972 ;  ;  ;  ; 33 ; filat100 ; 329 
 5883 ; Лот иностранных бон. Германия (3 шт) ;  ;  ;  ;  ; 21 ; я8844 ; 158 
