 5894 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5895 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5896 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5897 ; Бона иностранная ;  ;  ;  ;  ; 13 ; леший 88 ; 34 
 5898 ; Бона иностранная ;  ;  ;  ;  ; 17 ; OlegFox ; 34 
 5899 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5900 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5901 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5844 ; Облигация. Швейцария ; 1935 ;  ;  ;  ; 9 ; pref ; 34 
 5845 ; Облигация в 100 марок золотом. Германия ; 1926 ;  ;  ;  ; 7 ; alex995 ; 23 
 5846 ; Облигация в 100 марок золотом. Германия ; 1931 ;  ;  ;  ; 9 ; беркут ; 68 
 5847 ; Облигация. Германия ; 1987 ;  ;  ;  ; 5 ; alex995 ; 23 
 5848 ; Облигация. США ; 1965 ;  ;  ;  ; 9 ; .gk ; 33 
 5849 ; Лот иностранных бон. Германия. 3 шт ;  ;  ;  ;  ; 37 ; OlegFox ; 514 
 5850 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 51 
 5851 ; Бона иностранная ;  ;  ;  ;  ; 5 ; OlegFox ; 27 
 5852 ; Бона иностранная. Германия. 20 000 марок ; 1923 ;  ;  ;  ; 20 ; одиссей ; 100 
 5853 ; Бона иностранная ;  ;  ;  ;  ; 6 ; одиссей ; 24 
 5854 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brat52 ; 24 
 5855 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 39 
 5856 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sme15 ; 67 
 5857 ; Бона иностранная ;  ;  ;  ;  ; 14 ; прохожий ; 57 
 5858 ; Бона иностранная ;  ;  ;  ;  ; 11 ; парам ; 49 
 5859 ; Бона иностранная ;  ;  ;  ;  ; 13 ; strutikut ; 46 
 5860 ; Бона иностранная ;  ;  ;  ;  ; 12 ; парам ; 42 
 5861 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alehandr ; 104 
 5862 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 44 
 5863 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 35 
 5864 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 34 
 5865 ; Бона иностранная ;  ;  ;  ;  ; 10 ; brat52 ; 12 
 5866 ; Бона иностранная ;  ;  ;  ;  ; 9 ; doiu33 ; 31 
 5867 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Jiamer57rus ; 4 
 5868 ; Бона иностранная ;  ;  ;  ;  ; 9 ; brat52 ; 27 
 5869 ; Бона иностранная ;  ;  ;  ;  ; 10 ; brat52 ; 31 
 5870 ; Бона иностранная ;  ;  ;  ;  ; 4 ; OlegFox ; 26 
 5871 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 46 
 5872 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5873 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 59 
 5874 ; Бона иностранная ;  ;  ;  ;  ; 6 ; OlegFox ; 59 
 5875 ; Бона иностранная ;  ;  ;  ;  ; 6 ; OlegFox ; 28 
 5876 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 51 
 5877 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5878 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 16 
 5879 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 51 
 5880 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 36 
 5881 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 51 
 5882 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5883 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5884 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5885 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 51 
 5886 ; Бона иностранная ;  ;  ;  ;  ; 10 ; brat52 ; 16 
 5887 ; Бона иностранная ;  ;  ;  ;  ; 9 ; brat52 ; 16 
 5888 ; Бона иностранная ;  ;  ;  ;  ; 9 ; OlegFox ; 27 
 5889 ; Бона иностранная ;  ;  ;  ;  ; 4 ; OlegFox ; 21 
 5890 ; Бона иностранная ;  ;  ;  ;  ; 10 ; OlegFox ; 46 
 5891 ; Бона иностранная ;  ;  ;  ;  ; 11 ; OlegFox ; 51 
 5892 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5893 ; Бона иностранная ;  ;  ;  ;  ; 12 ; OlegFox ; 51 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 13 ; прохожий ; 72 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Новик ; 123 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 3 ; som-media ; 101 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Новик ; 153 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 16 ; леший 88 ; 63 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gigajohn ; 43 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 3 ; som-media ; 101 
 5801 ; Бона иностранная. Сербия 1000 динар ; 2006 ;  ;  ;  ; 37 ; vasek ; 338 
 5802 ; Бона иностранная. Сербия 1000 динар ; 2006 ;  ;  ;  ; 18 ; СТРЕКОЗА ; 142 
 5803 ; Бона иностранная. Сербия 1000 динар ; 2006 ;  ;  ;  ; 19 ; СТРЕКОЗА ; 181 
 5804 ; Бона иностранная. Сербия 1000 динар ; 2006 ;  ;  ;  ; 15 ; СТРЕКОЗА ; 255 
 5805 ; Бона иностранная. Сербия 1000 динар ; 2006 ;  ;  ;  ; 36 ; tss ; 306 
 5806 ; Бона иностранная Венгрия 10 пенго ; 1944 ;  ;  ;  ; 31 ; гугл= ; 155 
 5807 ; Лот нотгельдов Германии: 32шт ;  ;  ;  ;  ; 41 ; одиссей ; 1700 
 5808 ; Бона иностранная Испания ;  ;  ;  ;  ; 13 ; прохожий ; 204 
 5809 ; Бона иностранная ;  ;  ;  ;  ; 38 ; _1111_ ; 153 
 5810 ; Лот бон 20 шт ;  ;  ;  ;  ; 34 ; прохожий ; 1024 
 5811 ; Лот бон 4 шт ;  ;  ;  ;  ; 28 ; гугл= ; 459 
 5812 ; Бона иностранная Мозамбик ;  ;  ;  ;  ; 23 ; прохожий ; 45 
 5813 ; Лот  6 шт ;  ;  ;  ;  ; 19 ; carwood2007 ; 420 
 5814 ; Лот бон 20 шт ;  ;  ;  ;  ; 17 ; гугл= ; 714 
 5815 ; Лот бон 20 шт ;  ;  ;  ;  ; 21 ; гугл= ; 783 
 5816 ; Лот бон 24 шт ;  ;  ;  ;  ; 24 ; гугл= ; 797 
 5817 ; Лот бон иностранных  35 шт ;  ;  ;  ;  ; 52 ; Elephant ; 771 
 5818 ; Лот бон Зимбабве: 10 биллионов долларов (3шт) ; 2008 ;  ;  ;  ; 23 ; masterovoi ; 567 
 5819 ; Лот бон иностранных 30 шт ;  ;  ;  ;  ; 25 ; гугл= ; 340 
 5820 ; Лот бон иностранных 20 шт ;  ;  ;  ;  ; 20 ; гугл= ; 449 
 5821 ; Акция на 100 рейхсмарок. Германия ; 1924 ;  ;  ;  ; 20 ; gigajohn ; 82 
 5822 ; Облигация в 100 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 19 ; КОТ13 ; 204 
 5823 ; Облигация в 200 рейхсмарок. Третий Рейх ; 1937 ;  ;  ;  ; 22 ; Aquila ; 225 
 5824 ; Облигация в 1000 рейхсмарок. Третий Рейх ; 1939 ;  ;  ;  ; 14 ; Schwer ; 306 
 5825 ; Акци на 300 дойчмарок. Германия ; 1954 ;  ;  ;  ; 9 ; gigajohn ; 34 
 5826 ; Акция на 100 рейхсмарок. Германия ; 1933 ;  ;  ;  ; 8 ; КОТ13 ; 57 
 5827 ; Акция на 100 рейхсмарок. Германия ; 1925 ;  ;  ;  ; 10 ; КОТ13 ; 57 
 5828 ; Акция на 100 рейхсмарок. Германия ; 1938 ;  ;  ;  ; 10 ; КОТ13 ; 162 
 5829 ; Акция на 100 рейхсмарок. Германия ; 1926 ;  ;  ;  ; 10 ; КОТ13 ; 57 
 5830 ; Акция на 100 рейхсмарок. Германия ; 1929 ;  ;  ;  ; 10 ; gigajohn ; 62 
 5831 ; Акция на 100 рейхсмарок. Германия ; 1938 ;  ;  ;  ; 8 ; КОТ13 ; 159 
 5832 ; Акция на 400 рейхсмарок. Германия ; 1928 ;  ;  ;  ; 21 ; 18051951 ; 113 
 5833 ; Акци на 200 дойчмарок. Германия ; 1963 ;  ;  ;  ; 9 ; gigajohn ; 34 
 5834 ; Акция на 1000  рейхсмарок. Германия ; 1926 ;  ;  ;  ; 15 ; КОТ13 ; 57 
 5835 ; Акция на 100 рейхсмарок. Германия ; 1930 ;  ;  ;  ; 11 ; КОТ13 ; 57 
 5836 ; Акция на 1000  рейхсмарок. Германия ; 1942 ;  ;  ;  ; 27 ; КОТ13 ; 192 
 5837 ; Акция на 100 рейхсмарок. Германия ; 1925 ;  ;  ;  ; 12 ; КОТ13 ; 57 
 5838 ; Акция на 400 рейхсмарок. Германия ; 1941 ;  ;  ;  ; 12 ; Schwer ; 153 
 5839 ; Акция на 300 рейхсмарок. Германия ; 1928 ;  ;  ;  ; 15 ; КОТ13 ; 57 
 5840 ; Акция на 100 рейхсмарок. Германия ; 1932 ;  ;  ;  ; 14 ; КОТ13 ; 57 
 5841 ; Облигация. Германия ; 1927 ;  ;  ;  ; 10 ; pref ; 27 
 5842 ; Облигация в 500 марок золотом. Германия ; 1925 ;  ;  ;  ; 14 ; КОТ13 ; 57 
 5843 ; Облигация в 1000 марок золотом. Германия ; 1925 ;  ;  ;  ; 14 ; КОТ13 ; 69 
 5385 ; 250000000 рублей ;  ;  ;  ;  ; 46 ; masterovoi ; 1122 
 5386 ; 3 червонца ; 1937 ;  ;  ;  ; 14 ; Montenegro ; 153 
 5387 ; 50 рублей ; 1991 ; билет ;  ;  ; 17 ; zlobniy ; 250 
 5388 ; 100 рублей ; 1991 ; билет ;  ;  ; 22 ; трутень ; 104 
 5389 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 17 ; StarFunk ; 113 
 5390 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 9 ; леший 88 ; 47 
 5391 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 16 ; Montenegro ; 57 
 5392 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 23 ; Nik74 ; 92 
 5393 ; Купоны, Украина ;  ;  ;  ;  ; 9 ; atk ; 27 
 5394 ; 500, 1000 рублей ;  ;  ;  ;  ; 22 ; КОТ13 ; 59 
 5395 ; Акция в 150 рублей. Таганрогское Металлургическое общество ;  ;  ;  ;  ; 28 ; гугл= ; 201 
 5396 ; Облигация  в 187 рублей 50 копеек. Императорское Российское правительство. Российский государственный 5% заем 1906 года ;  ;  ;  ;  ; 17 ; Максимус ; 294 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 11 ; brat52 ; 36 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Майкл ; 102 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 22 ; asparagus ; 42 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 60 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ship-nik ; 100 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 18 ; brat52 ; 43 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 12 ; gigajohn ; 32 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 8 ; asparagus ; 32 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 18 ; прохожий ; 51 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 8 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 12 ; brat52 ; 40 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Woker ; 123 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 11 ; carwood2007 ; 39 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Slava O ; 91 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Slava O ; 114 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Pipe ; 164 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 16 ; brat52 ; 43 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 10 ; asparagus ; 30 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brat52 ; 40 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; asparagus ; 31 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; прохожий ; 51 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 9 ; nik23455 ; 105 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 12 ; brat52 ; 50 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 8 ; brat52 ; 50 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 20 ; carwood2007 ; 61 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 17 ; парам ; 51 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 20 ; OVT ; 239 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 11 ; вулканолог ; 150 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; вулканолог ; 138 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 9 ; chex88 ; 121 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 10 ; chex88 ; 121 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 10 ; chex88 ; 123 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 12 ; chex88 ; 122 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 14 ; .gk ; 102 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Новик ; 114 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gigajohn ; 43 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 3 ; som-media ; 100 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 9 ; zuza ; 109 
 5335 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 33 ; xladon ; 1836 
 5336 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 26 ; Nik74 ; 206 
 5337 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 28 ; gigajohn ; 102 
 5338 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 33 ; sme15 ; 828 
 5339 ; 50 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 34 ; sme15 ; 1019 
