 5866 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alien34 ; 41 
 5867 ; Бона иностранная ;  ;  ;  ;  ; 12 ; panti2008 ; 35 
 5868 ; Бона иностранная ;  ;  ;  ;  ; 13 ; YG2013 ; 34 
 5869 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Rotas ; 46 
 5870 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Rotas ; 31 
 5871 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Rotas ; 34 
 5872 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Rotas ; 42 
 5873 ; Бона иностранная ;  ;  ;  ;  ; 12 ; markov-m ; 48 
 5874 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Rotas ; 32 
 5875 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alien34 ; 30 
 5876 ; Бона иностранная. Германия ;  ;  ;  ;  ; 20 ; Alex981 ; 41 
 5877 ; Бона иностранная. Германия. 2 шт ;  ;  ;  ;  ; 16 ; 12nerv ; 74 
 5816 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 14 ; smel ; 181 
 5817 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 17 ; smel ; 308 
 5818 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 21 ; lsamurai ; 1160 
 5819 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 13 ; Dino Zavr ; 1099 
 5820 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 7 ; alien34 ; 816 
 5821 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 11 ; alien34 ; 1022 
 5822 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 13 ; Dino Zavr ; 1119 
 5823 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 11 ; alien34 ; 1020 
 5824 ; Лот нотгельдов Германия 40 шт ;  ;  ;  ;  ; 11 ; alien34 ; 1122 
 5825 ; Лот нотгельдов Германия 30 шт ;  ;  ;  ;  ; 13 ; sib8 ; 926 
 5826 ; Лот нотгельдов Германия 7 шт ;  ;  ;  ;  ; 15 ; smel ; 181 
 5827 ; Лот бон Германия 5 шт ;  ;  ;  ;  ; 16 ; alien34 ; 420 
 5828 ; Лот бон Перу (6шт) 5000,100,50,20 инти,10, 5 песо ; 1980-1987 ;  ;  ;  ; 26 ; парам ; 194 
 5829 ; Лот бон Перу (6шт) 5000,100,50,20 инти,10, 5 песо ; 1980-1987 ;  ;  ;  ; 43 ; нумизмат ; 177 
 5830 ; Лот бон Перу (9шт) 100 инти ; 1987 ;  ;  ;  ; 10 ; brat52 ; 204 
 5831 ; Лот бон Перу (12шт) 50 инти ; 1987 ;  ;  ;  ; 11 ; brat52 ; 204 
 5832 ; Лот бон Перу (13шт) 10 инти ; 1987 ;  ;  ;  ; 13 ; brat52 ; 204 
 5833 ; Лот бон Перу (5шт) 5000,100,50 инти,10, 5 песо ; 1980-1987 ;  ;  ;  ; 13 ; USS ; 137 
 5834 ; Лот бон Перу (30шт) 5 песо ; 1980 ;  ;  ;  ; 10 ; ignatovanton ; 465 
 5835 ; Лот бон Перу (30шт) 10 инти ; 1987 ;  ;  ;  ; 19 ; brat52 ; 456 
 5836 ; Лот бон Перу (30шт) 20 песо ; 1983 ;  ;  ;  ; 10 ; ignatovanton ; 467 
 5837 ; Лот бон Перу (30шт) 50 инти ; 1987 ;  ;  ;  ; 13 ; brat52 ; 458 
 5838 ; Лот бон Перу (30шт) 100 инти ; 1987 ;  ;  ;  ; 13 ; kgu ; 495 
 5839 ; Лот бон Перу (30шт) 5000 инти ; 1988 ;  ;  ;  ; 27 ; brat52 ; 420 
 5840 ; Бона иностранная. 5 евро ; 2013 ;  ;  ;  ; 29 ; Wolf989 ; 257 
 5841 ; Бона иностранная. 5 евро ; 2013 ;  ;  ;  ; 49 ; bva150979 ; 250 
 5842 ; Бона иностранная. 5 евро ; 2013 ;  ;  ;  ; 27 ; andreygrishinspb ; 252 
 5843 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 12nerv ; 33 
 5844 ; Лот иностранных бон (3 шт): Бразилия. 100, 5000, 100 000 крузейро ; 1981, 1985 ;  ;  ;  ; 5 ; тикси3 ; 102 
 5845 ; Бона иностранная. Монголия. 1 тугрик ; 1993 ;  ;  ;  ; 27 ; трутень ; 44 
 5846 ; Бона иностранная ;  ;  ;  ;  ; 9 ; YG2013 ; 21 
 5847 ; Бона иностранная ;  ;  ;  ;  ; 32 ; YG2013 ; 31 
 5848 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alien34 ; 26 
 5849 ; Бона иностранная ;  ;  ;  ;  ; 19 ; YG2013 ; 28 
 5850 ; Бона иностранная ;  ;  ;  ;  ; 9 ; SEVEN ; 26 
 5851 ; Бона иностранная ;  ;  ;  ;  ; 10 ; SEVEN ; 28 
 5852 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alien34 ; 28 
 5853 ; Бона иностранная ;  ;  ;  ;  ; 8 ; panti2008 ; 23 
 5854 ; Бона иностранная ;  ;  ;  ;  ; 15 ; YG2013 ; 24 
 5855 ; Бона иностранная ;  ;  ;  ;  ; 8 ; лайк ; 24 
 5856 ; Бона иностранная ;  ;  ;  ;  ; 20 ; YG2013 ; 31 
 5857 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 27 
 5858 ; Бона иностранная ;  ;  ;  ;  ; 22 ; YG2013 ; 31 
 5859 ; Бона иностранная ;  ;  ;  ;  ; 14 ; smel ; 27 
 5860 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 31 
 5861 ; Бона иностранная ;  ;  ;  ;  ; 23 ; YG2013 ; 31 
 5862 ; Бона иностранная ;  ;  ;  ;  ; 21 ; YG2013 ; 34 
 5863 ; Бона иностранная ;  ;  ;  ;  ; 15 ; SEVEN ; 81 
 5864 ; Бона иностранная ;  ;  ;  ;  ; 10 ; YG2013 ; 31 
 5865 ; Бона иностранная ;  ;  ;  ;  ; 15 ; panti2008 ; 28 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Pushan ; 79 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 24 ; chex88 ; 102 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 16 ; chex88 ; 104 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 14 ; chex88 ; 102 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 22 ; vitaliy036 ; 102 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vitaliy036 ; 102 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vitaliy036 ; 102 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; panti2008 ; 25 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 58 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 8 ; сс400 ; 26 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 15 ; PROCONSUL ; 31 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 6 ; nik23455 ; 26 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brat52 ; 26 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Jiamer57rus ; 25 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 8 ; PROCONSUL ; 32 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; наташа2712 ; 32 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brat52 ; 26 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 7 ; сс400 ; 32 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 26 ; кве ; 308 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 7 ; DVZ ; 28 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 13 ; НЭРИ ; 40 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 16 ; трутень ; 102 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 13 ; кве ; 227 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kent01 ; 95 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 12nerv ; 40 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 14 ; g-s-m-78 ; 105 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 41 ; SEVEN ; 400 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Pipe ; 305 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 11 ; g-s-m-78 ; 101 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; g-s-m-78 ; 101 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 26 ; сс400 ; 263 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 64 ; Pipe ; 453 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 22 ; газета ; 770 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Dino Zavr ; 867 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 22 ; я8844 ; 386 
 5801 ; 20 литов ; 1993 ; Литва ;  ;  ; 25 ; Dino Zavr ; 254 
 5802 ; Лот бон 3 шт. 1,2,5 литов. Литва ;  ;  ;  ;  ; 33 ; Dino Zavr ; 108 
 5803 ; Бона иностранная 5 марок. ФРГ ; 1980 ;  ;  ;  ; 32 ; Dino Zavr ; 242 
 5804 ; 2 кроны ; 2007 ; Эстония ;  ; AU ; 9 ; sts ; 126 
 5805 ; 5 крон ; 1994 ; Эстония ;  ; AU ; 25 ; sts ; 126 
 5806 ; 10 крон ; 2007 ; Эстония ;  ; AU ; 11 ; sts ; 126 
 5807 ; 25 крон ; 2007 ; Эстония ;  ; AU ; 23 ; Dino Zavr ; 218 
 5808 ; 50 крон ; 1994 ; Эстония ;  ; AU ; 26 ; andreygrishinspb ; 368 
 5809 ; 100 крон ; 2007 ; Эстония ;  ; AU ; 31 ; Dino Zavr ; 601 
 5810 ; Бона иностранная. 10 крон Дания ; 1936 ;  ;  ; AU ; 19 ; я8844 ; 340 
 5811 ; Бона иностранная. 10 крон Дания ; 1972 ;  ;  ; AU ; 29 ; я8844 ; 312 
 5812 ; Лот бон 3 шт ;  ;  ;  ;  ; 23 ; Schwer ; 155 
 5813 ; Лот бон 4 шт. Финляндия ; 1918 ;  ;  ;  ; 25 ; boroda ; 400 
 5814 ; Лот нотгельдов Германия 25 шт ;  ;  ;  ;  ; 16 ; alien34 ; 533 
 5815 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 17 ; smel ; 275 
 5398 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; kirgan13 ; 57 
 5399 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; Русские Люди ; 317 
 5400 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; Русские Люди ; 215 
 5401 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; gsv0703 ; 396 
 5402 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; ekorsky ; 453 
 5403 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Русские Люди ; 340 
 5404 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; sts ; 712 
 5405 ; Лот бон 4 шт ; 1917,1918 ;  ;  ;  ; 18 ; Fliege1 ; 442 
 5406 ; Лот бон 5 шт ; 1937,1938 ;  ;  ;  ; 29 ; Dino Zavr ; 1530 
 5407 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 11 ; sts ; 126 
 5408 ; Лот 2 шт. 500 рублей ; 1912 ;  ;  ;  ; 18 ; Русские Люди ; 567 
 5409 ; Лот 2 шт. 100 и 500 рублей ; 1910,1912 ;  ;  ;  ; 61 ; fordvr ; 727 
 5410 ; 1000 рублей. 2 шт. ; 1919 ;  ;  ;  ; 23 ; bonist-3A ; 906 
 5411 ; Лот 3 шт. 10 и 250 рублей ; 1917,1918 ;  ;  ;  ; 22 ; sts ; 255 
 5412 ; 500 рублей ; 1920 ;  ;  ;  ; 35 ; ZIMOGOR ; 355 
 5413 ; Лот бон 7 шт. 1,10,100,200,500 рублей ; 1961-1993 ;  ;  ;  ; 18 ; эмко55 ; 340 
 5414 ; Лот 5 шт. 1,3,1000,50000,100000 рублей ; 1921,1922 ;  ;  ;  ; 51 ; sergemon ; 1500 
 5415 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 34 ; Zubrstroy ; 261 
 5416 ; Лот бон 3 шт. Финляндия ; 1916 ;  ;  ;  ; 47 ; viena ; 1019 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Drunja33 ; 51 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Drunja33 ; 51 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 12nerv ; 26 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 12nerv ; 26 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 15 ; brat52 ; 22 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Jiamer57rus ; 24 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 9 ; сс400 ; 114 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 50 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Jiamer57rus ; 25 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Jiamer57rus ; 25 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Jiamer57rus ; 25 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kronk ; 26 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 24 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kronk ; 26 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kronk ; 26 
