 5828 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 29 ; umbrella ; 340 
 5829 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 41 ; НЕВО ; 420 
 5830 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 36 ; НЕВО ; 420 
 5831 ; Бона иностранная. Куба ; 1960 ;  ;  ;  ; 28 ; НЕВО ; 181 
 5832 ; Бона иностранная. Куба ; 1960 ;  ;  ;  ; 20 ; Aleech ; 138 
 5833 ; Бона иностранная. Мексика ; 1915 ;  ;  ;  ; 31 ; НЕВО ; 343 
 5834 ; Бона иностранная. Йемен ; 1965 ;  ;  ;  ; 23 ; Dino Zavr ; 359 
 5835 ; Бона иностранная. США ; 1914 ;  ;  ;  ; 47 ; Dino Zavr ; 4063 
 5836 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 19 ; НЭРИ ; 51 
 5837 ; Бона иностранная. Эстония ; 1929 ;  ;  ;  ; 34 ; НЕВО ; 521 
 5838 ; Бона иностранная. Германия ;  ;  ;  ;  ; 46 ; bonist-3A ; 691 
 5839 ; Бона иностранная. Польша ; 1988 ;  ;  ;  ; 29 ; Gera_K ; 159 
 5840 ; Лот бон 8 шт ;  ;  ;  ;  ; 15 ; grond ; 92 
 5841 ; Лот бон 11 шт ;  ;  ;  ;  ; 23 ; Ratmen ; 132 
 5842 ; Лот бон 6 шт ;  ;  ;  ;  ; 44 ; grond ; 126 
 5843 ; Лот бон 6 шт ;  ;  ;  ;  ; 10 ; Ratmen ; 153 
 5844 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 17 ; 333985 ; 204 
 5845 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 8 ; Dino Zavr ; 255 
 5846 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 24 ; 12nerv ; 68 
 5847 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 11 ; Dino Zavr ; 328 
 5848 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 22 ; Gera_K ; 344 
 5849 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 17 ; grond ; 114 
 5850 ; Лот бон иностранных 10 шт ;  ;  ;  ;  ; 10 ; vzz ; 214 
 5851 ; Лот бон иностранных  22 шт ;  ;  ;  ;  ; 11 ; vzz ; 209 
 5852 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 9 ; Dino Zavr ; 227 
 5853 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 6 ; grond ; 159 
 5854 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 5 ; maymuse ; 136 
 5855 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 25 ; Johnny Walker ; 254 
 5856 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 12 ; smel ; 182 
 5857 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 12 ; maymuse ; 174 
 5858 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 18 ; maymuse ; 300 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 30 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 30 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 30 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 30 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Slava O ; 30 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 20 ; НЭРИ ; 70 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 100 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Gera_K ; 50 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ОВМ ; 105 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 34 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dino Zavr ; 50 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dino Zavr ; 59 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 35 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 28 ; sher60 ; 228 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 13 ; слоник ; 43 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ZIMOGOR ; 101 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 114 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Slava O ; 53 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 115 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 112 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 57 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 129 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 14 ; любитель555 ; 82 
 5801 ; Бона иностранная. Германия ; 1900 ;  ;  ;  ; 42 ; НЕВО ; 731 
 5802 ; Бона иностранная. Германия ; 1902 ;  ;  ;  ; 53 ; НЕВО ; 673 
 5803 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; nikfed ; 400 
 5804 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 20 ; smel ; 177 
 5805 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 33 ; НЕВО ; 225 
 5806 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 19 ; НЕВО ; 128 
 5807 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 27 ; НЕВО ; 134 
 5808 ; Бона иностранная. Германия ; 1918 ;  ;  ;  ; 15 ; maymuse ; 204 
 5809 ; Бона иностранная. Германия ; 1922 ;  ;  ; AU ; 29 ; maymuse ; 216 
 5810 ; Бона иностранная. Германия ; 1923 ;  ;  ; AU ; 17 ; maymuse ; 235 
 5811 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 19 ; nikfed ; 327 
 5812 ; Бона иностранная. Германия ; 1922 ;  ;  ; AU ; 25 ; maymuse ; 216 
 5813 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 34 ; НЕВО ; 216 
 5814 ; Бона иностранная. Германия ;  ;  ;  ; AU ; 91 ; torbey ; 1632 
 5815 ; Бона иностранная. Германия ;  ;  ;  ; AU ; 76 ; torbey ; 1530 
 5816 ; Бона иностранная. Люксенбург ;  ;  ;  ;  ; 12 ; Dino Zavr ; 206 
 5817 ; Бона иностранная. Литва 5 шт ;  ;  ;  ;  ; 27 ; D-503 ; 590 
 5818 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 11 ; СЁМА ; 68 
 5819 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 20 ; svv ; 65 
 5820 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 15 ; nikfed ; 123 
 5821 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 27 ; vicktor_2014 ; 365 
 5822 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 28 ; Майкл ; 578 
 5823 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 28 ; luda ; 634 
 5824 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 42 ; Майкл ; 1999 
 5825 ; Бона иностранная лот 5 шт ;  ;  ;  ;  ; 41 ; 333985 ; 116 
 5826 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 11 ; себер ; 102 
 5827 ; Бона иностранная. Япония ; 1889 ;  ;  ;  ; 44 ; себер ; 1020 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 42 ; НЭРИ ; 453 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 11 ; НЭРИ ; 289 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 39 ; НЭРИ ; 259 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 18 ; любитель555 ; 73 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 9 ; igor39 ; 40 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 12nerv ; 26 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dino Zavr ; 340 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dino Zavr ; 100 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 17 ; любитель555 ; 43 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; любитель555 ; 40 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ZIMOGOR ; 101 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 27 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 35 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 91 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 7 ; наташа2712 ; 45 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; НЭРИ ; 31 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 15 ; я8844 ; 39 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bogdlena ; 142 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 10 ; doiu33 ; 153 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Колян ; 50 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Monata ; 50 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Gera_K ; 93 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 15 ; .gk ; 114 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Gera_K ; 102 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 91 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ratmen ; 89 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 21 ; maymuse ; 101 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 7 ; maymuse ; 91 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 21 ; von_Schwarz ; 250 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 10 ; я8844 ; 34 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ratmen ; 50 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 9 ; синий ; 57 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 9 ; гугл= ; 30 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Slava O ; 30 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Slava O ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Monata ; 50 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Стрепет ; 191 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Slava O ; 30 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 6 ; pref ; 30 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Slava O ; 30 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 8 ; гугл= ; 48 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Slava O ; 30 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dino Zavr ; 208 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Dino Zavr ; 187 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gera_K ; 101 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dino Zavr ; 181 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 15 ; гугл= ; 51 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dino Zavr ; 130 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dino Zavr ; 132 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dino Zavr ; 132 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Slava O ; 30 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ъхз ; 27 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ОВМ ; 33 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 333985 ; 24 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dino Zavr ; 130 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 15 ; doiu33 ; 184 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 17 ; 340 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Gera_K ; 60 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ОВМ ; 50 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Jiamer57rus ; 25 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 11 ; VOLKODAVS5 ; 42 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 12 ; VOLKODAVS5 ; 40 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Нум24 ; 31 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гугл= ; 24 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Нум24 ; 36 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Нум24 ; 41 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kv1v ; 50 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 12 ; любитель555 ; 57 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; nikfed ; 151 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Нум24 ; 51 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 16 ; torbey ; 102 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 22 ; torbey ; 157 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Aleech ; 50 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 16 ; grond ; 51 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 13 ; nikfed ; 151 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 9 ; max2008 ; 104 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 12nerv ; 30 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 28 ; bogdlena ; 79 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 20 ; doiu33 ; 153 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 28 ; НЭРИ ; 101 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 11 ; НЭРИ ; 261 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Monata ; 114 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Стрепет ; 162 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Стрепет ; 208 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Gera_K ; 113 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 20 ; я8844 ; 79 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Gera_K ; 203 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 28 ; _1111_ ; 101 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Monata ; 255 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 14 ; НЭРИ ; 340 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 7 ; НЭРИ ; 335 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 21 ; прохожий ; 567 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; НЭРИ ; 101 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 30 ; НЭРИ ; 114 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 5 ; НЭРИ ; 101 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 3 ; max2008 ; 203 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 14 ; НЭРИ ; 771 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 13 ; НЭРИ ; 340 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ZIMOGOR ; 227 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sonic ; 340 
 5350 ; 500 рублей ; 1992 ; билет ;  ; AU ; 23 ; victorsa ; 453 
 5351 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 14 ; смит ; 410 
 5352 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 15 ; victorsa ; 450 
 5353 ; 5 рублей ; 1997 ; банкнота ;  ; AU ; 19 ; torbey ; 410 
 5354 ; 1000 рублей ; 1993 ; банкнота ;  ; AU ; 43 ; torbey ; 833 
 5355 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; fordvr ; 357 
 5356 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 30 ; Vb[fksx ; 968 
 5357 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 20 ; svv ; 3629 
 5358 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 18 ; Zubrstroy ; 204 
 5359 ; 1 рубль. 3 шт ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 13 ; Gera_K ; 204 
 5360 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; Vb[fksx ; 365 
 5361 ; 3 рубля. 4 шт ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; сортам70 ; 57 
 5362 ; Лот бон 5 рублей. Коншин, Шипов ; 1909 ;  ;  ;  ; 15 ; alex241 ; 185 
 5363 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; GERo ; 185 
 5364 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; GERo ; 162 
 5365 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; mvv ; 259 
 5366 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 42 ; benc ; 3060 
 5367 ; 5 коп. золотом ; 1921 ; Билеты Приамурского Края ;  ;  ; 23 ; Sparks ; 9000 
 5368 ; 5 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 29 ; 17 ; 828 
 5369 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 19 ; luchsva ; 765 
 5370 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 19 ; ЛАВ-13 ; 714 
 5371 ; Лот бон 10 марок Финляндия 2шт ; 1909 ;  ;  ;  ; 27 ; Соколов ; 4978 
 5372 ; Лот платежных средств 500 и 1000 единиц ;  ;  ;  ;  ; 8 ; Bambr ; 204 
 5373 ; Акция на 500 франков. Грозный ; 1920 ;  ;  ;  ; 43 ; air ; 3060 
 5374 ; Акция в 100 франков. Ростовский трамвай ; 1886 ;  ;  ;  ; 90 ; Дуб ; 1485 
 5375 ; Облигация на 1000 марок. О-ва Юго-Восточных ж.д ; 1898 ;  ;  ;  ; 50 ; Дуб ; 2534 
 5376 ; Облигация на 500 марок. О-ва Рыбинской ж.д ; 1895 ;  ;  ;  ; 54 ; Дуб ; 2484 
 5377 ; Облигация на 1000 марок. О-ва Московско-Киево-Воронежской ж.д ; 1909 ;  ;  ;  ; 52 ; Дуб ; 2534 
 5378 ; Облигация на 500 марок. О-ва Рязанско-Уральской ж.д ; 1898 ;  ;  ;  ; 58 ; Дуб ; 2585 
 5379 ; Облигация на 1000 марок. О-ва Владикавказской ж.д ; 1897 ;  ;  ;  ; 50 ; air ; 2637 
