 5825 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 11 ; ZIMOGOR ; 93 
 5826 ; Бона иностранная. Германия ; 1918 ;  ;  ;  ; 6 ; ZIMOGOR ; 51 
 5827 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 8 ; ZIMOGOR ; 90 
 5828 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 10 ; smel ; 124 
 5829 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; Papanator62 ; 74 
 5830 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 22 ; serg07_67 ; 124 
 5831 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; smel ; 204 
 5832 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; smel ; 204 
 5833 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; smel ; 110 
 5834 ; Бона иностранная. Германия ; 1918 ;  ;  ;  ; 14 ; ZIMOGOR ; 94 
 5835 ; Бона иностранная. Литва ; 1993 ;  ;  ;  ; 12 ; vladzory ; 444 
 5836 ; Бона иностранная. 10 песос Куба ; 1960 ;  ;  ;  ; 15 ; max2008 ; 453 
 5837 ; Лот нотгельдов. Германия 10 шт ;  ;  ;  ;  ; 10 ; grond ; 337 
 5838 ; Лот нотгельдов. Германия 3 шт ;  ;  ;  ;  ; 23 ; smel ; 328 
 5839 ; Лот нотгельдов. Германия 5 шт ;  ;  ;  ;  ; 5 ; sos1 ; 128 
 5840 ; Лот нотгельдов. Германия 5 шт ;  ;  ;  ;  ; 9 ; sos1 ; 203 
 5841 ; Лот нотгельдов. Германия 3 шт ;  ;  ;  ;  ; 15 ; Майкл ; 143 
 5842 ; Лот нотгельдов. Германия 5 шт ;  ;  ;  ;  ; 18 ; grond ; 215 
 5843 ; Лот нотгельдов. Германия 3 шт ;  ;  ;  ;  ; 13 ; sos1 ; 194 
 5844 ; Лот нотгельдов. Германия 10 шт ;  ;  ;  ;  ; 15 ; sos1 ; 465 
 5845 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alik434 ; 62 
 5846 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alik434 ; 62 
 5847 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kozerog ; 35 
 5848 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kozerog ; 31 
 5849 ; Бона иностранная ;  ;  ;  ;  ; 5 ; igor39 ; 31 
 5850 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igor39 ; 36 
 5851 ; Бона иностранная ;  ;  ;  ;  ; 5 ; igor39 ; 26 
 5852 ; Лот бон Перу (10шт) ;  ;  ;  ;  ; 22 ; Drunja33 ; 195 
 5853 ; Лот бон  (5шт) ;  ;  ;  ;  ; 17 ; grond ; 255 
 5854 ; Лот бон Бразилии (4шт) ;  ;  ;  ;  ; 25 ; torbey ; 283 
 5855 ; Лот бон Бразилии (4шт) ;  ;  ;  ;  ; 23 ; umbrella ; 200 
 5856 ; Лот бон Бразилии (4шт) ;  ;  ;  ;  ; 15 ; Papanator62 ; 227 
 5857 ; Лот бон Бразилии (6шт) ;  ;  ;  ;  ; 53 ; torbey ; 714 
 5858 ; Лот бон Ирана (3шт) ;  ;  ;  ;  ; 12 ; пасечник ; 77 
