 5824 ; Ценная бумага Германия ;  ;  ;  ;  ; 14 ; tikhomirius ; 141 
 5825 ; Ценная бумага Германия ;  ;  ;  ;  ; 18 ; артега ; 132 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ratmen ; 101 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 101 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 15 ; bva150979 ; 144 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sahakala ; 101 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 159 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 10 ; sahakala ; 99 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 4758 ; 87 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 38 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 101 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 14 ; jj ; 104 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ZIMOGOR ; 101 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bva150979 ; 179 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 3 ; leff ; 100 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 26 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Vahid ; 101 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 19 ; leff ; 137 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 41 ; leff ; 251 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 36 ; leff ; 179 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 10 ; leff ; 55 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 19 ; leff ; 114 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 17 ; VOLKODAVS5 ; 75 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 31 ; leff ; 403 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 23 ; leff ; 254 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 26 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 24 ; НЭРИ ; 220 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 42 ; НЭРИ ; 246 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 26 ; НЭРИ ; 152 
 5801 ; Бона иностранная. Латвия ;  ;  ;  ;  ; 32 ; leff ; 509 
 5802 ; Бона иностранная. Парагвай ;  ;  ;  ;  ; 14 ; leff ; 340 
 5803 ; Бона иностранная. Кипр ;  ;  ;  ;  ; 15 ; leff ; 291 
 5804 ; Бона иностранная Тайланд ;  ;  ;  ;  ; 85 ; leff ; 918 
 5805 ; Бона иностранная 1 доллар США ; 1899 ;  ;  ;  ; 74 ; kalinich ; 4228 
 5806 ; Бона иностранная 1 доллар США ; 1935 ;  ;  ;  ; 43 ; kalinich ; 1195 
 5807 ; Бона иностранная 2 доллара США ; 1928 ;  ;  ;  ; 26 ; kalinich ; 1326 
 5808 ; Бона иностранная 5 долларов США ; 1928 ;  ;  ;  ; 33 ; kalinich ; 843 
 5809 ; Бона иностранная 10 долларов США ; 1934 ;  ;  ;  ; 17 ; kalinich ; 1157 
 5810 ; Бона иностранная США ;  ;  ;  ;  ; 39 ; kalinich ; 1530 
 5811 ; Бона иностранная США ;  ;  ;  ;  ; 37 ; kalinich ; 1192 
 5812 ; Бона иностранная США ;  ;  ;  ;  ; 24 ; leff ; 1381 
 5813 ; Бона иностранная США ;  ;  ;  ;  ; 21 ; kalinich ; 1246 
 5814 ; Бона иностранная США ;  ;  ;  ;  ; 92 ; kalinich ; 5213 
 5815 ; Лот нотгельдов 190 шт ;  ;  ;  ;  ; 58 ; leff ; 7617 
 5816 ; Лот нотгельдов 22 шт ;  ;  ;  ;  ; 42 ; Ромбор ; 903 
 5817 ; Лот нотгельдов 22 шт ;  ;  ;  ;  ; 24 ; Ромбор ; 900 
 5818 ; Лот нотгельдов 17 шт ;  ;  ;  ;  ; 30 ; Ромбор ; 714 
 5819 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; leff ; 300 
 5820 ; Бона иностранная Германия ;  ;  ;  ;  ; 47 ; bigben ; 344 
 5821 ; Бона иностранная Германия ;  ;  ;  ;  ; 30 ; leff ; 276 
 5822 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; leff ; 670 
 5823 ; Ценная бумага Германия ;  ;  ;  ;  ; 18 ; tikhomirius ; 148 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 7 ; leff ; 50 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sahakala ; 50 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 3 ; bva150979 ; 101 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sahakala ; 53 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Винни Пух ; 128 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Винни Пух ; 123 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ъхз ; 26 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 6 ; газета ; 28 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 13 ; leff ; 99 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 125 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 43 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ZIMOGOR ; 132 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 33 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Jiamer57rus ; 25 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ъхз ; 54 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Pipe ; 57 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ъхз ; 25 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ZIMOGOR ; 50 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 12 ; koppolo ; 30 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Jiamer57rus ; 25 
