 5814 ; Бона иностранная. Бельгия ; 1942 ;  ;  ;  ; 61 ; Первый Самураец ; 2550 
 5815 ; Бона иностранная. Франция ; 1942 ;  ;  ;  ; 100 ; Первый Самураец ; 1787 
 5816 ; Бона иностранная. Франция ; 1942 ;  ;  ;  ; 85 ; Kreator ; 1440 
 5817 ; Бона иностранная. Греция ; 1941 ;  ;  ;  ; 41 ; nikfed ; 900 
 5818 ; Бона иностранная. Греция ; 1939 ;  ;  ;  ; 25 ; Первый Самураец ; 1530 
 5819 ; Бона иностранная. Греция ; 1942 ;  ;  ;  ; 35 ; Northman ; 1134 
 5820 ; Бона иностранная. Греция ; 1944 ;  ;  ;  ; 26 ; Первый Самураец ; 2040 
 5821 ; Бона иностранная. Греция ; 1944 ;  ;  ;  ; 30 ; Первый Самураец ; 1275 
 5822 ; Бона иностранная. Греция ; 1944 ;  ;  ;  ; 27 ; Первый Самураец ; 1530 
 5823 ; Бона иностранная. Нидерланды ; 1943 ;  ;  ;  ; 35 ; Первый Самураец ; 1275 
 5824 ; Бона иностранная. Хорватия ; 1941 ;  ;  ;  ; 18 ; синий ; 930 
 5825 ; Бона иностранная. Хорватия ; 1942 ;  ;  ;  ; 13 ; синий ; 352 
 5826 ; Бона иностранная. Хорватия ; 1942 ;  ;  ;  ; 23 ; синий ; 466 
 5827 ; Бона иностранная. Хорватия ; 1942 ;  ;  ;  ; 16 ; Northman ; 567 
 5828 ; Бона иностранная. Хорватия ; 1943 ;  ;  ;  ; 16 ; Первый Самураец ; 2040 
 5829 ; Бона иностранная. Австрия ; 1918 ;  ;  ;  ; 25 ; Первый Самураец ; 1020 
 5830 ; Лот бон иностранных 20 шт. Германия ;  ;  ;  ;  ; 22 ; середа ; 357 
 5831 ; Лот бон иностранных 20 шт. Германия ;  ;  ;  ;  ; 24 ; середа ; 363 
 5832 ; Лот бон иностранных 10 шт. Германия ;  ;  ;  ;  ; 24 ; сс400 ; 306 
 5833 ; Лот бон иностранных 10 шт. Германия ;  ;  ;  ;  ; 33 ; VagusUltra ; 359 
 5834 ; Лот нотгельдов 23 шт ;  ;  ;  ;  ; 24 ; spasatel2012 ; 564 
 5835 ; Лот бон иностранных 11 шт ;  ;  ;  ;  ; 34 ; Инвестор ; 194 
 5836 ; Лот бон иностранных 10 шт ;  ;  ;  ;  ; 65 ; синий ; 363 
 5837 ; Бона иностранная. Гибралтар ; 1986 ;  ;  ;  ; 70 ; Первый Самураец ; 1275 
 5838 ; Бона иностранная. Венгрия ; 1946 ;  ;  ;  ; 54 ; Первый Самураец ; 714 
 5839 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 27 ; Первый Самураец ; 204 
 5840 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; maymuse ; 96 
 5841 ; Бона иностранная Германия ;  ;  ;  ;  ; 35 ; air ; 286 
 5842 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 39 ; Майкл ; 412 
 5843 ; Бумага ценная Германия ;  ;  ;  ;   ; 27 ; VagusUltra ; 145 
 5844 ; Бумага ценная Германия ;  ;  ;  ;  ; 18 ; VagusUltra ; 100 
 5845 ; Бумага ценная Германия ;  ;  ;  ;  ; 24 ; VagusUltra ; 126 
 5846 ; Альбом с коллекцией нотгельдов. Германия (204шт) ;  ;  ;  ;  ; 29 ; INRI ; 5536 
 5847 ; Альбом с коллекцией нотгельдов. Германия (321шт) ;  ;  ;  ;  ; 81 ; Первый Самураец ; 9780 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ОВМ ; 291 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Slava O ; 64 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Slava O ; 66 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Slava O ; 51 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Slava O ; 51 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Slava O ; 51 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 51 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 51 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 51 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 51 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 51 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 51 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Slava O ; 51 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Slava O ; 51 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 51 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 13 ; tpkkarat ; 38 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 29 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 29 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 29 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 16 ; сс400 ; 37 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 11 ; трутень ; 111 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 14 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Нум24 ; 20 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 18 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Первый Самураец ; 1530 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Первый Самураец ; 204 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 16 ; НЭРИ ; 57 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max2008 ; 333 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Первый Самураец ; 306 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 9 ; середа ; 62 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Slava O ; 30 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vangog3 ; 50 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 46 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Slava O ; 30 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 5 ; середа ; 30 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Первый Самураец ; 204 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Monata ; 40 
 5801 ; Бона иностранная. США ; 1874 ;  ;  ;  ; 35 ; Первый Самураец ; 2039 
 5802 ; Бона иностранная. США ;  ;  ;  ;  ; 25 ; Первый Самураец ; 2039 
 5803 ; Бона иностранная. США ;  ;  ;  ;  ; 18 ; Первый Самураец ; 1646 
 5804 ; Бона иностранная. США ;  ;  ;  ;  ; 31 ; Первый Самураец ; 2039 
 5805 ; Бона иностранная. США ;  ;  ;  ;  ; 20 ; Первый Самураец ; 2020 
 5806 ; Бона иностранная. США ;  ;  ;  ;  ; 33 ; Первый Самураец ; 1646 
 5807 ; Бона иностранная. США ;  ;  ;  ;  ; 52 ; Первый Самураец ; 4590 
 5808 ; Бона иностранная. США ; 1935 ;  ;  ;  ; 34 ; ZOLTAN333 ; 206 
 5809 ; Бона иностранная. США ; 1928 ;  ;  ;  ; 27 ; Pipe ; 367 
 5810 ; Бона иностранная. США ; 1934 ;  ;  ;  ; 33 ; sdfg ; 855 
