 5850 ; Бона иностранная. Швеция ; 1990 ;  ;  ;  ; 57 ; я8844 ; 297 
 5851 ; Бона иностранная. Финляндия ; 1980 ;  ;  ;  ; 41 ; Хаа ; 285 
 5852 ; Бона иностранная ;  ;  ;  ;  ; 37 ; v-majorov ; 120 
 5853 ; Бона иностранная 25 лат. Латвия ; 1928 ;  ;  ;  ; 47 ; vasek ; 1530 
 5854 ; Лот бон Бразилии (4шт) ;  ;  ;  ;  ; 47 ; VOLKODAVS5 ; 134 
 5855 ; Лот нотгельдов 15 шт ;  ;  ;  ;  ; 13 ; shurik2 ; 123 
 5856 ; Лот нотгельдов 15 шт ;  ;  ;  ;  ; 13 ; shurik2 ; 131 
 5857 ; Бона иностранная ;  ;  ;  ;  ; 58 ; трутень ; 111 
 5858 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 11 ; sos1 ; 363 
 5859 ; Лот нотгельдов 3 шт ;  ;  ;  ;  ; 17 ; shurik2 ; 97 
 5860 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 23 ; shurik2 ; 108 
 5861 ; Лот нотгельдов 6 шт ;  ;  ;  ;  ; 16 ; spasatel2012 ; 255 
 5862 ; Лот нотгельдов 6 шт ;  ;  ;  ;  ; 17 ; sos1 ; 271 
 5863 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 19 ; shurik2 ; 163 
 5864 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 29 ; shurik2 ; 159 
 5865 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 11 ; sos1 ; 266 
 5866 ; Альбом нотгельдов 240 шт. ;  ;  ;  ;  ; 60 ; electra ; 5565 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 46 ; кузяка ; 108 
 5801 ; Бона иностранная. Хорватия ; 1943 ;  ;  ;  ; 29 ; ъхз ; 570 
 5802 ; Бона иностранная. Греция ; 1943 ;  ;  ;  ; 21 ; torbey ; 261 
 5803 ; Бона иностранная. Греция ; 1944 ;  ;  ;  ; 20 ; torbey ; 1211 
 5804 ; Бона иностранная. Греция ; 1944 ;  ;  ;  ; 24 ; torbey ; 207 
 5805 ; Бона иностранная. Греция ; 1941 ;  ;  ;  ; 31 ; nikfed ; 420 
 5806 ; Бона иностранная. Греция ; 1941 ;  ;  ;  ; 39 ; nikfed ; 237 
 5807 ; Бона иностранная. Соппот ; 1923 ;  ;  ;  ; 28 ; zzzzzz ; 337 
 5808 ; Бона иностранная. Германия ; 1910 ;  ;  ;  ; 15 ; grond ; 102 
 5809 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 19 ; СТРЕКОЗА ; 60 
 5810 ; Бона иностранная. Германия 10 шт ; 1919 ;  ;  ;  ; 7 ; mart_si ; 102 
 5811 ; Бона иностранная. Австрия ; 1918 ;  ;  ;  ; 17 ; VOLKODAVS5 ; 112 
 5812 ; Бона иностранная. Финляндия ; 1957 ;  ;  ;  ; 26 ; кузяка ; 273 
 5813 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 31 ; VOLKODAVS5 ; 83 
 5814 ; Лот бон иностранных 15 шт ;  ;  ;  ;  ; 24 ; 4758 ; 357 
 5815 ; Бона иностранная. США ; 1923 ;  ;  ;  ; 65 ; Logistik ; 1500 
 5816 ; Лот бон иностранных 20 шт ;  ;  ;  ;  ; 75 ; 4758 ; 408 
 5817 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 50 ; torbey ; 2040 
 5818 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 69 ; ъхз ; 1654 
 5819 ; Лот бон иностранных 8 шт ;  ;  ;  ;  ; 73 ; парам ; 2042 
 5820 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 46 ; ъхз ; 975 
 5821 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 12 ; aleks51 ; 57 
