 5921 ; Ценная бумага Германия ;  ;  ;  ;  ; 27 ; shurik2 ; 107 
 5922 ; Бумага ценная Германия ;  ;  ;  ;  ; 22 ; Waka.ink ; 100 
 5923 ; Бумага ценная Германия ;  ;  ;  ;  ; 25 ; shurik2 ; 95 
 5924 ; Бумага ценная Германия ;  ;  ;  ;  ; 12 ; tdmnogopiwa ; 89 
 5925 ; Бона иностранная ;  ;  ;  ;  ; 14 ; val211 ; 43 
 5926 ; Лот бон Каста Рика, Суринам, Ямайка, Сомали (4шт) ;  ;  ;  ;  ; 41 ; гусеничка ; 273 
 5927 ; Лот бон 3 шт. 1,3,5 рублей ; 1961 ;  ;  ;  ; 19 ; Andrew1978 ; 44 
 5928 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Hamlet ; 49 
 5929 ; Бона иностранная ;  ;  ;  ;  ; 18 ; гусеничка ; 72 
 5930 ; Бона иностранная ;  ;  ;  ;  ; 13 ; val211 ; 37 
 5931 ; Бона иностранная ;  ;  ;  ;  ; 24 ; val211 ; 46 
 5932 ; 5 рублей ; 1991 ; билет ;  ; AU ; 22 ; JanPol ; 102 
 5933 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 32 ; zzzzzz ; 105 
 5934 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 12 ; happy ; 102 
 5935 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 14 ; natalka0909 ; 110 
 5936 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 19 
 5937 ; Бона иностранная ;  ;  ;  ;  ; 7 ; val211 ; 24 
 5938 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alex995 ; 17 
 5939 ; Бона иностранная ;  ;  ;  ;  ; 18 ; gremlyn ; 18 
 5940 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 11 ; aleantf ; 114 
 5941 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 34 ; vano2016 ; 306 
 5942 ; 100 рублей ; 1993 ; банкнота ;  ; AU ; 11 ; Fliege1 ; 101 
 5943 ; 5 рублей ; 1909 ; Денежные знаки ;  ; AU ; 15 ; Fliege1 ; 100 
 5944 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Favarit ; 22 
 5945 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Favarit ; 22 
 5946 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 36 ; локатор ; 453 
 5947 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 24 
 5948 ; Бона иностранная ;  ;  ;  ;  ; 6 ; bva150979 ; 7 
 5871 ; Лот нотгельдов 7 шт ;  ;  ;  ;  ; 22 ; smaci ; 234 
 5872 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 17 ; shurik2 ; 161 
 5873 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 9 ; 666425 ; 215 
 5874 ; Лот нотгельдов 5 шт ;  ;  ;  ;  ; 18 ; smel ; 206 
 5875 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 13 ; shurik2 ; 153 
 5876 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 19 ; smaci ; 143 
 5877 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 7 ; shurik2 ; 92 
 5878 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 11 ; smaci ; 179 
 5879 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 10 ; Vitaly26 ; 101 
 5880 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 8 ; luda ; 92 
 5881 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 9 ; shurik2 ; 104 
 5882 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 13 ; sos1 ; 148 
 5883 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 15 ; Скрудж ; 225 
 5884 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 7 ; shurik2 ; 215 
 5885 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 9 ; shurik2 ; 222 
 5886 ; Бона иностранная ;  ;  ;  ;  ; 35 ; я8844 ; 142 
 5887 ; Бона иностранная ;  ;  ;  ;  ; 16 ; я8844 ; 170 
 5888 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 20 ; гусеничка ; 83 
 5889 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Vb[fksx ; 153 
 5890 ; Бона иностранная ;  ;  ;  ;  ; 27 ; grond ; 101 
 5891 ; Бона иностранная ;  ;  ;  ;  ; 44 ; я8844 ; 104 
 5892 ; Бона иностранная ;  ;  ;  ;  ; 57 ; я8844 ; 207 
 5893 ; Бона иностранная ;  ;  ;  ;  ; 47 ; demodex ; 124 
 5894 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Waka.ink ; 67 
 5895 ; Бона иностранная ;  ;  ;  ;  ; 7 ; mart_si ; 26 
 5896 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 15 ; mart_si ; 123 
 5897 ; Лот бон иностранных 10 шт ;  ;  ;  ;  ; 60 ; я8844 ; 327 
 5898 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 9 ; 666425 ; 68 
 5899 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 19 ; bva150979 ; 74 
 5900 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 18 ; Vitaly26 ; 82 
 5901 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 14 ; demodex ; 107 
 5902 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 9 ; Monata ; 92 
 5903 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 25 ; val211 ; 153 
 5904 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 26 ; Favarit ; 73 
 5905 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 36 ; val211 ; 94 
 5906 ; Бона иностранная ;  ;  ;  ;  ; 25 ; boroda ; 1255 
 5907 ; Бона иностранная ;  ;  ;  ;  ; 28 ; val211 ; 68 
 5908 ; Бона иностранная ;  ;  ;  ;  ; 33 ; doiu33 ; 101 
 5909 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mart_si ; 36 
 5910 ; Бона иностранная ;  ;  ;  ;  ; 11 ; dima1-9-8-5 ; 74 
 5911 ; Бона иностранная ;  ;  ;  ;  ; 54 ; SANGOLD1 ; 142 
 5912 ; Бона иностранная ;  ;  ;  ;  ; 25 ; bva150979 ; 120 
 5913 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Monata ; 79 
 5914 ; Бона иностранная ;  ;  ;  ;  ; 44 ; ottO ; 340 
 5915 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Hozdvor ; 199 
 5916 ; Бона иностранная ;  ;  ;  ;  ; 25 ; bva150979 ; 215 
 5917 ; Бона иностранная ;  ;  ;  ;  ; 19 ; grond ; 57 
 5918 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Monata ; 61 
 5919 ; Ценная бумага Германия ;  ;  ;  ;  ; 17 ; shurik2 ; 89 
 5920 ; Ценная бумага Германия ;  ;  ;  ;  ; 13 ; shurik2 ; 104 
 5821 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 8 ; 250882 ; 92 
 5822 ; Бона иностранная ;  ;  ;  ;  ; 25 ; demodex ; 272 
 5823 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 2128508 ; 104 
 5824 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 17 ; Опятор ; 78 
 5825 ; Бона иностранная ;  ;  ;  ;  ; 29 ; гусеничка ; 68 
 5826 ; Бона иностранная ;  ;  ;  ;  ; 23 ; igor65 ; 68 
 5827 ; Бона иностранная ;  ;  ;  ;  ; 20 ; demodex ; 114 
 5828 ; Бона иностранная ;  ;  ;  ;  ; 20 ; igor65 ; 135 
 5829 ; Бона иностранная ;  ;  ;  ;  ; 21 ; BorVik ; 168 
 5830 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Monata ; 102 
 5831 ; Бона иностранная ;  ;  ;  ;  ; 9 ; rbmamba ; 57 
 5832 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 11 ; Monata ; 79 
