 5840 ; Акция. США ; 1975 ;  ;  ;  ; 18 ; инкогнито ; 408 
 5841 ; Акция. США ; 1966 ;  ;  ;  ; 17 ; Vitaly26 ; 306 
 5842 ; Акция. США ; 1973 ;  ;  ;  ; 21 ; Vitaly26 ; 306 
 5843 ; 5 пенни ; 1919 ; Эстония ;  ; AU ; 5 ; bva150979 ; 340 
 5844 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 35 
 5845 ; 2 доллара США ; 2003 ;  ;  ; AU ; 14 ; ремпутьмаш ; 113 
 5846 ; 2 доллара США ; 2003 ;  ;  ; AU ; 14 ; ремпутьмаш ; 114 
 5847 ; 2 доллара США ; 2003 ;  ;  ; AU ; 12 ; ремпутьмаш ; 120 
 5848 ; 2 доллара США ; 2003 ;  ;  ; AU ; 20 ; ремпутьмаш ; 114 
 5849 ; Лот из 3 денежных знаков: 3, 10, 25 рублей ;  ;  ;  ;  ; 49 ; kn157736 ; 1006 
 5850 ; 2 доллара США ; 2003 ;  ;  ; AU ; 33 ; Kub ; 143 
 5851 ; 2 доллара США ; 2003 ;  ;  ; AU ; 9 ; demodex ; 104 
 5852 ; 2 доллара США ; 2003 ;  ;  ; AU ; 13 ; sergei-ssn ; 113 
 5853 ; 2 доллара США ; 2003 ;  ;  ; AU ; 11 ; Jan Grandier ; 114 
 5854 ; 2 доллара США ; 2003 ;  ;  ; AU ; 29 ; Конрад ; 126 
 5855 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 9 ; Maksss163 ; 34 
 5856 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 101 
 5857 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Папа с рацией ; 41 
 5858 ; Бона иностранная ;  ;  ;  ;  ; 25 ; прохожий ; 104 
 5859 ; Бона иностранная ;  ;  ;  ;  ; 11 ; val211 ; 36 
 5860 ; Бона иностранная ;  ;  ;  ;  ; 17 ; прохожий ; 43 
 5861 ; Бона иностранная ;  ;  ;  ;  ; 15 ; pref ; 53 
 5862 ; Бона иностранная ;  ;  ;  ;  ; 17 ; прохожий ; 43 
 5863 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Maksss163 ; 34 
 5864 ; Бона иностранная. Германия. 20 000 марок ; 1923 ;  ;  ;  ; 24 ; Schwer ; 185 
 5865 ; Лот нотгельдов Германии: 32шт ;  ;  ;  ;  ; 47 ; seimens ; 1317 
 5866 ; Бона иностранная ;  ;  ;  ;  ; 19 ; инкогнито ; 123 
 5867 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Maksss163 ; 26 
 5868 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Maksss163 ; 32 
 5869 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Папа с рацией ; 50 
 5870 ; Бона иностранная ;  ;  ;  ;  ; 14 ; val211 ; 35 
 5871 ; Бона иностранная ;  ;  ;  ;  ; 36 ; demodex ; 184 
 5872 ; Нотгельд. Германия ;  ;  ;  ;  ; 21 ; zuza ; 129 
 5873 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Папа с рацией ; 83 
 5874 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Maksss163 ; 32 
 5875 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maksss163 ; 24 
 5876 ; Бона иностранная ;  ;  ;  ;  ; 7 ; .gk ; 35 
 5877 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Папа с рацией ; 41 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 7 ; pref ; 35 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 7 ; g-s-m-78 ; 35 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Vitaly26 ; 61 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Kub ; 102 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 42 ; ssuss ; 81 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 25 ; газета ; 97 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Maksss163 ; 30 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 52 ; jj ; 101 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 15 ; demodex ; 101 
 5801 ; Бона иностранная 5 крон Эстония ; 1929 ;  ;  ;  ; 30 ; nikfed ; 929 
 5802 ; Бона иностранная 25 крон Эстония ; 1991 ;  ;  ;  ; 15 ; bva150979 ; 106 
 5803 ; Бона иностранная 25 крон Эстония ; 2002 ;  ;  ;  ; 55 ; nikfed ; 265 
 5804 ; Бона иностранная 50 крон Эстония ; 1994 ;  ;  ;  ; 19 ; D-503 ; 398 
 5805 ; Бона иностранная Испания 1 песета ; 1953 ;  ;  ;  ; 31 ; g-s-m-78 ; 99 
 5806 ; Бона иностранная Испания 5 песет ; 1951 ;  ;  ;  ; 27 ; smel ; 201 
 5807 ; Бона иностранная Испания 25 песет ; 1928 ;  ;  ;  ; 7 ; mart_si ; 79 
 5808 ; Бона иностранная Испания 50 песет ; 1928 ;  ;  ;  ; 8 ; mart_si ; 79 
 5809 ; Бона иностранная Испания 100 песет ; 1925 ;  ;  ;  ; 23 ; цеховик ; 125 
 5810 ; Бона иностранная. Никарагуа, в слабе PCGS ;  ;  ;  ;  ; 24 ; Vitaly26 ; 126 
 5811 ; Бона иностранная ;  ;  ;  ;  ; 24 ; нумизмат ; 385 
 5812 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 10 ; наташа2712 ; 101 
