 5865 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 63 ; mart_si ; 223 
 5866 ; Бона иностранная. Албания ;  ;  ;  ; AU ; 38 ; Sky2 ; 107 
 5867 ; Бона иностранная. Албания ;  ;  ;  ; AU ; 21 ; спарта ; 174 
 5868 ; Бона иностранная. Албания ;  ;  ;  ; AU ; 26 ; спарта ; 174 
 5869 ; Бона иностранная. Албания ;  ;  ;  ; AU ; 24 ; -IROKEZ- ; 45 
 5870 ; Бона иностранная. Польша ;  ;  ;  ; AU ; 9 ; komod ; 36 
 5871 ; Бона иностранная. Польша ;  ;  ;  ; AU ; 13 ; Кoчeвниk ; 36 
 5872 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; Heaven ; 110 
 5873 ; Бона иностранная. Тайланд ;  ;  ;  ;  ; 13 ; ММД ; 153 
 5874 ; Бона иностранная. Германия ;  ;  ;  ;  ; 6 ; 2128508 ; 101 
 5875 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; 2128508 ; 100 
 5876 ; Лот бон Украина 2 шт ;  ;  ;  ;  ; 29 ; -IROKEZ- ; 130 
 5877 ; Сертификат на 100 долларов. Pan American world airways inc. ; 1971 ;  ;  ;  ; 38 ; ZIMOGOR ; 44 
 5878 ; Доля участника в 1000 франков. Общество Chemproha-Belgie ; 1944 ;  ;  ;  ; 7 ; цеховик ; 67 
 5879 ; Доля участника. Общество электрических предприятий Брюсселя ; 1944 ;  ;  ;  ; 4 ; Livon ; 26 
 5880 ; Акция. Общество Maxwell Music ; 1978 ;  ;  ;  ; 6 ; luda ; 21 
 5881 ; Акция США ; 1980 ;  ;  ;  ; 6 ; kirkar ; 43 
 5882 ; Акция США ; 1970 ;  ;  ;  ; 6 ; Ксения ; 26 
 5883 ; Акция США ; 1969 ;  ;  ;  ; 12 ; Ксения ; 40 
 5884 ; Акция США ; 1970 ;  ;  ;  ; 6 ; Ксения ; 22 
 5885 ; Акция США ;  ;  ;  ;  ; 4 ; Вадим Старый ; 11 
 5886 ; Акция США ; 1966 ;  ;  ;  ; 14 ; ZIMOGOR ; 42 
 5887 ; Акции США: 5шт ;  ;  ;  ;  ; 79 ; Ксения ; 128 
 5888 ; Акции США: 5шт ;  ;  ;  ;  ; 60 ; Ксения ; 125 
 5889 ; Акции США: 5шт ;  ;  ;  ;  ; 61 ; Четырехлистник ; 153 
 5890 ; Акции США: 5шт ;  ;  ;  ;  ; 11 ; Ксения ; 125 
 5891 ; Акции США: 5шт ;  ;  ;  ;  ; 38 ; Папа с рацией ; 153 
 5892 ; Акции США: 5шт ;  ;  ;  ;  ; 17 ; Ксения ; 125 
 5893 ; Акции США: 5шт ;  ;  ;  ;  ; 31 ; Папа с рацией ; 176 
 5894 ; Акции США: 5шт ;  ;  ;  ;  ; 3 ; kirkar ; 51 
 5895 ; Акции США: 5шт ;  ;  ;  ;  ; 55 ; Livon ; 153 
 5896 ; Акции США: 5шт ;  ;  ;  ;  ; 90 ; kirkar ; 442 
 5897 ; Акции США: 5шт ;  ;  ;  ;  ; 69 ; Папа с рацией ; 153 
 5815 ; Лот бон 3 шт. Хорватия ;  ;  ;  ; AU ; 27 ; gdrg2 ; 63 
 5816 ; Бона иностранная. Македония ;  ;  ;  ; AU ; 23 ; -IROKEZ- ; 57 
 5817 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 27 ; gdrg2 ; 107 
 5818 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 8 ; нв1975 ; 105 
 5819 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 23 ; AID57 ; 179 
 5820 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 12 ; Вадим Старый ; 34 
 5821 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 7 ; Вадим Старый ; 34 
 5822 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 13 ; Вадим Старый ; 51 
 5823 ; Бона британских вооруженных сил ;  ;  ;  ; AU ; 34 ; нв1975 ; 224 
 5824 ; Лот бон 2 шт. Словения ;  ;  ;  ; AU ; 21 ; -IROKEZ- ; 100 
 5825 ; Лот бон 4 шт. Индонезия ;  ;  ;  ; AU ; 18 ; скорпион_48 ; 51 
 5826 ; Бона иностранная. Индонезия ;  ;  ;  ; AU ; 32 ; спарта ; 192 
 5827 ; Лот бон иностранных 4 шт ;  ;  ;  ; AU ; 22 ; Hamlet ; 73 
 5828 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 19 ; nikfed ; 85 
 5829 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 19 ; Cosmos ; 58 
