 5920 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 39 ; кварта ; 215 
 5921 ; Бона иностранная. Иран ;  ;  ;  ;  ; 17 ; Папа с рацией ; 101 
 5922 ; Бона иностранная. Иран ;  ;  ;  ;  ; 37 ; Папа с рацией ; 160 
 5923 ; Бона иностранная. Иран ;  ;  ;  ;  ; 36 ; кварта ; 177 
 5924 ; Бона иностранная. Иран ;  ;  ;  ;  ; 15 ; Папа с рацией ; 101 
 5925 ; Бона иностранная. Ливан ;  ;  ;  ;  ; 31 ; Серж PirGS ; 55 
 5926 ; Бона иностранная. Ливан ;  ;  ;  ;  ; 5 ; Серж PirGS ; 31 
 5927 ; Бона иностранная. Бахрейн ;  ;  ;  ;  ; 21 ; Опятор ; 136 
 5928 ; Бона иностранная. Парагвай ;  ;  ;  ;  ; 15 ; mart_si ; 68 
 5929 ; Бона иностранная. Сальвадор ; 1982 ;  ;  ;  ; 28 ; derk02 ; 510 
 5930 ; Бона иностранная. Сальвадор ; 1983 ;  ;  ;  ; 11 ; derk02 ; 453 
 5931 ; Бона иностранная. Эквадор ; 1977 ;  ;  ;  ; 18 ; Папа с рацией ; 114 
 5932 ; Бона иностранная. Венесуела ; 1981 ;  ;  ;  ; 31 ; derk02 ; 171 
 5933 ; Бона иностранная. Венесуела ; 1984 ;  ;  ;  ; 20 ; 6719 ; 57 
 5934 ; Бона иностранная. Венесуела ; 1986 ;  ;  ;  ; 19 ; прохожий ; 107 
 5935 ; Бона иностранная. Венесуела ; 1990 ;  ;  ;  ; 35 ; derk02 ; 171 
 5936 ; Бона иностранная. Венесуела ; 1989 ;  ;  ;  ; 10 ; филипок ; 36 
 5937 ; Бона иностранная. Мексика ; 1973 ;  ;  ;  ; 20 ; Папа с рацией ; 55 
 5938 ; Бона иностранная. Барбадос ;  ;  ;  ;  ; 31 ; derk02 ; 204 
 5939 ; Бона иностранная. Колумбия ; 1991 ;  ;  ;  ; 33 ; Hamlet ; 53 
 5940 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 14 ; derk02 ; 227 
 5941 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 15 ; derk02 ; 125 
 5942 ; Лот бон иностранных. Бразилия 3 шт ;  ;  ;  ;  ; 16 ; DmitriPartei ; 53 
 5943 ; Лот бон иностранных. Белиз 2 шт ;  ;  ;  ;  ; 48 ; derk02 ; 412 
 5944 ; Лот бон иностранных. Пакистан 3 шт ;  ;  ;  ;  ; 23 ; smel ; 252 
 5945 ; Облигация. Япония ;  ;  ;  ;  ; 21 ; kont ; 663 
 5946 ; Облигация. Япония ;  ;  ;  ;  ; 10 ; Вадим Старый ; 161 
 5947 ; Облигация. Япония ;  ;  ;  ;  ; 5 ; Вадим Старый ; 161 
 5948 ; Бумага ценная Германия ;  ;  ;  ;  ; 13 ; Пётр I ; 82 
 5949 ; Бумага ценная Германия ;  ;  ;  ;  ; 14 ; Пётр I ; 82 
 5950 ; Бумага ценная Германия ;  ;  ;  ;  ; 15 ; Пётр I ; 82 
 5951 ; Бона иностранная ;  ;  ;  ;  ; 21 ; flutter ; 161 
 5952 ; Бона иностранная ;  ;  ;  ;  ; 18 ; dinkini ; 153 
 5953 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ngwee ; 116 
 5954 ; Бона иностранная ;  ;  ;  ;  ; 31 ; alkona ; 226 
 5955 ; Бона иностранная ;  ;  ;  ;  ; 48 ; 6719 ; 204 
 5956 ; Бона иностранная ;  ;  ;  ;  ; 21 ; petpet ; 73 
 5957 ; Бона иностранная ;  ;  ;  ;  ; 10 ; flutter ; 79 
 5958 ; Бона иностранная ;  ;  ;  ;  ; 15 ; flutter ; 51 
 5959 ; Бона иностранная ;  ;  ;  ;  ; 39 ; and1972 ; 67 
 5960 ; Бона иностранная ;  ;  ;  ;  ; 18 ; and1972 ; 53 
 5870 ; Бона иностранная. Исландия ; 2001 ;  ;  ;  ; 71 ; dsp ; 449 
 5871 ; Бона иностранная. Гонг-Конг ; 1978 ;  ;  ;  ; 23 ; archy ; 301 
 5872 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 21 ; petpet ; 59 
 5873 ; Бона иностранная. Боливия ; 2009 ;  ;  ;  ; 17 ; uz ; 480 
 5874 ; Бона иностранная. Израиль ;  ;  ;  ;  ; 19 ; archy ; 115 
 5875 ; Бона иностранная. Израиль ; 1983 ;  ;  ;  ; 35 ; nikfed ; 238 
 5876 ; Бона иностранная. Израиль ; 1973 ;  ;  ;  ; 22 ; 6719 ; 57 
 5877 ; Лот бон 4 шт. Ангола ;  ;  ;  ;  ; 62 ; vicktor_2014 ; 646 
 5878 ; Бона иностранная. Литва ; 1993 ;  ;  ;  ; 53 ; 6719 ; 101 
 5879 ; Бона иностранная. Эквадор ; 1988 ;  ;  ;  ; 28 ; bva150979 ; 155 
 5880 ; Бона иностранная. Гонг-Конг ; 1999 ;  ;  ;  ; 20 ; dsp ; 308 
 5881 ; Бона иностранная. Польша, в упаковке ; 2014 ;  ;  ;  ; 16 ; cotangens ; 816 
 5882 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 19 ; полк ; 57 
