 5906 ; Нотгельд ;  ;  ;  ;  ; 17 ; VitorioVeneto ; 108 
 5907 ; Лот нотгельдов Германия 3 шт ;  ;  ;  ;  ; 20 ; VitorioVeneto ; 181 
 5908 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 13 ; VitorioVeneto ; 216 
 5909 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 13 ; VitorioVeneto ; 217 
 5910 ; Лот нотгельдов Германия 7 шт ;  ;  ;  ;  ; 16 ; sergey35 ; 223 
 5911 ; Лот нотгельдов Германия 15 шт ;  ;  ;  ;  ; 15 ; kop ; 467 
 5912 ; Лот нотгельдов Германия 15 шт ;  ;  ;  ;  ; 11 ; sergey35 ; 465 
 5913 ; Лот нотгельдов Германия 15 шт ;  ;  ;  ;  ; 13 ; sergey35 ; 453 
 5914 ; Лот нотгельдов Германия 15 шт ;  ;  ;  ;  ; 12 ; smel ; 459 
 5915 ; Лот нотгельдов Германия 13 шт ;  ;  ;  ;  ; 13 ; sergey35 ; 408 
 5916 ; Лот нотгельдов Германия 4 шт ;  ;  ;  ;  ; 22 ; sneg ; 141 
 5917 ; Лот нотгельдов Германия 8 шт ;  ;  ;  ;  ; 7 ; sergey35 ; 245 
 5918 ; Лот нотгельдов Германия 13 шт ;  ;  ;  ;  ; 10 ; smel ; 406 
 5919 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 46 ; sneg ; 155 
 5920 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 22 ; p1a1v1 ; 79 
 5921 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 12 ; цеховик ; 45 
 5922 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 29 ; p1a1v1 ; 210 
 5923 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 14 ; p1a1v1 ; 44 
 5924 ; Лот  бон иностранных Болгария 10 шт. ;  ;  ;  ; AU ; 20 ; WRC ; 324 
 5925 ; Лот  бон иностранных Болгария 10 шт. ;  ;  ;  ; AU ; 14 ; WRC ; 334 
 5926 ; Лот  бон иностранных Колумбия 5 шт. ;  ;  ;  ; AU ; 25 ; WRC ; 236 
 5927 ; Лот  бон иностранных Бразилия 5 шт. ;  ;  ;  ; AU ; 32 ; СТРЕКОЗА ; 132 
 5928 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 14 ; avilych ; 45 
 5929 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; Rober ; 47 
 5930 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 8 ; K.V.N. ; 61 
 5931 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 28 ; K.V.N. ; 87 
 5932 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; Jet ; 40 
 5933 ; Бона иностранная Египет ;  ;  ;  ; AU ; 15 ; dr. ; 21 
 5934 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 14 ; dr. ; 24 
 5935 ; Бона иностранная Китай ;  ;  ;  ; AU ; 11 ; WRC ; 16 
 5936 ; Лот  бон иностранных Литва 6 шт. ;  ;  ;  ; AU ; 26 ; mart_si ; 87 
 5937 ; Лот  бон иностранных Хорватия 10 шт. ;  ;  ;  ; AU ; 15 ; Emv ; 55 
 5938 ; Лот бон (11шт) ;  ;  ;  ;  ; 34 ; mart_si ; 356 
 5939 ; Лот бон (14шт) ;  ;  ;  ;  ; 24 ; randystorm ; 512 
 5940 ; 10 фунтов. Великобритания ; 1910 ;  ;  ;  ; 25 ; D-503 ; 882 
