 6048 ; Бона иностранная ;  ;  ;  ;  ; 57 ; qver ; 512 
 6049 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Northman ; 394 
 6050 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 466 
 6051 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 155 
 6052 ; Бона иностранная ;  ;  ;  ;  ; 19 ; стадник ; 94 
 6053 ; Бона иностранная ;  ;  ;  ;  ; 44 ; Hamlet ; 104 
 6054 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Папа с рацией ; 107 
 6055 ; Бона иностранная ;  ;  ;  ;  ; 49 ; flutter ; 217 
 6056 ; Бона иностранная ;  ;  ;  ;  ; 87 ; Schwer ; 234 
 6057 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Schwer ; 123 
 5998 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 5 ; heavy_fly ; 27 
 5999 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 12 ; flutter ; 34 
 6000 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 12 ; heavy_fly ; 33 
 6001 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; collector64 ; 36 
 6002 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 24 ; flutter ; 45 
 6003 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 6 ; collector64 ; 26 
 6004 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 20 ; heavy_fly ; 55 
 6005 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 16 ; sibirian ; 53 
 6006 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; zamectitel ; 79 
 6007 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 11 ; 6719 ; 34 
 6008 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; 6719 ; 40 
 6009 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 14 ; СТРЕКОЗА ; 36 
 6010 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 22 ; 6719 ; 44 
 6011 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; heavy_fly ; 34 
 6012 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 19 ; heavy_fly ; 50 
 6013 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 19 ; heavy_fly ; 104 
 6014 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 20 ; heavy_fly ; 63 
 6015 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 16 ; 6719 ; 55 
 6016 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 12 ; стадник ; 123 
 6017 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 12 ; sibirian ; 45 
 6018 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 17 ; Drunja33 ; 48 
 6019 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 25 ; sneg ; 71 
 6020 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 14 ; 6719 ; 41 
 6021 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 11 ; heavy_fly ; 36 
 6022 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 11 ; тикси3 ; 31 
 6023 ; Лот бон Югославии 2 шт. ;  ;  ;  ; AU ; 15 ; dnm ; 67 
 6024 ; Бона иностранная Перу ;  ;  ;  ; AU ; 16 ; heavy_fly ; 42 
 6025 ; Бона иностранная Перу ;  ;  ;  ; AU ; 14 ; heavy_fly ; 36 
 6026 ; Бона иностранная Перу ;  ;  ;  ; AU ; 16 ; heavy_fly ; 40 
 6027 ; Бона иностранная Перу ;  ;  ;  ; AU ; 17 ; 6719 ; 61 
 6028 ; Бона иностранная Перу ;  ;  ;  ; AU ; 24 ; sibirian ; 237 
 6029 ; Бона иностранная Перу ;  ;  ;  ; AU ; 21 ; sibirian ; 115 
 6030 ; Бона иностранная Китай ;  ;  ;  ; AU ; 23 ; 462 ; 155 
 6031 ; Бона иностранная Китай ;  ;  ;  ; AU ; 19 ; vesta78 ; 104 
 6032 ; Бона иностранная Китай ;  ;  ;  ; AU ; 12 ; sneg ; 30 
 6033 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 11 ; тикси3 ; 31 
 6034 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 19 ; teso ; 38 
 6035 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 15 ; maymuse ; 201 
 6036 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 21 ; maymuse ; 115 
 6037 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 17 ; sneg ; 102 
 6038 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 7 ; sneg ; 102 
 6039 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 17 ; maymuse ; 115 
 6040 ; Лот бон Британские вооруженные силы 2 шт. ;  ;  ;  ; AU ; 7 ; sneg ; 102 
 6041 ; Бона иностранная Польша ;  ;  ;  ; AU ; 21 ; нв1975 ; 122 
 6042 ; Бона иностранная Польша ;  ;  ;  ; AU ; 8 ; lsp25 ; 68 
 6043 ; Бона иностранная Польша ;  ;  ;  ; AU ; 30 ; lsp25 ; 101 
 6044 ; Бона иностранная Уругваи ;  ;  ;  ; AU ; 16 ; Хаа ; 55 
 6045 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 21 ; 6719 ; 41 
 6046 ; Бона иностранная Литва ;  ;  ;  ; AU ; 58 ; Dmitry21 ; 128 
 6047 ; Бона иностранная ;  ;  ;  ;  ; 26 ; стадник ; 255 
 5948 ; Лот иностранных 5 шт ;  ;  ;  ;  ; 19 ; K.V.N. ; 181 
 5949 ; Лот иностранных 5 шт ;  ;  ;  ;  ; 40 ; heavy_fly ; 357 
 5950 ; Лот иностранных 4 шт ;  ;  ;  ;  ; 18 ; Drunja33 ; 181 
 5951 ; Бона иностранная Польша ; 1941 ;  ;  ;  ; 33 ; Бармалей ; 208 
 5952 ; Бона иностранная Германия ;  ;  ;  ;  ; 34 ; нв1975 ; 167 
 5953 ; Бона иностранная Германия ; 1944 ;  ;  ;  ; 16 ; DIMA 57 ; 250 
 5954 ; Бона иностранная Германия ; 1944 ;  ;  ;  ; 14 ; doc2 ; 261 
 5955 ; Бона иностранная Германия ; 1944 ;  ;  ;  ; 23 ; Глеб ; 230 
 5956 ; Бона иностранная Германия ; 1944 ;  ;  ;  ; 22 ; electra ; 235 
 5957 ; Бона иностранная Германия ;  ;  ;  ;  ; 33 ; kimavva ; 161 
 5958 ; Лот бон иностранных 3 шт. Германия ;  ;  ;  ;  ; 40 ; taa ; 364 
 5959 ; Бона иностранная Чехословакия ; 1961 ;  ;  ;  ; 7 ; heavy_fly ; 102 
 5960 ; Бона иностранная  Чехословакия ; 1988 ;  ;  ;  ; 36 ; стадник ; 187 
 5961 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 27 ; lesnik1 ; 200 
 5962 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 15 ; lesnik1 ; 204 
 5963 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 15 ; lesnik1 ; 216 
 5964 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 5 ; WCN ; 31 
 5965 ; Бона иностранная Литва ; 1992 ;  ;  ;  ; 55 ; Northman ; 181 
 5966 ; Бона иностранная Литва ; 1992 ;  ;  ;  ; 14 ; bonipari ; 114 
 5967 ; Бона иностранная Литва ; 1992 ;  ;  ;  ; 4 ; val211 ; 31 
 5968 ; Лот бон (4шт) ;  ;  ;  ;  ; 15 ; Brat123456 ; 216 
 5969 ; Бона иностранная Египет ;  ;  ;  ; AU ; 10 ; maximilian2204 ; 25 
 5970 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 9 ; sneg ; 27 
 5971 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 8 ; sneg ; 27 
 5972 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 13 ; morozzz ; 41 
 5973 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 3 ; WRC ; 20 
 5974 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 3 ; WRC ; 20 
 5975 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 4 ; sneg ; 21 
 5976 ; Лот бон Индонезии 2 шт. ;  ;  ;  ; AU ; 7 ; WRC ; 41 
 5977 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 5 ; maximilian2204 ; 25 
 5978 ; Бона иностранная Судан ;  ;  ;  ; AU ; 19 ; Моряк-собиратель ; 138 
 5979 ; Бона иностранная Турция ;  ;  ;  ; AU ; 20 ; Monata ; 45 
 5980 ; Бона иностранная Словения ;  ;  ;  ; AU ; 18 ; Hamlet ; 38 
 5981 ; Бона иностранная Словения ;  ;  ;  ; AU ; 9 ; dinkini ; 41 
 5982 ; Лот бон иностранных Харватия 3 шт. ;  ;  ;  ; AU ; 9 ; sneg ; 62 
 5983 ; Бона иностранная Албания ;  ;  ;  ; AU ; 23 ; Alekss_27 ; 90 
 5984 ; Бона иностранная Албания ;  ;  ;  ; AU ; 19 ; Alekss_27 ; 273 
 5985 ; Лот бон Албании 2 шт. ;  ;  ;  ; AU ; 31 ; Alekss_27 ; 224 
 5986 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 8 ; sibirian ; 28 
 5987 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 20 ; sneg ; 76 
 5988 ; Бона иностранная Македония ;  ;  ;  ; AU ; 11 ; vicktor_2014 ; 41 
