 6007 ; Лот бон иностранных  Индонезия 5 шт. ;  ;  ;  ; AU ; 24 ; кент ; 179 
 6008 ; Бона иностранная Турция ;  ;  ;  ; AU ; 12 ; K.V.N. ; 67 
 6009 ; Бона иностранная Египет ;  ;  ;  ; AU ; 11 ; sneg ; 43 
 6010 ; Бона иностранная Литва ;  ;  ;  ; AU ; 26 ; USS ; 42 
 6011 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 32 ; heavy_fly ; 184 
 6012 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 26 ; 462 ; 77 
 6013 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 22 ; Mihai6 ; 73 
 6014 ; Бона иностранная. Германия ;  ;  ;  ;  ; 20 ; медалькин ; 57 
 6015 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; sneg ; 26 
 6016 ; Бона иностранная. Германия ;  ;  ;  ;  ; 22 ; sneg ; 59 
 6017 ; Бона иностранная. Германия ;  ;  ;  ;  ; 30 ; flutter ; 204 
 6018 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; stok ; 46 
 6019 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; wwn ; 77 
 6020 ; Бона иностранная. Германия ;  ;  ;  ;  ; 26 ; Mihai6 ; 86 
 6021 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; dr. ; 45 
 6022 ; Бона иностранная. Германия ;  ;  ;  ;  ; 24 ; sneg ; 67 
 6023 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; Mihai6 ; 156 
 6024 ; Бона иностранная. Германия ;  ;  ;  ;  ; 22 ; dr. ; 47 
 6025 ; Бона иностранная. Сербия ;  ;  ;  ;  ; 33 ; sneg ; 157 
 6026 ; Бона иностранная. Франции ;  ;  ;  ;  ; 15 ; Pirin88 ; 120 
 6027 ; Бона иностранная. Франции ;  ;  ;  ;  ; 26 ; stabah ; 347 
 6028 ; Бона иностранная. Франции ;  ;  ;  ;  ; 26 ; vlkorchev ; 204 
 6029 ; Бона иностранная. Франции ;  ;  ;  ;  ; 24 ; Глеб ; 239 
