 5972 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 15 ; sneg ; 39 
 5973 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 11 ; Александр007 ; 45 
 5974 ; Бона иностранная Польша ;  ;  ;  ; AU ; 14 ; dinkini ; 57 
 5975 ; Бона иностранная Польша ;  ;  ;  ; AU ; 25 ; Hamlet ; 44 
 5976 ; Бона иностранная Польша ;  ;  ;  ; AU ; 13 ; antonekb08 ; 32 
 5977 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 24 ; bva150979 ; 93 
 5978 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 17 ; K.V.N. ; 51 
 5979 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 11 ; WRC ; 29 
 5980 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 14 ; K.V.N. ; 45 
 5981 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 14 ; K.V.N. ; 45 
 5982 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 10 ; K.V.N. ; 45 
 5983 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 14 ; K.V.N. ; 45 
 5984 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 19 ; smel ; 139 
 5985 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 17 ; smel ; 79 
 5986 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 19 ; antonekb08 ; 74 
 5987 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 19 ; sneg ; 53 
 5988 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 12 ; mart_si ; 41 
 5989 ; Бона иностранная Уругваи ;  ;  ;  ; AU ; 30 ; середа ; 71 
 5990 ; Бона иностранная Македония ;  ;  ;  ; AU ; 34 ; Папа с рацией ; 82 
 5991 ; Бона иностранная Албания ;  ;  ;  ; AU ; 42 ; doc2 ; 300 
 5992 ; Бона иностранная Албания ;  ;  ;  ; AU ; 25 ; doc2 ; 174 
 5993 ; Бона иностранная Албания ;  ;  ;  ; AU ; 39 ; doc2 ; 174 
 5994 ; Бона иностранная Китай ;  ;  ;  ; AU ; 23 ; 462 ; 55 
 5995 ; Бона иностранная Китай ;  ;  ;  ; AU ; 12 ; Waldemar ; 45 
 5996 ; Бона иностранная Китай ;  ;  ;  ; AU ; 34 ; antonekb08 ; 47 
 5997 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 25 ; K.V.N. ; 115 
 5998 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 24 ; K.V.N. ; 57 
 5999 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 14 ; Папа с рацией ; 55 
 6000 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 13 ; K.V.N. ; 50 
 6001 ; Бона иностранная Словения ;  ;  ;  ; AU ; 29 ; sveta6369 ; 57 
 6002 ; Бона иностранная Словения ;  ;  ;  ; AU ; 19 ; середа ; 39 
 6003 ; Лот бона иностранных Харватия 2 шт. ;  ;  ;  ; AU ; 12 ; sneg ; 41 
 6004 ; Бона иностранная Турция ;  ;  ;  ; AU ; 28 ; sveta6369 ; 61 
 6005 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 14 ; sneg ; 40 
 6006 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 14 ; antonekb08 ; 57 
 6007 ; Бона иностранная Египет ;  ;  ;  ; AU ; 23 ; sneg ; 41 
 6008 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 13 ; K.V.N. ; 40 
 6009 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 8 ; heavy_fly ; 34 
 6010 ; Бона иностранная Судан ;  ;  ;  ; AU ; 26 ; середа ; 123 
 6011 ; Бона иностранная Литва ;  ;  ;  ; AU ; 13 ; K.V.N. ; 50 
 6012 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 22 ; K.V.N. ; 67 
 6013 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 7 ; K.V.N. ; 41 
 6014 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 9 ; antonekb08 ; 34 
 6015 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 5 ; antonekb08 ; 34 
 6016 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 9 ; heavy_fly ; 34 
 5922 ; Лот бон иностранных 5 шт. Германия ;  ;  ;  ;  ; 38 ; FonPaul ; 159 
 5923 ; Лот бон иностранных 5 шт. Германия ;  ;  ;  ;  ; 17 ; geracon2009 ; 230 
 5924 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; flutter ; 204 
 5925 ; Бона иностранная Германия ;  ;  ;  ;  ; 28 ; flutter ; 301 
 5926 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; flutter ; 301 
 5927 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 29 ; flutter ; 301 
 5928 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 24 ; VitorioVeneto ; 261 
 5929 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 18 ; flutter ; 523 
 5930 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 17 ; sos1 ; 428 
 5931 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 16 ; VitorioVeneto ; 192 
 5932 ; Лот нотгельдов 4 шт.  Германия ;  ;  ;  ;  ; 34 ; VitorioVeneto ; 271 
 5933 ; Лот нотгельдов 10 шт.  Германия ;  ;  ;  ;  ; 29 ; sos1 ; 500 
 5934 ; Лот нотгельдов 165 шт.  Германия в альбоме ;  ;  ;  ;  ; 27 ; electra ; 6015 
 5935 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 23 ; geracon2009 ; 133 
 5936 ; Бона иностранная Венгрия ; 1946 ;  ;  ;  ; 14 ; geracon2009 ; 104 
 5937 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 16 ; медалькин ; 142 
 5938 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 25 ; geracon2009 ; 133 
 5939 ; Бона иностранная Венгрия ; 1930 ;  ;  ;  ; 14 ; geracon2009 ; 102 
 5940 ; Бона иностранная Венгрия ; 1932 ;  ;  ;  ; 12 ; geracon2009 ; 133 
 5941 ; Бона иностранная Венгрия ; 1936 ;  ;  ;  ; 37 ; vesta78 ; 126 
 5942 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 21 ; K.V.N. ; 111 
 5943 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 11 ; 462 ; 54 
 5944 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 14 ; 007serg007 ; 65 
 5945 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 33 ; K.V.N. ; 102 
 5946 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 19 ; середа ; 95 
 5947 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; sneg ; 35 
 5948 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 7 ; sneg ; 36 
 5949 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 24 ; taa ; 50 
 5950 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; sneg ; 40 
 5951 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 7 ; Hamlet ; 46 
 5952 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 23 ; sneg ; 46 
 5953 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; sneg ; 46 
 5954 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 15 ; трутень ; 55 
 5955 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; трутень ; 95 
 5956 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 11 ; antonekb08 ; 41 
 5957 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 16 ; sneg ; 46 
 5958 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; sneg ; 36 
 5959 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 10 ; maximilian2204 ; 36 
 5960 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 15 ; taa ; 43 
 5961 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 25 ; СТРЕКОЗА ; 65 
 5962 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 31 ; середа ; 66 
 5963 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; СТРЕКОЗА ; 36 
 5964 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 14 ; Виталий 64 ; 79 
 5965 ; Бона иностранная Перу ;  ;  ;  ; AU ; 11 ; парам ; 41 
 5966 ; Бона иностранная Перу ;  ;  ;  ; AU ; 14 ; antonekb08 ; 43 
 5967 ; Бона иностранная Перу ;  ;  ;  ; AU ; 22 ; 462 ; 123 
 5968 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 20 ; СТРЕКОЗА ; 49 
 5969 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 24 ; antonekb08 ; 68 
 5970 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 11 ; СТРЕКОЗА ; 47 
 5971 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 15 ; sveta6369 ; 45 
 5872 ; Бона иностранная Финляндия ; 1945 ;  ;  ;  ; 12 ; tss ; 416 
 5873 ; Бона иностранная Финляндия ; 1957 ;  ;  ;  ; 35 ; tss ; 248 
 5874 ; Лот бон иностранных Финляндия 7 шт ;  ;  ;  ;  ; 33 ; market_spb ; 713 
 5875 ; Бона иностранная Норвегия ; 1967 ;  ;  ;  ; 28 ; Папа с рацией ; 121 
 5876 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; FonPaul ; 201 
 5877 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; Декарт ; 85 
 5878 ; Лот бон иностранных 5 шт. Германия ;  ;  ;  ;  ; 43 ; smel ; 206 
 5879 ; Карточка продовольственная  Финляндия ;  ;  ;  ;  ; 5 ; варяг42 ; 203 
 5880 ; Карточки 2 шт.  Финляндия ;  ;  ;  ;  ; 7 ; варяг42 ; 203 
 5881 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 28 ; Stanislavskiy-89 ; 229 
 5882 ; Бона иностранная Болгария ;  ;  ;  ;  ; 16 ; doc2 ; 567 
 5883 ; Бона иностранная Болгария ;  ;  ;  ;  ; 12 ; mart_si ; 459 
 5884 ; Лот бон 3 шт. Туркменистан ;  ;  ;  ;  ; 37 ; alex241 ; 1040 
 5885 ; Бона иностранная Коста-Рика ;  ;  ;  ;  ; 9 ; середа ; 136 
 5886 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 45 ; Папа с рацией ; 185 
 5887 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 29 ; курт ; 134 
 5888 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 9 ; cotangens ; 38 
 5889 ; Бона иностранная Куба ;  ;  ;  ;  ; 41 ; flutter ; 408 
 5890 ; Бона иностранная Куба ;  ;  ;  ;  ; 35 ; flutter ; 408 
 5891 ; Бона иностранная Китай ;  ;  ;  ;  ; 32 ; Dmitry21 ; 204 
 5892 ; Бона иностранная Китай ;  ;  ;  ;  ; 24 ; Dmitry21 ; 204 
 5893 ; Бона иностранная Китай ;  ;  ;  ;  ; 24 ; Dmitry21 ; 201 
 5894 ; Бона иностранная Китай ;  ;  ;  ;  ; 24 ; Dmitry21 ; 211 
 5895 ; Лот бон 3 шт ;  ;  ;  ;  ; 29 ; середа ; 112 
 5896 ; Бона иностранная Багамские о-ва ;  ;  ;  ;  ; 21 ; середа ; 117 
 5897 ; Бона иностранная Белиз ;  ;  ;  ;  ; 27 ; smel ; 150 
 5898 ; Бона иностранная Заир ;  ;  ;  ;  ; 14 ; середа ; 68 
 5899 ; Бона иностранная Малави ;  ;  ;  ;  ; 14 ; smel ; 117 
 5900 ; Бона иностранная Гана ;  ;  ;  ; AU ; 29 ; SS2008 ; 102 
 5901 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 30 ; середа ; 67 
 5902 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 30 ; середа ; 90 
 5903 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 32 ; середа ; 86 
 5904 ; Бона иностранная Эфиопия ;  ;  ;  ; AU ; 23 ; середа ; 74 
 5905 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 12 ; maksbelov ; 36 
 5906 ; Бона иностранная Перу ;  ;  ;  ;  ; 18 ; stabah ; 39 
 5907 ; Бона иностранная Перу ;  ;  ;  ;  ; 13 ; stabah ; 37 
 5908 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 29 ; maksbelov ; 176 
 5909 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 37 ; bva150979 ; 439 
 5910 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 20 ; середа ; 190 
 5911 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 21 ; середа ; 250 
 5912 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 10 ; середа ; 159 
 5913 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 18 ; mart_si ; 132 
 5914 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 15 ; середа ; 112 
 5915 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 23 ; середа ; 132 
 5916 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 17 ; Бармалей ; 181 
 5917 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 28 ; von_Schwarz ; 210 
 5918 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 15 ; середа ; 140 
 5919 ; Бона иностранная ГДР ;  ;  ;  ;  ; 28 ; valent77 ; 185 
 5920 ; Лот бон иностранных 4 шт. Германия ;  ;  ;  ;  ; 28 ; electra ; 512 
 5921 ; Лот бон иностранных 5 шт. Германия ;  ;  ;  ;  ; 28 ; FonPaul ; 150 
 5822 ; Бона иностранная Литва ;  ;  ;  ;  ; 23 ; demodex ; 131 
 5823 ; Бона иностранная Литва ;  ;  ;  ;  ; 31 ; svv ; 94 
 5824 ; Бона иностранная Литва ;  ;  ;  ;  ; 17 ; bonipari ; 144 
 5825 ; Лот бон иностранных  Литва 5 шт ;  ;  ;  ;  ; 12 ; pref ; 67 
 5826 ; Лот бон иностранных  Литва 5 шт ;  ;  ;  ;  ; 16 ; кент ; 82 
 5827 ; Лот бон иностранных  Литва 5 шт ;  ;  ;  ;  ; 20 ; mart_si ; 99 
 5828 ; Бона иностранная Туркменистан ;  ;  ;  ;  ; 15 ; bonipari ; 136 
 5829 ; Бона иностранная Китай ;  ;  ;  ;  ; 53 ; Хаа ; 1041 
 5830 ; Бона иностранная Франция ;  ;  ;  ;  ; 37 ; avs ; 3064 
 5831 ; Бона иностранная Испания ;  ;  ;  ;  ; 17 ; середа ; 105 
 5832 ; Бона иностранная Испания ;  ;  ;  ;  ; 19 ; nikfed ; 331 
 5833 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; mart_si ; 36 
 5834 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 19 ; Rober ; 36 
 5835 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 18 ; maximilian2204 ; 36 
 5836 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 24 ; karman ; 63 
 5837 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 8 ; страус ; 41 
 5838 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; antonekb08 ; 46 
 5839 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 18 ; sibirian ; 72 
 5840 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 21 ; Waldemar ; 36 
 5841 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 24 ; Виталий 64 ; 206 
 5842 ; Бона иностранная  Бразилия ;  ;  ;  ; AU ; 18 ; Hamlet ; 179 
 5843 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 24 ; mart_si ; 175 
 5844 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 10 ; Виталий 64 ; 114 
 5845 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 18 ; страус ; 40 
 5846 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 36 ; WCN ; 87 
 5847 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 15 ; karman ; 45 
 5848 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 21 ; derk02 ; 90 
 5849 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 33 ; taa ; 50 
 5850 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 10 ; Dmitry21 ; 38 
