 6032 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 16 ; джон08 ; 42 
 6033 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 32 ; 462 ; 79 
 6034 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 31 ; kroman ; 61 
 6035 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 27 ; kroman ; 51 
 6036 ; Бона иностранная Словения ;  ;  ;  ; AU ; 14 ; kroman ; 82 
 6037 ; Бона иностранная Венесуела ;  ;  ;  ; AU ; 26 ; K.V.N. ; 57 
 6038 ; Бона иностранная Венесуела ;  ;  ;  ; AU ; 25 ; K.V.N. ; 63 
 6039 ; Бона иностранная Судан ;  ;  ;  ; AU ; 35 ; K.V.N. ; 111 
 6040 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 34 ; Ustin ; 63 
 6041 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 18 ; merkava79 ; 34 
 6042 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 17 ; merkava79 ; 34 
 6043 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 25 ; merkava79 ; 42 
 6044 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 19 ; merkava79 ; 34 
 6045 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 19 ; merkava79 ; 34 
 6046 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 42 ; kroman ; 82 
 6047 ; Бона иностранная Египет ;  ;  ;  ; AU ; 39 ; Ustin ; 156 
 6048 ; Бона иностранная Литва ;  ;  ;  ; AU ; 29 ; kroman ; 82 
 5982 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 10 ; dis ; 46 
 5983 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 30 ; kroman ; 76 
 5984 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 24 ; kroman ; 53 
 5985 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 30 ; sibirian ; 77 
 5986 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 20 ; 462 ; 95 
 5987 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 28 ; 462 ; 104 
 5988 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 14 ; 6719 ; 42 
 5989 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 31 ; V.I.P.E.R. ; 65 
 5990 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 20 ; 6719 ; 36 
 5991 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 22 ; 6719 ; 47 
 5992 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 24 ; Waldemar ; 65 
 5993 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 29 ; Waldemar ; 73 
 5994 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 26 ; Waldemar ; 67 
 5995 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 23 ; Waldemar ; 73 
 5996 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 39 ; V.I.P.E.R. ; 73 
 5997 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 15 ; Waldemar ; 47 
 5998 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 26 ; Waldemar ; 53 
 5999 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 22 ; Waldemar ; 48 
 6000 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 25 ; Waldemar ; 46 
 6001 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 20 ; Waldemar ; 46 
 6002 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 15 ; Waldemar ; 47 
 6003 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 23 ; K.V.N. ; 125 
 6004 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 16 ; K.V.N. ; 57 
 6005 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 17 ; K.V.N. ; 79 
 6006 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 38 ; K.V.N. ; 92 
 6007 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 29 ; kroman ; 73 
 6008 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 43 ; 462 ; 153 
 6009 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 30 ; kroman ; 49 
 6010 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 27 ; 462 ; 102 
 6011 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 22 ; 462 ; 102 
 6012 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 26 ; 462 ; 102 
 6013 ; Бона иностранная Перу ;  ;  ;  ; AU ; 33 ; _Владимир_ ; 41 
 6014 ; Бона иностранная Перу ;  ;  ;  ; AU ; 30 ; sibirian ; 114 
 6015 ; Бона иностранная Китай ;  ;  ;  ; AU ; 40 ; Schwer ; 46 
 6016 ; Бона иностранная Китай ;  ;  ;  ; AU ; 26 ; Schwer ; 43 
 6017 ; Бона иностранная Китай ;  ;  ;  ; AU ; 14 ; Schwer ; 25 
 6018 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 6 ; Rober ; 25 
 6019 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 16 ; merkava79 ; 32 
 6020 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 14 ; K.V.N. ; 123 
 6021 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 18 ; K.V.N. ; 118 
 6022 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 39 ; K.V.N. ; 123 
 6023 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 12 ; K.V.N. ; 128 
 6024 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 17 ; K.V.N. ; 38 
 6025 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 9 ; курт ; 25 
 6026 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 30 ; Ustin ; 63 
 6027 ; Бона иностранная Польша ;  ;  ;  ; AU ; 21 ; sveta6369 ; 57 
 6028 ; Бона иностранная Польша ;  ;  ;  ; AU ; 12 ; Запруда ; 45 
 6029 ; Бона иностранная Польша ;  ;  ;  ; AU ; 30 ; 6719 ; 48 
 6030 ; Бона иностранная Уругваи ;  ;  ;  ; AU ; 26 ; K.V.N. ; 102 
 6031 ; Бона иностранная Македония ;  ;  ;  ; AU ; 10 ; середа ; 45 
 5932 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 13 ; sibirian ; 258 
 5933 ; Бона иностранная Венгрия ;  ;  ;  ; AU ; 34 ; vicktor_2014 ; 402 
 5934 ; Бона иностранная Польша ;  ;  ;  ; AU ; 30 ; Schwer ; 510 
 5935 ; Бона иностранная Польша ;  ;  ;  ; AU ; 34 ; 6719 ; 61 
 5936 ; Бона иностранная Австрия ;  ;  ;  ;  ; 36 ; nikfed ; 306 
 5937 ; Лот нотгельдов 4 шт. Германия (картон) ;  ;  ;  ;  ; 39 ; kn157736 ; 663 
 5938 ; Лот нотгельдов 3 шт. Германия ;  ;  ;  ;  ; 22 ; kn157736 ; 592 
 5939 ; Нотгельд  Германия ;  ;  ;  ;  ; 18 ; flutter ; 123 
 5940 ; Нотгельд  Германия ;  ;  ;  ;  ; 22 ; flutter ; 126 
 5941 ; Лот нотгельдов 5 шт. Германия ;  ;  ;  ;  ; 49 ; flutter ; 979 
 5942 ; Лот нотгельдов 6 шт. Германия ;  ;  ;  ;  ; 33 ; flutter ; 408 
 5943 ; Лот нотгельдов 6 шт. Германия ;  ;  ;  ;  ; 43 ; flutter ; 1130 
 5944 ; Лот нотгельдов 5 шт. Германия ;  ;  ;  ;  ; 31 ; flutter ; 368 
 5945 ; Лот нотгельдов 8 шт. Германия ;  ;  ;  ;  ; 32 ; flutter ; 714 
 5946 ; Лот нотгельдов 3 шт. Германия ;  ;  ;  ;  ; 22 ; Jauho ; 114 
 5947 ; Лот нотгельдов 4 шт. Германия ;  ;  ;  ;  ; 48 ; kn157736 ; 582 
 5948 ; Лот нотгельдов 5 шт. Германия ;  ;  ;  ;  ; 44 ; kn157736 ; 765 
 5949 ; Лот нотгельдов 3 шт. Германия ;  ;  ;  ;  ; 38 ; kn157736 ; 765 
 5950 ; Лот нотгельдов 4 шт. Германия ;  ;  ;  ;  ; 57 ; мефодий ; 1019 
 5951 ; Лот нотгельдов 6 шт. Германия ;  ;  ;  ;  ; 36 ; flutter ; 612 
 5952 ; Лот нотгельдов 4 шт. Германия ;  ;  ;  ;  ; 28 ; flutter ; 291 
 5953 ; Лот нотгельдов 4 шт. Германия ;  ;  ;  ;  ; 33 ; kn157736 ; 816 
 5954 ; Лот нотгельдов 5 шт. Германия ;  ;  ;  ;  ; 31 ; flutter ; 368 
 5955 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 56 ; Ustin ; 469 
 5956 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 27 ; середа ; 187 
 5957 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 15 ; филипок ; 155 
 5958 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 43 ; Ustin ; 412 
 5959 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 13 ; Ustin ; 200 
 5960 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 26 ; середа ; 185 
 5961 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 6 ; середа ; 100 
 5962 ; Лот бон иностранных 13 шт ;  ;  ;  ;  ; 10 ; STANDART ; 136 
 5963 ; Бона иностранная ;  ;  ;  ;  ; 15 ; середа ; 42 
 5964 ; Бона иностранная ;  ;  ;  ;  ; 17 ; stabah ; 79 
 5965 ; Бона иностранная ;  ;  ;  ;  ; 14 ; stabah ; 79 
 5966 ; Бона иностранная ;  ;  ;  ;  ; 12 ; СТРЕКОЗА ; 57 
 5967 ; Бона иностранная ;  ;  ;  ;  ; 17 ; середа ; 55 
 5968 ; Бона иностранная ;  ;  ;  ;  ; 35 ; 6719 ; 94 
 5969 ; Бона иностранная ;  ;  ;  ;  ; 16 ; maksbelov ; 102 
 5970 ; Лот нотгельдов 294 шт. в альбоме ;  ;  ;  ;  ; 28 ; Бостон ; 8491 
 5971 ; Бона иностранная Германия ; 1944 ;  ;  ;  ; 15 ; Майкл ; 89 
 5972 ; Бона иностранная Германия ; 1918 ;  ;  ; XF+ ; 22 ; Майкл ; 1122 
 5973 ; Бона иностранная Германия ; 1948 ;  ;  ;  ; 34 ; ML ; 775 
 5974 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 37 ; Майкл ; 377 
 5975 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; Венгр ; 147 
 5976 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 25 ; dis ; 85 
