 6035 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 11 ; prostor.71 ; 24 
 6036 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 11 ; prostor.71 ; 24 
 6037 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 9 ; prostor.71 ; 22 
 6038 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 9 ; prostor.71 ; 22 
 6039 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 29 ; strutikut ; 42 
 6040 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 14 ; М5 ; 46 
 6041 ; Бона иностранная Египет ;  ;  ;  ; AU ; 7 ; М5 ; 22 
 6042 ; Бона иностранная Венгрия ; 1918 ;  ;  ;  ; 26 ; Mike! ; 969 
 6043 ; Бона иностранная Венгрия ; 1941 ;  ;  ;  ; 15 ; Nik488 ; 78 
 6044 ; Бона иностранная Венгрия ; 1930 ;  ;  ;  ; 47 ; K.V.N. ; 340 
 6045 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 10 ; karal ; 69 
 6046 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 4 ; Nik488 ; 51 
 6047 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 30 ; Levon.Koins ; 126 
 6048 ; Бона иностранная. 500 динар. Сербия ;  ;  ;  ;  ; 53 ; K.V.N. ; 446 
 5985 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 30 ; lsp25 ; 110 
 5986 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 20 ; ростов ; 104 
 5987 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 53 ; K.V.N. ; 199 
 5988 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 19 ; prostor.71 ; 37 
 5989 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; veterinator ; 38 
 5990 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 13 ; V.I.P.E.R. ; 43 
 5991 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; gdrg2 ; 34 
